table_name,attribute_name,attribute_type,Description
,,,
accreditation,accreditation_body,varchar,
,grading,varchar,
,id,int4,
,score,float8,
,,,
college,district_code,varchar,
,id,int4,
,is_dcf_applicable,bool,
,name,varchar,
,state_code,varchar,"REFERENCES ref_district(st_code, dist_code)"
,survey_year,int4,"REFERENCES ref_university(id, survey_year)"
,type_id,bpchar,REFERENCES ref_university_college_type(id)
,university_id,bpchar,"REFERENCES ref_university(id, survey_year)"
,,,
college_affiliation,district_code,varchar,
,id,int4,
,is_dcf_applicable,bool,
,name,varchar,
,state_code,varchar,
,survey_year,int4,
,type_id,bpchar,
,university_id,bpchar,
,,,
college_institution,address_line1,varchar,
,address_line2,varchar,
,area,float8,
,autonomous,bool,
,city,varchar,
,college_type_id,bpchar,REFERENCES ref_university_college_type(id)
,constructed_area,float8,
,diploma_course_id,bpchar,REFERENCES ref_diploma_course(id)
,district_code,bpchar,"REFERENCES ref_district(st_code, dist_code)'"
,evening,bool,
,financial_expenditure_id,int4,REFERENCES financial_expenditure(id)
,financial_income_id,int4,REFERENCES financial_income(id)
,girl_exclusive,bool,
,has_diploma_courses,bool,
,id,int4,"REFERENCES college(id, survey_year)"
,infrastructure_id,int4,REFERENCES infrastructure(id)
,is_accredited,bool,
,is_foreign_students_enrolled,bool,
,latitude,float8,
,loan_id,int4,REFERENCES loan(id)
,location,varchar,
,longitude,float8,
,management_id,bpchar,REFERENCES ref_institution_management(id)
,name,varchar,
,no_of_student_hostel,int4,
,nodalofficer_id,int4,
,offers_loan,bool,
,offers_scholarship,bool,
,other_speciality,varchar,
,other_statutory_body,varchar,
,remarks,varchar,REFERENCES scholarship(id)
,scholarship_id,int4,
,speciality_id,varchar,REFERENCES ref_speciality(id)
,specialized,bool,
,staff_quarter_available,bool,
,staff_quarter_id,int4,
,state_code,varchar,"REFERENCES ref_district(st_code, dist_code)"
,statutory_body_id,varchar,
,student_hostel_available,bool,
,survey_year,int4,
,university_id,bpchar,
,website,varchar,
,year_of_affiliation,int4,
,year_of_establishment,int4,
,,,
college_institution_accreditation,accreditation_id,int4,REFERENCES accreditation(id)
,college_institution_id,int4,"REFERENCES college_institution(id, survey_year)"
,survey_year,int4,
,,,
college_institution_course,college_institution_id,int4,"REFERENCES college_institution(id, survey_year)"
,course_id,int4,REFERENCES course(id)
,survey_year,int4,
,,,
college_institution_course_enrolled_foreign_student_count,college_institution_id,int4,"REFERENCES college_institution(id, survey_year)"
,course_enrolled_foreign_student_count_id,int4,REFERENCES course_enrolled_foreign_student_count(id)
,survey_year,int4,
,,,
college_institution_course_enrolled_student_count,college_institution_id,int4,"REFERENCES college_institution(id, survey_year)"
,course_enrolled_student_count_id,int4,REFERENCES course_enrolled_student_count(id)
,survey_year,int4,
,,,
college_institution_course_examination_result,college_institution_id,int4,"REFERENCES college_institution(id, survey_year)"
,course_examination_result_id,int4,REFERENCES course_examination_result(id)
,survey_year,int4,
,,,
college_institution_department,college_institution_id,int4,"REFERENCES college_institution(id, survey_year)"
,department_id,int4,REFERENCES department(id)
,survey_year,int4,
,,,
college_institution_enrolled_distance_student,college_institution_id,int4,"REFERENCES college_institution(id, survey_year)"
,enrolled_distance_student_institute_id,int4,REFERENCES enrolled_distance_student_institute(id)
,survey_year,int4,
,,,
college_institution_enrolled_foreign_student_count,college_institution_id,int4,"REFERENCES college_institution(id, survey_year)"
,enrolled_foreign_student_count_id,int4,REFERENCES enrolled_foreign_student_count(id)
,survey_year,int4,
,,,
college_institution_enrolled_regular_student,college_institution_id,int4,"REFERENCES college_institution(id, survey_year)"
,enrolled_regular_student_id,int4,REFERENCES enrolled_regular_student(id)
,survey_year,int4,
,,,
college_institution_examination_result,college_institution_id,int4,"REFERENCES college_institution(id, survey_year)"
