"id","accreditation_body","score","max_score","has_score"
"25799","NAAC","4","4","true"
"27944","NAAC","2.41999999999999993","4","true"
"24882","NAAC","2.02000000000000002","4","true"
"27559","NAAC","3.14000000000000012","4","true"
"30832","National Board of Accreditation, New Delhi","","","false"
"27223","NAAC","3.00999999999999979","4","true"
"27520","NAAC","3.0299999999999998","4","true"
"30873","INC","","","false"
"31035","NAAC","1.79000000000000004","4","true"
"25643","NAAC","3.04999999999999982","4","true"
"28981","NBA - ES","718","999","true"
"26853","NAAC","1.5","4","true"
"27053","NAAC","2.43999999999999995","4","true"
"30908","Dr.B.A.M.University Affiliation Committee","82","100","true"
"26185","NAAC","3","4","true"
"23901","NAAC","2.79999999999999982","4","true"
"24887","NAAC","1.8899999999999999","4","true"
"31252","MCUNJC  BHOPAL","","","false"
"25632","INC & KNMC","","","false"
"25462","NAAC","2.70000000000000018","4","true"
"30455","NAAC","3.16999999999999993","4","true"
"25629","mp nurses registration council","0","0","true"
"28077","NAAC","3.25","4","true"
"30542","NAAC","3.50999999999999979","4","true"
"26179","NAAC","2.64999999999999991","4","true"
"30138","NAAC","2.22999999999999998","4","true"
"23772","NAAC","2.31000000000000005","4","true"
"28365","NCTE NEW DELHI","0","0","true"
"29225","NAAC","3.06000000000000005","4","true"
"25288","NAAC","2.70999999999999996","4","true"
"27776","NAAC","3.0299999999999998","4","true"
"24358","NAAC","2.81999999999999984","4","true"
"28373","NAAC","2.04999999999999982","4","true"
"25919","NAAC","2.85999999999999988","4","true"
"26119","NAAC","2.56000000000000005","4","true"
"25816","NAAC","2.58999999999999986","4","true"
"23261","NAAC","3.41000000000000014","4","true"
"31517","NBA (SBM-Mumbai)-MBA Part Time & PT MBA Social Enterprise","775","999","true"
"25983","NAAC","2.25999999999999979","4","true"
"31603","ICAR","","","false"
"24668","NAAC","2.5","4","true"
"25979","NAAC","3","4","true"
"31593","NAAC","3.0299999999999998","4","true"
"29411","NAAC","3.16999999999999993","4","true"
"31678","ICAR","","","false"
"26461","Indian Nursing Council","","","false"
"28812","NAAC","3.25999999999999979","4","true"
"26904","NAAC","3","4","true"
"30332","NAAC","2.02000000000000002","4","true"
"29277","indian nursing council tamilnadu nursing council","","","false"
"26420","NAAC","3.04999999999999982","4","true"
"25792","NAAC","1.85000000000000009","4","true"
"31708","NAAC","2.4700000000000002","4","true"
"29951","NAAC","3.00999999999999979","4","true"
"31371","NAAC","2.87999999999999989","4","true"
"30800","NAAC","0.760000000000000009","4","true"
"23626","NAAC","2.08999999999999986","4","true"
"31669","ISO 14001:2004","","","false"
"24721","NAAC","2.93000000000000016","4","true"
"25893","NAAC","1.84000000000000008","4","true"
"29696","National Board of Accreditation","2","5","true"
"25217","NAAC","2.89000000000000012","4","true"
"29908","NBA (CSE)","73","100","true"
"27823","National Accreditation Board for Testing and Calibration Laboratories (NABL)","","","false"
"30982","NAAC","3.02000000000000002","4","true"
"24552","NCTE BHOPAL & MAHARASHTRA","","","false"
"29220","AICTE","95","100","true"
