"college_institution_id","survey_year","accreditation_id"
"22449","2015","31843"
"22414","2015","31845"
"29414","2015","31846"
"29449","2015","31851"
"28871","2015","31868"
"12897","2015","31852"
"10680","2015","31853"
"20744","2015","31855"
"29455","2015","31856"
"29454","2015","31858"
"29457","2015","31859"
"29456","2015","31860"
"33323","2015","31862"
"781","2015","23222"
"575","2015","23224"
"49670","2015","23229"
"5868","2015","23230"
"6854","2015","23232"
"44189","2015","23233"
"1207","2015","23236"
"693","2015","23237"
"6806","2015","23238"
"6806","2015","23239"
"685","2015","23240"
"685","2015","23241"
"7210","2015","23242"
"5950","2015","23245"
"49484","2015","23249"
"81","2015","23250"
"45251","2015","23252"
"440","2015","23253"
"877","2015","23254"
"7189","2015","23255"
"7132","2015","23257"
"45275","2015","23258"
"5976","2015","23259"
"41898","2015","23260"
"5855","2015","23261"
"11144","2015","23262"
"5881","2015","23264"
"44288","2015","23265"
"746","2015","23266"
"746","2015","23267"
"795","2015","23268"
"795","2015","23269"
"7128","2015","23270"
"42085","2015","23272"
"807","2015","23273"
"6761","2015","23274"
"6789","2015","23275"
"5887","2015","23276"
"7139","2015","23277"
"6842","2015","23280"
"20686","2015","23281"
"11202","2015","23282"
"436","2015","23284"
"495","2015","23285"
"7397","2015","23286"
"9342","2015","23287"
"518","2015","23289"
"5973","2015","23290"
"47819","2015","23291"
"7392","2015","23292"
"44900","2015","23294"
"437","2015","23295"
"7051","2015","23296"
"4123","2015","23304"
"194","2015","23305"
"352","2015","23306"
"582","2015","23309"
"848","2015","23313"
"6437","2015","23315"
"6055","2015","23316"
"821","2015","23317"
"6897","2015","23318"
"435","2015","23320"
"11000","2015","23321"
"403","2015","23322"
"7137","2015","23323"
"4097","2015","23324"
"18749","2015","23326"
"1048","2015","23327"
"747","2015","23329"
"997","2015","23330"
"29825","2015","23332"
"759","2015","23333"
"14919","2015","23334"
"4099","2015","23335"
"6798","2015","23336"
"855","2015","23337"
"18595","2015","23339"
"45276","2015","23340"
"11120","2015","23341"
"42717","2015","23343"
"30797","2015","23344"
"15703","2015","23348"
"978","2015","23350"
"11233","2015","23351"
"42915","2015","23352"
"32958","2015","23353"
"8420","2015","23354"
"14682","2015","23355"
"43198","2015","23356"
"24269","2015","23357"
"797","2015","23358"
"6502","2015","23359"
"18335","2015","23360"
"43058","2015","23361"
"438","2015","23362"
"44","2015","23363"
"1056","2015","23364"
"7131","2015","23365"
"946","2015","23368"
"1006","2015","23369"
"1052","2015","23370"
"15705","2015","23371"
"889","2015","23372"
"45600","2015","23373"
"42920","2015","23374"
"8157","2015","23376"
"20983","2015","23377"
"43011","2015","23379"
"40140","2015","23381"
"4112","2015","23382"
"439","2015","23384"
"24966","2015","23385"
"43098","2015","23386"
"40760","2015","31863"
"7203","2015","23388"
"1002","2015","23389"
"18348","2015","23390"
"1046","2015","23391"
"6804","2015","23393"
"5830","2015","23394"
"826","2015","23398"
"9031","2015","23400"
"5945","2015","23401"
"824","2015","23402"
"838","2015","23403"
"5928","2015","23404"
"5928","2015","23405"
"831","2015","23406"
"5903","2015","23407"
"5903","2015","23408"
"41620","2015","23409"
"26836","2015","23410"
"5885","2015","23412"
"25964","2015","23413"
"44497","2015","23414"
"5949","2015","23416"
"5870","2015","23417"
"5848","2015","23418"
"46247","2015","23419"
"43042","2015","23420"
"12435","2015","23422"
"11026","2015","23424"
"600","2015","23425"
"40848","2015","23426"
"812","2015","23428"
"5896","2015","23429"
"41823","2015","23430"
"15735","2015","23433"
"11491","2015","23437"
"33666","2015","23438"
"1015","2015","23440"
"999","2015","23441"
"996","2015","23443"
"5832","2015","23444"
"5832","2015","23445"
"11072","2015","23446"
"5886","2015","23449"
"11143","2015","23450"
"18829","2015","23451"
"879","2015","23452"
"10993","2015","23455"
"4107","2015","23456"
"4107","2015","23457"
"6773","2015","23458"
"25829","2015","23459"
"11212","2015","23460"
"994","2015","23461"
"11228","2015","23462"
"41858","2015","23463"
"6084","2015","23464"
"6084","2015","23465"
"10969","2015","23466"
"5895","2015","23467"
"34385","2015","23470"
"34385","2015","23471"
"18836","2015","23472"
"6017","2015","23474"
"6017","2015","23475"
"26086","2015","23476"
"43210","2015","23477"
"800","2015","23480"
"800","2015","23481"
"8694","2015","23482"
"49812","2015","23483"
"8851","2015","23484"
"12626","2015","23486"
"716","2015","23487"
"11117","2015","23488"
"5961","2015","23489"
