"college_institution_id","survey_year","non_teaching_staff_count_id"
"55441","2015","588143"
"55441","2015","588144"
"22449","2015","588145"
"22449","2015","588146"
"13438","2015","588147"
"13438","2015","588148"
"13438","2015","588149"
"13438","2015","588150"
"13376","2015","588151"
"13376","2015","588152"
"13376","2015","588153"
"54826","2015","588613"
"54826","2015","588614"
"54826","2015","588615"
"8719","2015","588154"
"8719","2015","588155"
"51928","2015","588156"
"51928","2015","588157"
"55446","2015","588160"
"55446","2015","588161"
"46142","2015","588162"
"46142","2015","588163"
"51402","2015","588164"
"52242","2015","588165"
"36831","2015","588616"
"22423","2015","588166"
"50846","2015","588178"
"50846","2015","588179"
"14299","2015","588180"
"14299","2015","588181"
"28261","2015","588182"
"28261","2015","588183"
"28261","2015","588184"
"28261","2015","588185"
"27427","2015","588186"
"27427","2015","588187"
"36831","2015","588617"
"36831","2015","588618"
"46771","2015","588632"
"17636","2015","588188"
"13406","2015","588192"
"54851","2015","588189"
"54851","2015","588190"
"27972","2015","588191"
"13406","2015","588193"
"13406","2015","588194"
"44392","2015","588619"
"27960","2015","588195"
"22414","2015","588196"
"28871","2015","588620"
"28871","2015","588621"
"46771","2015","588633"
"51454","2015","588197"
"51454","2015","588198"
"51454","2015","588199"
"30757","2015","588622"
"13397","2015","588203"
"13397","2015","588204"
"13397","2015","588205"
"17658","2015","588206"
"17658","2015","588207"
"17658","2015","588208"
"17658","2015","588209"
"17658","2015","588210"
"30714","2015","588215"
"30714","2015","588216"
"30714","2015","588217"
"13316","2015","588218"
"48591","2015","588221"
"30757","2015","588623"
"30757","2015","588624"
"33105","2015","588222"
"33105","2015","588223"
"10865","2015","588224"
"10865","2015","588225"
"10865","2015","588226"
"44436","2015","588227"
"44436","2015","588228"
"45160","2015","588230"
"45160","2015","588231"
"45160","2015","588232"
"53479","2015","588233"
"53479","2015","588234"
"53479","2015","588235"
"13433","2015","588236"
"13433","2015","588237"
"13433","2015","588238"
"30757","2015","588625"
"30757","2015","588626"
"30757","2015","588627"
"13360","2015","588239"
"13360","2015","588240"
"13360","2015","588241"
"30757","2015","588628"
"10640","2015","588245"
"10640","2015","588246"
"10640","2015","588247"
"10640","2015","588248"
"54355","2015","588249"
"54821","2015","588250"
"54821","2015","588251"
"54821","2015","588252"
"18452","2015","588629"
"28627","2015","588253"
"55528","2015","588262"
"55528","2015","588263"
"55528","2015","588264"
"47634","2015","588265"
"29414","2015","588266"
"29414","2015","588267"
"29414","2015","588268"
"29414","2015","588269"
"29414","2015","588270"
"29414","2015","588271"
"29414","2015","588272"
"46580","2015","588273"
"46580","2015","588274"
"46580","2015","588275"
"46580","2015","588276"
"46580","2015","588277"
"44393","2015","588293"
"18400","2015","588299"
"48607","2015","588300"
"7956","2015","588301"
"7956","2015","588302"
"7956","2015","588303"
"7956","2015","588304"
"18452","2015","588630"
"48187","2015","588310"
"55228","2015","588311"
"55228","2015","588312"
"55228","2015","588313"
"18452","2015","588631"
"46771","2015","588634"
"13444","2015","588314"
"45134","2015","588315"
"46771","2015","588635"
"46771","2015","588636"
"17643","2015","588317"
"17643","2015","588318"
"17643","2015","588319"
"17643","2015","588320"
"17643","2015","588321"
"17643","2015","588322"
"46392","2015","588637"
"55554","2015","588323"
"47313","2015","588324"
"47313","2015","588325"
"17627","2015","588326"
"17627","2015","588327"
"17623","2015","588328"
"17623","2015","588329"
"46392","2015","588638"
"28499","2015","588333"
"28499","2015","588334"
"17633","2015","588335"
"8746","2015","588341"
"8746","2015","588342"
"8746","2015","588343"
"46392","2015","588639"
"46392","2015","588640"
"55518","2015","588344"
"55518","2015","588345"
"55518","2015","588346"
"29449","2015","588347"
"29449","2015","588348"
"29449","2015","588349"
"15140","2015","588641"
"15140","2015","588642"
"18555","2015","588351"
"45153","2015","588352"
"45153","2015","588353"
"45153","2015","588354"
"49766","2015","588355"
"49766","2015","588356"
"49766","2015","588357"
"13325","2015","588358"
"13325","2015","588359"
"13325","2015","588360"
"52397","2015","588643"
"16126","2015","588644"
"55514","2015","588361"
"12927","2015","588364"
"16126","2015","588645"
"16126","2015","588646"
"12897","2015","588368"
"12897","2015","588369"
"12897","2015","588370"
"12897","2015","588371"
"40765","2015","588372"
"15554","2015","588647"
"15554","2015","588648"
"15554","2015","588649"
"12904","2015","588373"
"12904","2015","588374"
"12904","2015","588375"
"12904","2015","588376"
"12904","2015","588377"
"12904","2015","588378"
"15554","2015","588650"
"15827","2015","588379"
"27851","2015","588380"
"27851","2015","588381"
"27851","2015","588382"
"16102","2015","588383"
"40587","2015","588386"
"40587","2015","588387"
"40587","2015","588388"
"15554","2015","588651"
"10680","2015","588389"
"10680","2015","588390"
"10680","2015","588391"
"18631","2015","588399"
"13379","2015","588400"
"13379","2015","588401"
"13379","2015","588402"
"13379","2015","588403"
"33973","2015","588652"
"18288","2015","588653"
"18288","2015","588654"
"11393","2015","588655"
"46000","2015","588404"
"20744","2015","588405"
"20744","2015","588406"
"20744","2015","588407"
"20744","2015","588408"
"11393","2015","588656"
"9639","2015","588409"
"9639","2015","588410"
"9639","2015","588411"
"13309","2015","588412"
"13309","2015","588413"
"43100","2015","588414"
"43100","2015","588415"
"43100","2015","588416"
"43100","2015","588417"
"43100","2015","588418"
"31810","2015","588419"
"31810","2015","588420"
"31810","2015","588421"
"49385","2015","588422"
"49385","2015","588423"
"49385","2015","588424"
"47757","2015","588425"
"55564","2015","588428"
"55494","2015","588429"
"22427","2015","588430"
"22427","2015","588431"
"22427","2015","588432"
"22427","2015","588433"
"7319","2015","588434"
"7319","2015","588435"
"7535","2015","588437"
"7535","2015","588438"
"11393","2015","588657"
"11393","2015","588658"
"15423","2015","588439"
"15423","2015","588440"
"15423","2015","588441"
"15423","2015","588442"
"50262","2015","588446"
"29455","2015","588448"
"15191","2015","588659"
"21187","2015","588449"
"52673","2015","588450"
"51578","2015","588451"
"51578","2015","588452"
"45400","2015","588453"
"45400","2015","588454"
"21184","2015","588465"
"21184","2015","588466"
"21184","2015","588467"
"45129","2015","588468"
"55488","2015","588470"
"15812","2015","588471"
"15812","2015","588472"
"29454","2015","588473"
"29457","2015","588474"
"28853","2015","588477"
"28853","2015","588478"
"44387","2015","588483"
"29456","2015","588484"
"781","2015","439600"
"781","2015","439601"
"781","2015","439602"
"575","2015","439611"
"575","2015","439612"
"575","2015","439613"
"49682","2015","439627"
"49682","2015","439628"
