"college_institution_id","student_hostel_id","survey_year"
"22449","194082","2015"
"22449","194083","2015"
"30757","194275","2015"
"30757","194276","2015"
"46392","194277","2015"
"16126","194278","2015"
"15554","194279","2015"
"15554","194280","2015"
"11393","194281","2015"
"11393","194282","2015"
"46142","194084","2015"
"46142","194085","2015"
"46142","194086","2015"
"11393","194283","2015"
"52242","194087","2015"
"52242","194088","2015"
"22423","194089","2015"
"11393","194284","2015"
"28261","194096","2015"
"28261","194097","2015"
"17636","194098","2015"
"17636","194099","2015"
"22414","194100","2015"
"13397","194101","2015"
"30714","194104","2015"
"30714","194105","2015"
"30714","194106","2015"
"11393","194285","2015"
"44436","194109","2015"
"44436","194110","2015"
"44436","194111","2015"
"44436","194112","2015"
"11393","194286","2015"
"11393","194287","2015"
"11393","194288","2015"
"13916","194392","2015"
"13916","194393","2015"
"13360","194115","2015"
"46580","194120","2015"
"46580","194121","2015"
"44393","194137","2015"
"47930","148368","2015"
"47930","148369","2015"
"7154","148373","2015"
"7154","148374","2015"
"6787","148391","2015"
"306","148398","2015"
"306","148399","2015"
"6695","148400","2015"
"6845","148401","2015"
"22","148411","2015"
"22","148412","2015"
"22","148413","2015"
"22","148414","2015"
"22","148415","2015"
"22","148416","2015"
"22","148417","2015"
"22","148418","2015"
"1207","148419","2015"
"6895","148420","2015"
"6895","148421","2015"
"1039","148422","2015"
"1039","148423","2015"
"1039","148424","2015"
"1039","148425","2015"
"1039","148426","2015"
"1039","148427","2015"
"6640","148428","2015"
"6640","148429","2015"
"693","148430","2015"
"693","148431","2015"
"50653","148432","2015"
"47885","148433","2015"
"47885","148434","2015"
"47885","148435","2015"
"47885","148436","2015"
"47885","148437","2015"
"47885","148438","2015"
"6806","148439","2015"
"8649","148440","2015"
"685","148441","2015"
"685","148442","2015"
"47252","148443","2015"
"50321","148446","2015"
"1161","148448","2015"
"1161","148449","2015"
"45110","148458","2015"
"6662","148459","2015"
"6662","148460","2015"
"47253","148461","2015"
"20646","148462","2015"
"20646","148463","2015"
"13927","148464","2015"
"313","148472","2015"
"6077","148473","2015"
"557","148474","2015"
"47925","148478","2015"
"182","148479","2015"
"42098","148480","2015"
"42098","148481","2015"
"6258","148490","2015"
"6258","148491","2015"
"6258","148492","2015"
"6258","148493","2015"
"6258","148494","2015"
"6307","148495","2015"
"6307","148496","2015"
"48503","148500","2015"
"48503","148501","2015"
"81","148502","2015"
"81","148503","2015"
"81","148504","2015"
"81","148505","2015"
"81","148506","2015"
"81","148507","2015"
"81","148508","2015"
"81","148509","2015"
"81","148510","2015"
"81","148511","2015"
"81","148512","2015"
"81","148513","2015"
"81","148514","2015"
"81","148515","2015"
"81","148516","2015"
"6082","148517","2015"
"6082","148518","2015"
"47251","148519","2015"
"47251","148520","2015"
"45251","148524","2015"
"8874","148525","2015"
"8874","148526","2015"
"877","148528","2015"
"7189","148529","2015"
"15745","148530","2015"
"15745","148531","2015"
"15745","148532","2015"
"15745","148533","2015"
"940","148534","2015"
"7166","148552","2015"
"49","148555","2015"
"49","148556","2015"
"47886","148561","2015"
"47886","148562","2015"
"47886","148563","2015"
"21244","148564","2015"
"44306","148565","2015"
"41898","148566","2015"
"41898","148567","2015"
"5855","148568","2015"
"5855","148569","2015"
"11144","148572","2015"
"11144","148573","2015"
"47442","148574","2015"
"5881","148576","2015"
"850","148577","2015"
"850","148578","2015"
"528","148579","2015"
"621","148582","2015"
"983","148585","2015"
"983","148586","2015"
"586","148588","2015"
"586","148589","2015"
"42085","148591","2015"
"49854","148595","2015"
"40549","148598","2015"
"40549","148599","2015"
"47814","148600","2015"
