"college_institution_id","survey_year","teaching_staff_sanctioned_strength_id"
"55441","2015","724434"
"55441","2015","724435"
"54826","2015","725192"
"54826","2015","725193"
"22449","2015","724436"
"22449","2015","724437"
"22449","2015","724438"
"22449","2015","724439"
"22449","2015","724440"
"13438","2015","724441"
"13438","2015","724442"
"13438","2015","724443"
"13376","2015","724444"
"13376","2015","724445"
"13376","2015","724446"
"54826","2015","725194"
"8719","2015","724447"
"8719","2015","724448"
"8719","2015","724449"
"51928","2015","724450"
"51928","2015","724451"
"51928","2015","724452"
"55446","2015","724458"
"55446","2015","724459"
"55446","2015","724460"
"46142","2015","724461"
"46142","2015","724462"
"46142","2015","724463"
"46142","2015","724464"
"46142","2015","724465"
"46142","2015","724466"
"46142","2015","724467"
"46142","2015","724468"
"51402","2015","724469"
"51402","2015","724470"
"51402","2015","724471"
"51402","2015","724472"
"36831","2015","725195"
"52242","2015","724473"
"52242","2015","724474"
"52242","2015","724475"
"22423","2015","724476"
"22423","2015","724477"
"22423","2015","724478"
"50846","2015","724495"
"50846","2015","724496"
"50846","2015","724497"
"14299","2015","724498"
"14299","2015","724499"
"14299","2015","724500"
"28261","2015","724501"
"28261","2015","724502"
"28261","2015","724503"
"28261","2015","724504"
"36831","2015","725196"
"36831","2015","725197"
"27427","2015","724505"
"27427","2015","724506"
"27427","2015","724507"
"27427","2015","724508"
"27427","2015","724509"
"44392","2015","725198"
"17636","2015","724510"
"17636","2015","724511"
"54851","2015","724512"
"54851","2015","724513"
"54851","2015","724514"
"27972","2015","724515"
"27972","2015","724516"
"27972","2015","724517"
"13406","2015","724518"
"13406","2015","724519"
"13406","2015","724520"
"27960","2015","724521"
"27960","2015","724522"
"22414","2015","724523"
"22414","2015","724524"
"22414","2015","724525"
"51454","2015","724526"
"51454","2015","724527"
"51454","2015","724528"
"13397","2015","724532"
"13397","2015","724533"
"13397","2015","724534"
"17658","2015","724535"
"17658","2015","724536"
"17658","2015","724537"
"44392","2015","725199"
"30714","2015","724541"
"30714","2015","724542"
"30714","2015","724543"
"30714","2015","724544"
"30714","2015","724545"
"30714","2015","724546"
"13316","2015","724547"
"13316","2015","724548"
"13316","2015","724549"
"48591","2015","724555"
"48591","2015","724556"
"48591","2015","724557"
"48591","2015","724558"
"33105","2015","724559"
"33105","2015","724560"
"33105","2015","724561"
"10865","2015","724562"
"10865","2015","724563"
"10865","2015","724564"
"44436","2015","724565"
"44436","2015","724566"
"44436","2015","724567"
"44392","2015","725200"
"45160","2015","724572"
"45160","2015","724573"
"45160","2015","724574"
"53479","2015","724575"
"53479","2015","724576"
"44392","2015","725201"
"13433","2015","724577"
"13433","2015","724578"
"13433","2015","724579"
"13360","2015","724580"
"13360","2015","724581"
"13360","2015","724582"
"13360","2015","724583"
"10640","2015","724589"
"10640","2015","724590"
"10640","2015","724591"
