"id","course_id","enrolled_foreign_student_count_id"
"71533","1072214","55013"
"71534","1072208","55012"
"71536","1072214","55019"
"71537","1072208","55011"
"71995","1074005","61673"
"71555","1072295","61255"
"71557","1072356","61257"
"71574","1072331","61274"
"71600","1072513","61300"
"71612","1072331","61312"
"71617","1072295","61317"
"71625","1072501","61325"
"71630","1072362","61330"
"71665","1072513","61365"
"71690","1072356","61390"
"71735","1072291","61435"
"71739","1072454","61439"
"71740","1072295","61440"
"71770","1072501","61470"
"71774","1072356","61474"
"71809","1072477","61509"
"71851","1072454","61551"
"71852","1072295","61552"
"71854","1072291","61554"
"71877","1072465","61577"
"71883","1072331","61583"
"71890","1072454","61590"
"71895","1072443","61595"
"71905","1072443","61605"
"71916","825163","47982"
"71917","825163","47983"
"71921","1073020","61615"
"71923","1073030","61617"
"71938","1073070","61632"
"71940","1073072","61634"
"71953","1073306","61647"
"71957","1073311","61651"
"55116","807670","47170"
"55315","810965","47341"
"55316","810954","47343"
"55322","810954","47337"
"55377","811952","47402"
"55699","807691","47186"
"55701","807693","47187"
"55720","815678","47558"
"55722","815716","47560"
"55723","815716","47561"
"55724","815716","47562"
"55725","815716","47563"
"55726","815716","47564"
"55728","816191","47566"
"55729","816192","47567"
"55773","817294","47609"
"55776","817295","47612"
"55786","817315","47622"
"55787","817315","47623"
"55788","817315","47624"
"55789","817315","47625"
"55791","817326","47627"
"55814","816961","47600"
"55817","816961","47602"
"55820","816961","47598"
"55825","818362","47647"
"55826","818362","47648"
"55827","818364","47649"
"55829","818362","47651"
"55838","818621","47657"
"55872","809649","47303"
"55943","820665","47753"
"55952","820665","47762"
"55954","820665","47764"
"55956","820665","47766"
"55963","820665","47773"
"55969","820665","47779"
"55971","820665","47781"
"56003","821697","47812"
"56019","821827","47828"
"56151","824548","47960"
"56152","824548","47961"
"56154","824548","47963"
"56155","824548","47964"
"56156","824548","47965"
"56158","824548","47967"
"56175","825298","47984"
"56176","825300","47985"
"56177","825300","47986"
"56181","825299","47990"
"56195","825458","48004"
"56196","825458","48005"
"56279","826844","48088"
"56371","829231","48179"
"56398","829991","48206"
"56424","830911","48232"
"56428","830911","48236"
"56457","831916","48265"
"56464","832166","48272"
"56476","832612","48284"
"56529","834656","48334"
"56530","834656","48335"
"56537","834656","48342"
"56539","834815","48344"
"56578","836964","48366"
"56592","838215","48379"
"56596","838940","48383"
"56597","839031","48384"
"56598","839031","48385"
"56599","839031","48386"
"56600","839031","48387"
"56601","839031","48388"
"56602","839031","48389"
"56603","839031","48390"
"56604","839031","48391"
"56605","839031","48392"
"56606","839031","48393"
"56607","839031","48394"
"56608","839031","48395"
"56609","839031","48396"
"56610","839031","48397"
"56611","839031","48398"
"56612","839031","48399"
"56613","839031","48400"
"56614","839031","48401"
"56615","839031","48402"
"56637","839686","48424"
"56640","839686","48427"
"56644","839686","48431"
"56646","839686","48433"
"56648","839692","48435"
"56650","839692","48437"
"56654","839692","48441"
"56686","842434","48473"
"56690","842434","48477"
"56718","844410","48505"
"56721","844410","48508"
"56750","845594","48536"
"56751","845595","48537"
"56752","845594","48538"
"56755","845595","48541"
"56756","845594","48542"
"56758","845594","48544"
"56759","845594","48545"
"56762","845595","48548"
"56764","845594","48550"
"56791","846266","48577"
"56792","846266","48578"
"56793","846266","48579"
"56794","846266","48580"
"56795","846266","48581"
"56799","846277","48585"
"56823","846260","48609"
"56824","846260","48610"
"56832","846419","48618"
"56834","846412","48620"
"56835","846419","48621"
"56852","846588","48629"
"56857","847347","48666"
"56871","829626","48193"
"56878","848457","48682"
"56880","848501","48684"
"56881","848501","48685"
"56899","848947","48703"
"56906","848944","48710"
"56907","848944","48711"
"56944","850012","48747"
"56945","850012","48748"
"56946","850012","48749"
"56985","851234","48788"
"56986","851230","48789"
"56987","851224","48790"
"56998","851288","48801"
"57002","851376","48805"
"57013","852075","48809"
"57290","855958","49080"
"57293","856325","49083"
"57306","857373","49096"
"57309","857459","49099"
"57469","859407","49256"
"57476","859497","49263"
"57477","859497","49264"
"57535","861527","49318"
"57747","863243","49524"
"57785","864795","49556"
"57800","865046","49571"
"57801","865046","49572"
"57802","865046","49573"
"57803","865046","49574"
"57804","865046","49575"
"57805","865046","49576"
"57806","865046","49577"
"57808","865339","49579"
"57816","865756","49587"
"57830","865681","49601"
"57839","865876","49610"
"57840","865908","49611"
"57868","866269","49639"
"57870","866270","49641"
"57873","866269","49644"
"57882","866271","49653"
"57884","866269","49655"
"57886","866271","49657"
"57900","866269","49671"
"57902","866270","49673"
"57907","866269","49678"
"57917","866269","49688"
"57921","866271","49692"
"57943","866270","49714"
"57948","866269","49719"
"57952","866435","49723"
"57953","866435","49724"
"57959","866786","49730"
"57968","866821","49739"
"57973","866821","49744"
"57975","867197","49746"
"57976","867197","49747"
"57980","867377","49751"
"57998","867859","49769"
"58035","867996","49806"
"58036","867992","49807"
"58037","867985","49808"
"58338","870022","50108"
"58347","833330","48316"
"58350","833330","48311"
"58365","809250","47269"
"58367","870970","50123"
"58383","871611","50139"
"58387","871985","50143"
"58391","872026","50147"
"58392","872026","50148"
"58393","872026","50149"
"58399","872268","50155"
"58482","875014","50204"
"58512","875826","50227"
"58527","876842","50242"
"58543","877240","50251"
"58544","877534","50252"
"58546","877534","50254"
"58549","877534","50257"
"58552","877992","50272"
"58565","878840","50321"
"58566","878840","50322"
"58580","879131","50331"
"58606","879580","50352"
"58610","879883","50356"
"58613","879891","50359"
"58614","879892","50360"
"58649","880192","50377"
"58705","880978","50405"
"58730","882346","50427"
"58731","882346","50428"
"58732","882346","50429"
"58733","882346","50430"
"58734","882346","50431"
"58740","882344","50437"
"58745","882948","50442"
"58750","882949","50447"
"58902","884764","50598"
"58912","885314","50608"
"58968","888639","50660"
"58973","889263","50665"
"58974","889263","50666"
"58975","889263","50667"
"58976","889263","50668"
"58977","889263","50669"
"58978","889263","50670"
"58979","889248","50671"
"58982","889263","50674"
"58983","889284","50675"
"59008","889856","50698"
"59009","889858","50699"
"59045","891929","50725"
"59047","891931","50727"
"59048","891924","50728"
"59049","891929","50729"
"59051","891923","50731"
"59052","891923","50732"
"59054","891923","50734"
"59062","892745","50742"
"59065","892956","50745"
"59070","892956","50750"
"59121","894624","50801"
"59122","894871","50802"
"59132","894879","50812"
"59133","894879","50813"
"59134","894879","50814"
"59137","895370","50817"
"59174","896086","50854"
"59184","896084","50864"
"59187","896084","50867"
"59208","896471","50878"
"59213","897225","50881"
"59214","897225","50882"
"59225","897339","50893"
"59226","897339","50894"
"59229","897340","50897"
"59230","897335","50898"
"59231","897659","50899"
"59237","897659","50905"
"59320","898189","50958"
"59324","898416","50962"
"59354","898745","50992"
"59372","898905","51010"
"59427","899737","51065"
"59447","900749","51080"
"59459","901176","51091"
"59469","901438","51101"
"59472","901425","51104"
"59473","901422","51105"
"59474","901411","51106"
"59476","901437","51108"
"59477","901437","51109"
"59488","901539","51120"
"59528","901943","51160"
"59529","901943","51161"
"59535","903158","51165"
"59537","903218","51167"
"59542","903218","51172"
"59593","904023","51219"
"59595","879828","50355"
"59597","904288","51221"
"59598","904288","51222"
"59841","905066","51319"
"59854","905459","51332"
"59856","905480","51334"
