"id","regional_center_name","state_code","district_code"
"4547","University Centre for Distance Learning (UCDL)","06","079"
"4548","Directorate of Distance Education","03","036"
"4573","Itanagar","12","248"
"4609","Imphal","14","277"
"4610","Patna","10","230"
"4611","Mumbai","27","518"
"4612","Jorhat","18","312"
"4613","Darbhanga","10","215"
"4614","Ahmedabad","24","474"
"4615","Raipur","22","410"
"4616","Bhagalpur","10","224"
"4617","Vatakara","32","591"
"4618","Test1","07","095"
"4549","Madurai","33","623"
"4550","Varanasi","09","197"
"4551","INEP Mumbai","27","519"
"4552","Delhi-1","07","098"
"4553","Lucknow","09","157"
"4554","Headquater","07","098"
"4555","Karnal","06","074"
"4556","Raghunathganj","19","333"
"4557","Pune","27","521"
"4558","Guwahati","18","309"
"4559","Noida","09","141"
"4560","Gangtok","11","244"
"4561","Jodhpur","08","113"
"4562","INEP New Delhi","07","094"
"4563","Rajkot","24","476"
"4564","Siliguri","19","327"
"4565","Visakhapatnam","28","544"
"4566","Shillong","17","298"
"4567","test","28","554"
"4568","Hyderabad","36","536"
"4569","Bhubaneswar","21","386"
"4570","Dehradun","05","060"
"4571","Agartala","16","289"
"4572","Bhopal","23","444"
"4574","Chandigarh","04","055"
"4575","IAEP Chandimandir","06","069"
"4576","INEP Kochi","32","595"
"4577","Delhi-3","07","096"
"4578","Ranchi","20","364"
"4579","Port Blair","35","640"
"4580","Jaipur","08","110"
"4581","Aizawl","15","283"
"4582","Panji","30","585"
"4583","Koraput","21","398"
"4584","IAEP-Lucknow","09","157"
"4585","IAEP-PUNE","27","521"
"4586","Srinagar","01","010"
"4587","Shimla","02","033"
"4588","Chennai","33","603"
"4589","Saharsa","10","214"
"4590","Nagpur","27","505"
"4591","IAEP-Jaipur","08","110"
"4592","Kolkata","19","342"
"4593","Bangalore","29","572"
"4594","INEP Visakhapatnam","28","544"
"4595","Vijaywada","28","547"
"4596","Aligarh","09","143"
"4597","Jabalpur","23","451"
"4598","IAEP-Udhampur","01","019"
"4599","Bijapur","22","417"
"4600","Trivandrum","32","601"
"4601","IAERP Shillong","17","298"
"4602","Cochin","32","595"
"4603","IAEP Kolkata","19","342"
"4604","Jammu","01","021"
"4605","Khanna","03","041"
"4606","Delhi-2","07","095"
"4607","Deoghar","20","350"
"4608","Kohima","13","270"
"4619","North Eastern Hill University","17","298"
"3758","Manonmaniam Sundaranar University","33","628"
"3788","DR. BAOU (ALL REG. CENTER) GUJARAT","24","474"
"3789","Kalyani Regional Centre","19","336"
"3791","DDCE,FAKIR MOHAN UNIVERSITY","21","377"
"3794","Vidyasagar University","19","344"
"3802","Directorate of Correspondance Courses and Distance Education Center","29","572"
"3803","Head Quarters","28","554"
"3805","University campus, Delhi","07","098"
"3806","University of Kalyani","19","336"
"3813","Mahadev Desai Samajseva Mahavedhyalaya, Ahmedabad","24","474"
"3814","RUBBY COLLEGE OF PRECEPTORS","33","623"
"3815","Dr. N.G.P.COLLEGE OF EDUCATION","33","632"
"3816","NRITHYODAYA","33","603"
"3817","SASTRA UNIVERSITY (MAIN CAMPUS)","33","620"
"3818","STELLA MATUTINA COLLEGE OF EDUCATION","33","603"
"3819","SRINIVASA RAMANUJAN CENTRE (SRC)","33","620"
"3826","Head Office","27","504"
"3827","Jorhat Regional Centre","18","312"
"3828","Jain Vishva Bharati Institute, Ladnun","08","112"
"3829","Directorate of Distance Education","19","335"
"3830","Center for Distance Education","27","511"
"3832","D.E.I. DISTANCE EDUCATION CENTRE","09","146"
"3839","Roorkee","05","068"
"3890","MGCGV","23","429"
"3891","Thane-Sub Centre","27","517"
"3894","Directorate of Distance  Education, Karaikudi","33","622"
"3895","Regional Centre (East U.P.)","09","157"
"3896","Periyar University","33","608"
"3897","Directorate of Distance Education","33","603"
"3898","Regional Centre Satna","23","429"
"3899","Regional Centre Bhopal","23","444"
"3900","Regional Centre Indore","23","439"
"3901","Regional Centre Gwalior","23","421"
"3902","Regional Centre jabalpur","23","451"
"3892","Institute of Distance Education & Open Learning","27","518"
"3893","Ratnagiri Sub-Centre","27","528"
"3820","CHENNAI","33","603"
"3821","TRICHY","33","614"
"3822","VILUPURAM","33","607"
"3823","MADURAI","33","623"
"3824","COIMBATORE","33","632"
"3825","NAGERCOIL","33","629"
"3903","Regional Centre Rewa","23","430"
"3904","Regional Centre Ujjain","23","435"
"3905","Regional Centre Sagar","23","427"
"3906","Regional Centre Chhindwara","23","455"
"3907","Regional Centre Hoshangabad","23","449"
"3908","The Tamil Nadu Dr.M.G.R.Medical Univesity","33","603"
"3909","School of Distance Education","33","632"
"3910","St.Peter's University Head Quarters","33","602"
"3911","SHIATS Regional Centre","09","175"
"3912","CIRC","07","098"
"3913","WWF","07","098"
"3914","Directorate of Distance Education","16","289"
