"id","country_id","programme_id","discipline","total","girls","broad_discipline_group_id","level_id"
"59430","153","036","Mechanical Engg.","5","0","023","4"
"54847","168","036","Electrical Engineering","1","0","019","4"
"57221","247","176","Political Science","7","7","112","4"
"53655","117","036","Chemical","2","1","015","4"
"58863","245","124","Globalisation and Labour","1","0","116","3"
"56151","20","036","Computer Science and Engineering","1","0","017","4"
"59145","206","030","Microbiology","1","0","171","4"
"58690","102","093","Commerce","1","0","009","3"
"48532","153","001","VYAKRAN","4","0","080","3"
"57213","2","176","Music","1","1","127","4"
"61145","160","043","BBA","1","1","133","4"
"59892","207","046","BCA","3","0","183","4"
"55290","2","111","Physics","1","1","104","3"
"59315","160","030","Zoology","1","1","171","4"
"52015","124","111","M.Sc. Agriculture Crop Physiology","1","0","001","3"
"48796","20","050","Electrical Engineering","1","1","019","4"
"50496","153","043","Financial Markets","1","0","133","4"
"55459","103","135","Painting","1","1","030","3"
"56414","40","185","Economics","1","1","109","8"
"60940","153","043","MANAGEMENT","3","0","133","4"
"49059","153","050","COMPUTER SCIENCE AND ENGINEERING","6","0","017","4"
"60317","153","006","Arts","5","0","178","4"
"52062","124","157","Soil Science","1","0","001","1"
"48394","202","012","Commerce","1","0","009","4"
"53816","193","036","Biotech","1","0","026","4"
"54383","160","141","Library & Information Science","1","0","053","3"
"55611","70","157","Aerospace","1","0","122","1"
"49303","178","012","Management Studies","4","3","009","4"
"55456","153","180","Electronics","1","0","096","4"
"58662","73","186","MBA","1","0","133","8"
"54370","244","036","Electronics & Communication Engineering","2","0","020","4"
"54793","102","157","Civil Engineering","1","0","016","1"
"57317","216","030","Laboratory Technology","1","1","171","4"
"56472","27","036","Civil","1","0","016","4"
"50536","203","049","Dental Surgery","1","0","066","4"
"55012","153","036","ECE","3","0","020","4"
"48678","150","157","SANSKRIT","5","0","046","1"
"56196","232","036","Electronics and Communication","1","0","020","4"
"58842","153","012","B.COM (Prog)","1","0","009","4"
"47825","213","050","Electronics and Communications Engineering","2","0","020","4"
"54816","139","157","International Studies","1","0","035","1"
"51791","139","030","Science","1","0","171","4"
"54683","40","027","Pharm.D (Regular)","1","1","076","4"
"47644","228","026","PHARMACY","1","1","076","4"
"52315","20","012","Commerce","4","4","009","4"
"54731","206","153","Social work","1","0","117","3"
"58201","103","124","English","18","3","031","3"
"61019","20","036","Mechanical","3","3","023","4"
"55380","2","036","Civil Engineering","1","1","016","4"
"54803","109","176","History&Culture","1","1","111","4"
"56396","230","036","All","1","1","026","4"
"57102","247","039","Law","1","0","052","8"
"54581","20","126","Busieness Administration","6","4","133","3"
"58423","103","111","Biochemistry","6","1","143","3"
"49552","130","006","Arts","1","1","178","4"
"58683","2","043","Commerce","2","1","133","4"
"58444","224","145","Physical Education","1","0","082","3"
"61201","202","036","CSE","7","0","017","4"
"56015","160","111","Computer Science","1","0","107","3"
"53697","153","036","IT","2","0","185","4"
"57561","145","082","Diploma of Proficiency in English and Career Skills","1","1","031","6"
"52487","130","046","Computer","1","0","183","4"
"58130","166","030","COMPUTER SCIENCES","1","1","171","4"
"58940","160","030","Science","1","1","171","4"
"50125","244","050","Civil Engin","1","0","016","4"
"54940","102","193","Pharmacy","9","6","076","3"
"51610","182","111","Chemistry","1","0","094","3"
"56595","2","012","Commerce (Finance)","3","0","009","4"
"50405","109","157","Gandhian Thought","1","1","036","1"
"59928","2","036","Computer Science & Engineering","1","0","017","4"
"49666","19","046","BCA","6","0","183","4"
"60872","232","157","Humanities and Social Sciecne","1","1","116","1"
"48195","2","030","Science","1","0","188","4"
"60854","149","012","commerce","2","1","009","4"
"52334","27","039","Faculty of law","3","0","052","8"
"50104","102","117","Nursing","10","10","072","3"
"51458","153","050","COMPUTER SCIENCE AND ENGINEERING","1","0","017","4"
"48795","20","050","Computer Engineering","1","1","017","4"
"52736","70","050","BE-ME","1","0","023","4"
"51890","153","036","ME","5","0","023","4"
"55313","165","036","ELECTRONICS","1","0","020","4"
"53450","132","124","Human Resource  Planning and Development","1","0","116","3"
"53104","68","111","Science","1","0","177","3"
"56207","20","036","Electrical and Electronic Engineering","1","0","026","4"
"47905","228","030","Airline Tourism & Hospitality Management","1","1","171","4"
"49070","206","050","Computer Engineering","1","1","017","4"
"57242","15","129","Anatomy, Physiology, Biochemistry, Pathology , Microbiology, Pharmcology, Forensic Medicine, Ophthalmology, ENT, Community Medicine, Medicine, Surgery, Obst. & Gynae, Pediatrics","1","1","068","4"
"51286","104","049","BDS","1","1","066","4"
"49056","73","050","I.T.","1","0","185","4"
"60833","225","006","Arts","6","2","178","4"
"53030","44","036","Computer Science and Engineering","1","0","017","4"
"56240","153","036","Civil","5","0","016","4"
"54922","109","155","Human Consciousness, Yoga and Alternative Therapy","1","1","083","5"
"51011","232","030","AFD","1","1","027","4"
"60590","160","030","Geography, Tourism & Travel Management  (Evening)","1","1","171","4"
"51517","2","046","COMPUTER SCIENCE","7","1","183","4"
"52772","20","051","Foundation","2","1","030","4"
"55832","27","030","B.Sc PHY","4","0","171","4"
"49708","124","046","BCA","2","0","183","4"
"55673","247","176","B.A.(H) English","4","1","031","4"
"57123","70","122","Civil","1","0","016","3"
"47593","160","087","Law (BSL,LL.B)","1","1","052","4"
"48097","20","050","Computer Engieering","2","1","017","4"
"52480","8","046","Computer","1","0","183","4"
"55660","46","006","B.A.(P)","1","0","178","4"
"61326","27","126","MBA","2","2","133","3"
"48108","27","038","Veterinary Sciences","7","2","007","4"
"52536","216","101","Commerce & Management","1","0","138","3"
"54242","20","157","Commerce","1","0","009","1"
"53620","65","043","Business Admin","1","1","133","4"
"54253","101","157","Linguistics","2","0","054","1"
"58437","202","036","Chemical Engineering","2","0","015","4"
"54319","244","157","Commerce","2","0","009","1"
"59865","27","012","COMMERCE","4","1","009","4"
"57247","247","180","Honours","4","0","107","4"
"57241","33","129","Anatomy, Physiology, Biochemistry, Pathology , Microbiology, Pharmcology, Forensic Medicine, Ophthalmology, ENT, Community Medicine, Medicine, Surgery, Obst. & Gynae, Pediatrics","3","1","068","4"
"54496","182","130","Computer Application","1","0","183","3"
"53804","178","193","Pharmacy","2","2","076","3"
"57682","40","087","BA LL.B","1","1","052","4"
"52191","20","193","Pharm.D","1","1","076","3"
"56612","165","050","Aeronautical","1","0","122","4"
"55553","139","176","English","1","1","031","4"
"60464","193","124","Human Rights","6","0","115","3"
"48748","232","012","COMMERCE","1","0","009","4"
"54620","103","093","Commerce","1","0","009","3"
"59434","206","036","Chemical Engineering","1","1","015","4"
"49089","20","036","CSE","3","2","017","4"
"52592","228","046","Computer Science","3","0","183","4"
"50609","206","012","Commerce","1","1","009","4"
"55365","182","012","EBanking","2","0","009","4"
"50554","139","027","B Pharm","5","1","076","4"
"59795","244","043","Management","1","0","133","4"
"55562","2","012","Commerce","1","0","009","4"
"59627","160","025","Optometry","2","0","162","4"
"48713","68","046","Science","8","0","183","4"
"60554","206","006","Tamil Literature","1","0","178","4"
"48807","153","050","Computer Science & Engineering","6","0","017","4"
"60867","244","012","commerce","10","0","009","4"
"55134","207","126","Management","1","0","133","3"
"56679","193","050","Mechatronics","1","0","026","4"
"55088","113","012","Commerce","4","1","009","4"
"47591","206","012","COMMERCE","3","1","009","4"
"50441","207","012","B.Com.C.A","2","0","009","4"
"48087","2","056","Homoeopathy","2","2","071","4"
"53642","113","036","ECE","1","0","020","4"
"54717","160","157","Polymer Science & Rubber Technology","1","0","026","1"
"60371","40","012","Commerce","1","0","009","4"
"48692","109","131","Ayurveda","1","1","064","3"
"56467","117","036","Computer","1","0","017","4"
"61665","117","036","Computer Engineering","1","0","017","4"
"51797","168","046","Computer Applications","2","0","183","4"
"60905","206","005","Ayurveda","2","2","064","4"
"51154","150","050","Computer Engineering","1","0","017","4"
"61166","160","193","PHARM-D","1","1","076","3"
"55609","232","157","Microbiology Cell Biology","1","1","091","1"
"57020","115","006","History, Economics and Political Science","1","1","178","4"
"52441","206","050","Civil Engineering","1","0","016","4"
"57340","160","012","Commerce","1","0","009","4"
"58052","160","031","Nursing","7","6","072","4"
"53822","193","036","EEE","1","0","019","4"
"54006","207","093","Finance & Control","2","0","009","3"
"52135","153","046","computer","4","1","183","4"
"55903","207","111","Geology","1","0","099","3"
"57997","153","124","Applied Psychology","1","1","113","3"
"52349","70","046","COMPUTER APPLICATION","2","1","183","4"
"48358","27","006","Arts","1","1","178","4"
"60010","153","155","Law","9","6","052","5"
"61254","2","036","B.Tech. (Electrical Engineering)","39","0","019","4"
"54667","15","036","Computer Science and Engineering (ASE, CBE)","1","1","017","4"
"48431","153","050","Engineering & Technology","1","0","023","4"
"58525","25","027","Pharmacy","2","1","076","4"
"47151","230","129","allopathy","6","5","068","4"
"54222","245","012","B. Com. + B. Com (H)","1","0","009","4"
"51058","230","050","B.E.","8","2","026","4"
"49658","206","111","Microbiology","3","3","156","3"
"48825","232","036","ICT","1","1","026","4"
"59720","232","050","ELECTRONICS & COMMUNICATION ENGINEERING","8","4","020","4"
"53338","232","129","Medical","1","1","068","4"
"55460","102","051","Sculpture","1","1","030","4"
"52422","153","043","Business Administration","1","1","133","4"
"54528","245","111","Computer Science","1","0","107","3"
"51179","132","050","BE-Petroleum and  offshore engineering","1","0","026","4"
"61651","70","157","Inter-disciplinary","1","0","012","1"
"56153","19","036","Computer Science and Engineering","1","0","017","4"
"49545","113","049","English","1","1","066","4"
"47693","2","124","Master of Arts (Diplomacy, Law & Business)","1","0","112","3"
"60215","244","157","Biochemistry","1","0","143","1"
"57012","247","124","Economics","3","2","109","3"
"61109","245","046","BCA","3","0","183","4"
"48089","102","126","MANAGEMENT","1","1","133","3"
"57155","20","036","Electronics & Communication Engineering","4","2","020","4"
"59755","244","049","Dental","1","0","066","4"
"50157","153","030","MLT","14","3","171","4"
"57775","116","012","Commerce","1","0","009","4"
"60238","244","030","Animation Design","2","0","171","4"
"50442","207","046","BCA","1","0","183","4"
"58366","2","097","M.Ed","9","0","012","3"
"52620","117","036","INFORMATION SCIENCE AND TECHNOLOGY","1","0","185","4"
"58056","27","039","Law","1","1","052","8"
"54467","206","124","Communication  & journalisam","4","2","051","3"
"55573","8","043","Oil & Gas Marketing","1","0","133","4"
"50473","101","043","e-Banking and Finance","1","1","133","4"
"59650","27","036","Electrical Engineering","2","0","019","4"
"53937","244","082","Yoga","1","0","107","6"
"52713","153","043","BBA","10","1","133","4"
"50617","153","124","SOCIOLOGY","27","12","115","3"
"49090","20","036","EE","1","0","019","4"
"53255","203","030","B.Sc MIT","10","5","171","4"
"61258","2","111","M.Sc. (Food  Technology)","1","0","123","3"
"57922","102","036","Bachelor of Technology","1","0","026","4"
"54751","2","012","Commerce& Business  Studies","8","0","009","4"
"56953","246","124","International Studies","1","0","008","3"
"58739","231","044","Bus. Admn","1","0","055","4"
"59304","206","076","Special Course-Thumri","1","1","029","7"
"54399","160","111","Mathematics","1","0","174","3"
"53927","232","036","Chemical","1","1","015","4"
"47902","213","043","Management","1","0","133","4"
"49681","206","044","BBM","3","3","055","4"
"54561","168","126","Busieness Administration","2","0","133","3"
"51588","68","036","Computer Science & Engineering","1","1","017","4"
"50956","113","030","INFORMATION   TECHNOLOGY","1","0","185","4"
"50274","207","050","Electrical","3","0","019","4"
"57492","216","012","Computers","2","0","009","4"
"58688","103","124","Arts","3","0","116","3"
"55922","160","070","BPT","1","1","164","4"
"51174","61","050","BE-Harbour Engineering","8","2","026","4"
"55979","40","129","Dermatology","5","2","068","4"
"51965","2","157","Civil Engineering Structural Engineering","1","0","016","1"
"56830","232","006","Psychology,Sociology and English","1","1","178","4"
"53624","82","049","Dental","1","1","066","4"
"56492","153","148","Public Health","1","0","167","3"
"60810","149","111","Petroleum Technology","1","0","107","3"
"60630","46","124","Arts","5","0","116","3"
"49178","20","087","Law","1","1","052","4"
"53919","231","129","Medicine","1","0","068","4"
"53831","198","009","Architecture","1","1","014","4"
"48803","193","012","UG-4","1","1","009","4"
"53991","182","030","B.Sc.Catering Science & Hotel Management","3","3","171","4"
"47544","20","087","LL.B.","1","0","052","4"
"58944","244","124","English","1","1","031","3"
"54791","102","157","Commerce& Business  Studies","1","1","009","1"
"60382","206","030","Psychology","1","1","171","4"
"53108","247","180","Science","2","2","174","4"
"47333","40","036","Mechanical Engineering","2","0","023","4"
"49773","153","036","Civil Engineering","2","1","016","4"
