"id","name"
"50903","Krishna Institute of Biotechnology & Bioinformatics, Karad"
"48532","Faculty of Science and Applied Science"
"48718","School of Computational Sciences"
"51955","Engineering"
"51891","School of Physics"
"49562","Science"
"49782","Institute of Biotechnology"
"51808","Computer Centre"
"51817","AMITY INSTITUTE OF BIOTECHNOLOGY, KOLKATA"
"49353","School of Chemical Sciences, Payyanur"
"49693","Forestry"
"51453","Sciences"
"48796","Horticulture & Forestry"
"48386","Faculty of Management Studies"
"50496","Science"
"48773","Faculty of Management Studies"
"49770","School of Management & Commerce"
"51502","BIO"
"49059","SCHOOL OF PHYSICAL AND CHEMICAL SCIENCES"
"48109","Allied Health & Basic Sciences"
"52062","University Science Instrumentation Centre including AIRF"
"48577","School of Social Sciences"
"48394","Faculty of Pharmaceutical Sciences"
"51649","Faculty of Management"
"50594","Ramnagar Campus"
"50874","Computer Science and Information Technology"
"47876","EDUCATION"
"48722","School of Interdisciplinary Studies"
"49344","Faculty of Performing Arts"
"52412","Chemistry"
"49303","AGRICULTURAL ENGINEERING AND TECHNOLOGY"
"50112","School of Commerce"
"51462","Engineering and Technology"
"50983","Humanities and Social Sciences"
"51788","Science"
"50309","Faculty of Oriental Studies"
"49898","Himalayan College of Nursing"
"47975","Calorx Teachers' University"
"49414","SCIENCE FACULTY"
"52470","National Dairy Research Institute"
"52455","Academic and Coordination Division"
"49397","Faculty of Dentistry"
"49438","FACULTY OF COMMERCE"
"48187","00"
"48574","School of Basic Sciences & Information Sciences"
"49375","School of Health Sciences, Thalassery"
"50262","University School of Pharmaceutical Sciences"
"48672","School of Humanties, Social Sciences and Management"
"50536","Dairy Faculty"
"51155","Faculty of Agriculture and Animal Husbandry"
"48833","Institute of Applied Science"
"51564","National Institute of Technology Patna"
"48678","Padmanath Gohaibaruah School of Humanities"
"52171","Science & Technology"
"51466","Department of Electrical and Electronics Engineering"
"51124","Faculty of Professional Studies"
"51791","Engineering and Technology"
"50998","School of Literature"
"51146","Faculty of Engineering & Technology"
"52315","MGM Institute's University Department of Nursing, Navi Mumbai"
"50052","Faculty of Science and Technology"
"48305","Education"
"52283","School of Architecture"
"51010","FACULTY OF ARTS & SCIENCES"
"51800","Sarvepalli Radhakrishnan School of Philosophical Studies"
"48059","SCHOOL OF SOCIAL SCINCES"
"48676","School of Minerals, Metallurgical & Materials Engineering"
"49552","College of Pharmacy"
"52433","School of Law"
"48296","College of Veterinary Science and Animal Husbandry- Junagadh"
"51559","Medical Sciences - SLIMS(Sree Laxmi Narayana Insitute of Medical Sciences )"
"51110","Science"
"48777","Faculty of Science"
"48149","Institute of Internal Security Sciences & Management"
"49412","Faculty of Commerce"
"50957","Adhunik Vidya"
"51363","Institute of Commerce & Management"
"51945","Faculty of Media Studies"
"48518","Economics, Management and Information Sciences"
"51783","Faculty of Medicine"
"52203","School of Interdisciplinary Studies"
"48815","School of Art, Design and Media Studies"
"50053","Faculty of Management Studies"
"50125","Law"
"48708","School of Teachers Education"
"51610","School Of Engineering"
"50264","University School of Social Sciences"
"51036","FACULTY OF MANAGEMENT"
"52055","Faculty of Arts & Commerce"
"50229","Faculty of Pharmacy"
"51230","Social Science"
"48932","INFORMATION TECHNOLOGY"
"48231","Faculty of Design , planing  and Architecture"
"48195","Arts and Commerce"
"49161","Christian School of Pharmacy"
"49666","Faculty of Language"
"49910","Faculty of Law"
"51031","FACULTY OF MASS COMMUNICATION & FASHION TECHNOLOGY"
"52334","Faculty of Arts and Social Science"
"50104","Ramanujan School of Mathematical Sciences"
"52471","School of Life Sciences"
"48795","Home Science"
"50648","Amity School of Commerce and Finance"
"51458","Arts and Social Sciences"
"50296","School of Legal Studies and Governance"
"50126","Swami Vivekananda Yoga Anusandhana Samsthana"
"51674","School of Mathematical & Physical Scienecs (MPS)"
"51890","School of Chemistry"
"50647","Amity School of Languages"
"52426","Humanities"
"49797","K.A. Nizami Centre of Quranic Studies"
"49070","School for Ambedkar Studies (SAS)"
"50364","Engineering"
"50725","School of Natural Sciences"
"48125","Faculty of Computer Application"
"48327","Siksha-Bhavana (Institute of Science)"
"51286","Sugarcane Research Institute,RAU,Pusa"
"49308","Human & Environmental Science"
"49697","School of Law"
