"id","count_by_category_id"
"15838","5365334"
"14135","4853186"
"12831","4483296"
"12310","4316316"
"12752","4463495"
"12785","4471756"
"13893","4782369"
"14585","4987772"
"13147","4576153"
"13733","4737948"
"14507","4965363"
"13331","4620195"
"16298","5515857"
"14837","5066595"
"14809","5058753"
"12338","4322012"
"16703","5624426"
"13913","4787139"
"16633","5588371"
"14724","5035506"
"13502","4670567"
"12217","4285657"
"12737","4453694"
"14963","5104493"
"14261","4890813"
"13009","4533283"
"14923","5094241"
"15188","5183677"
"14328","4911945"
"13362","4628543"
"13012","4533558"
"16155","5472482"
"12244","4296491"
"12365","4329993"
"12932","4512475"
"15609","5312772"
"15834","5364917"
"12377","4335034"
"12423","4354211"
"13006","4532993"
"14187","4869586"
"12184","4273461"
"13116","4566808"
"12952","4517779"
"13275","4608625"
"13773","4751310"
"12640","4419723"
"13278","4610008"
"15361","5243989"
"16321","5523384"
"13356","4626882"
"14814","5060369"
"13626","4708246"
"12315","4317142"
"15423","5260731"
"13447","4653423"
"13688","4724137"
"14919","5092817"
"14921","5093497"
"13950","4800091"
"13729","4735973"
"13745","4740826"
"12652","4423329"
"15425","5261543"
"13382","4633623"
"15093","5155305"
"14619","5001504"
"16051","5439323"
"16626","5582800"
"13841","4768517"
"14698","5029576"
"14104","4844255"
"15709","5329961"
"16609","5578188"
"12818","4479469"
"13544","4685546"
"14701","5029860"
"14291","4900363"
"12297","4313929"
"14972","5110827"
"16106","5456065"
"13979","4807677"
"14847","5071054"
"15820","5360226"
"13412","4644250"
"12920","4510246"
"12928","4511214"
"13756","4745307"
"14789","5051735"
"13849","4770999"
"15341","5236508"
"15100","5157197"
"15221","5192511"
"16571","5563948"
"12433","4359625"
"12648","4422124"
"14210","4874548"
"15280","5220449"
"14712","5031978"
"13247","4601953"
"13788","4754167"
"13527","4681263"
"14083","4837760"
"14332","4913064"
"14403","4932713"
"14295","4901194"
"14118","4846710"
"16308","5520290"
"14593","4990371"
"13446","4653215"
"16408","5547428"
"15190","5183822"
"12240","4295650"
"15480","5278507"
"15981","5415275"
"12830","4482959"
"15471","5275401"
"13090","4560945"
"14594","4990764"
"12608","4407805"
"13635","4709635"
"16084","5449298"
"13324","4618736"
"13419","4645561"
"13500","4670025"
"15060","5147618"
"16383","5541208"
"12558","4393369"
"13182","4586796"
"12679","4438128"
"13821","4761742"
"15380","5248002"
"14042","4828206"
"15832","5364337"
"12545","4391506"
"13195","4589715"
"13336","4622799"
"13489","4667288"
"14219","4876904"
"14447","4943782"
"15189","5183696"
"12329","4319842"
"15442","5267152"
"15293","5223428"
"12556","4393212"
"14510","4965823"
"16034","5432624"
"13762","4747438"
"16201","5486312"
"13205","4592196"
"15214","5188711"
"13285","4611403"
"13084","4559376"
"15728","5335063"
"16302","5519620"
"15899","5382676"
"13025","4537564"
"13023","4537270"
"15906","5383793"
"12749","4462853"
"14954","5101477"
"14377","4925539"
"15819","5360075"
"14224","4878612"
"13953","4800550"
"16607","5578097"
"13638","4710389"
"15943","5401391"
"16566","5563021"
"16070","5445089"
"14285","4897463"
"12958","4518631"
"12936","4514612"
"14114","4846101"
"13396","4636640"
"13579","4696020"
"16048","5438207"
"12220","4287146"
"14861","5076871"
"13772","4750948"
"14236","4881388"
"13239","4600061"
"13345","4625076"
"12124","4253659"
"14385","4926565"
"13740","4739778"
"15364","5244775"
"14199","4872576"
"12868","4494896"
