"id","staff_type_id","group_id","sanctioned_strength","posts_reserved_for_pwd","count_by_category_id"
"485926","3","3","1","","4622082"
"520685","1","4","3","","4941570"
"560597","1","4","1","","5354539"
"549135","2","1","1","","5237139"
"515771","1","3","3","","4894125"
"472574","1","3","15","","4504038"
"522568","1","3","8","","4960122"
"580182","1","3","4","","5533729"
"581744","1","1","10","","5549412"
"548770","4","4","0","","5233735"
"570048","3","2","1","","5442804"
"565911","1","3","5","","5409351"
"539393","1","2","164","","5131891"
"546627","4","2","2","","5212944"
"504340","2","2","1","","4778593"
"483021","1","3","2","","4599250"
"453742","2","1","1","","4353348"
"525283","1","4","4","","4986258"
"522849","2","3","1","","4962712"
"531394","2","1","1","","5052370"
"456692","1","4","4","","4375749"
"453860","4","4","17","","4354392"
"588695","1","1","5","","5626443"
"573432","1","3","3","","5473404"
"527139","1","3","18","","5008740"
"537090","1","3","6","","5107156"
"556889","1","3","0","","5314723"
"547734","1","2","355","","5224468"
"586301","4","3","2","","5594607"
"494446","1","4","19","","4692645"
"584095","1","2","14","","5572806"
"540982","1","1","3","","5152629"
"457009","1","3","8","","4377954"
"554194","2","2","0","","5284871"
"515319","1","2","3","","4889481"
"454458","1","3","13","","4358851"
"577354","1","1","8","","5508306"
"509183","2","1","1","","4826453"
"545757","1","4","8","","5203754"
"531011","1","4","7","","5048213"
"542112","2","2","1","","5166060"
"502716","1","3","5","","4763994"
"517996","1","1","223","","4915387"
"542545","1","3","16","","5170296"
"523353","1","3","23","","4967345"
"456920","1","4","1","","4377226"
"478277","1","2","6","","4556353"
"499921","2","4","1","","4738470"
"489036","3","1","1","","4649053"
"581928","2","1","2","","5551798"
"535507","3","1","1","","5091055"
"558345","1","3","1","","5329510"
"581585","4","3","2","","5547966"
"543430","1","3","180","","5179724"
"454124","1","1","2","","4356368"
"537913","1","3","16","","5115362"
"501580","2","3","5","","4754208"
"504451","3","3","1","","4779425"
"512179","1","4","10","","4856152"
"563014","1","1","3","","5376623"
"480123","2","1","1","","4573251"
"504089","3","1","1","","4776571"
"560438","3","2","1","","5352894"
"546080","1","2","2","","5207325"
"532709","1","2","1","","5064559"
"533938","3","3","0","","5076846"
"468893","1","2","12","","4471594"
"495184","3","1","1","","4698874"
"483029","1","4","8","","4599287"
"446606","1","3","6","","4298776"
"484415","1","2","8","","4610221"
"503993","3","4","1","","4775857"
"491834","1","3","0","","4672070"
"533148","1","2","1","","5069692"
"533585","1","3","13","","5073709"
"476706","2","2","1","","4540724"
"571678","1","3","4","","5456421"
"516701","1","3","5","","4903099"
"538409","3","1","1","","5120598"
"447480","2","3","3","","4305743"
"486294","1","4","1","","4625626"
"447758","4","4","12","","4308024"
"557045","1","3","3","","5316803"
"549656","1","1","0","","5242091"
"568348","1","2","4","","5429346"
"518345","1","2","10","","4918614"
"578240","2","2","1","","5516011"
"551486","2","1","3","","5257283"
"462735","1","4","0","","4423499"
"569728","2","2","1","","5440901"
"540489","1","4","4","","5146673"
"501079","4","1","5","","4750151"
"510418","1","4","13","","4837980"
"452223","1","4","2","","4342146"
"447366","2","2","3","","4304992"
"552508","2","1","1","","5267735"
"584915","1","1","8","","5581203"
"586190","4","3","1","","5593612"
"517356","2","3","2","","4908878"
"520033","2","3","1","","4935059"
"563735","3","1","1","","5383200"
"555408","1","4","206","","5297654"
"475326","2","3","1","","4527796"
"443921","1","4","0","","4275535"
"555602","1","2","606","","5299732"
"461450","2","1","1","","4412614"
"449306","3","2","1","","4319497"
"516012","2","2","1","","4896415"
"512886","2","2","1","","4864423"
"587000","1","3","2","","5601182"
"475607","1","4","0","","4530388"
"508621","1","2","37","","4820682"
"507097","3","2","4","","4806255"
"581840","2","2","1","","5550297"
"536456","1","3","14","","5100234"
"476606","3","2","1","","4539877"
"574931","1","4","2","","5486120"
"476576","3","1","1","","4539615"
"519015","2","3","1","","4924817"
"570849","1","1","6","","5449360"
"535065","3","2","1","","5087180"
"584454","1","3","350","","5577094"
"445810","1","1","1","","4292284"
"459512","2","4","13","","4397441"
"528884","1","4","1","","5027467"
"587342","2","1","4","","5605009"
