"institution_id","standalone_institution_name","state_name","state_body_name","level","programme","discipline_group_category","discipline_group","discipline","course_type","study_year","category","general_total","general_females","sc_total","sc_females","st_total","st_females","obc_total","obc_females","total_persons","total_females"
"14550","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, LAWNGTLAI","Mizoram","Teacher Training","Diploma","Diploma-Diploma","Education","Education","Education","General","1","Buddhists","0","0","0","0","30","10","0","0","30","10"
"14550","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, LAWNGTLAI","Mizoram","Teacher Training","Diploma","Diploma-Diploma","Education","Education","Education","General","1","Christians","0","0","0","0","70","32","0","0","70","32"
"14550","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, LAWNGTLAI","Mizoram","Teacher Training","Diploma","Diploma-Diploma","Education","Education","Education","General","2","Buddhists","0","0","0","0","30","4","0","0","30","4"
"14550","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, LAWNGTLAI","Mizoram","Teacher Training","Diploma","Diploma-Diploma","Education","Education","Education","General","2","Christians","0","0","0","0","56","16","0","0","56","16"
"14551","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, MAMIT","Mizoram","Teacher Training","Diploma","D.Ed.-Diploma in Education","Education","Education","Education","General","1","Christians","0","0","0","0","89","26","0","0","89","26"
"14551","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, MAMIT","Mizoram","Teacher Training","Diploma","D.Ed.-Diploma in Education","Education","Education","Education","General","1","Buddhists","0","0","0","0","10","2","0","0","10","2"
"14551","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, MAMIT","Mizoram","Teacher Training","Diploma","D.Ed.-Diploma in Education","Education","Education","Education","General","2","Christians","0","0","0","0","32","13","0","0","32","13"
"14551","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, MAMIT","Mizoram","Teacher Training","Diploma","D.Ed.-Diploma in Education","Education","Education","Education","General","2","Buddhists","0","0","0","0","6","2","0","0","6","2"
"14552","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, KOLASIB","Mizoram","Teacher Training","Diploma","D.Ed.-Diploma in Education","Education","Education","Diploma","General","1","Christians","0","0","0","0","100","51","0","0","100","51"
"14552","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, KOLASIB","Mizoram","Teacher Training","Diploma","D.Ed.-Diploma in Education","Education","Education","Diploma","General","2","Christians","0","0","0","0","100","60","0","0","100","60"
"14549","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, SERCHHIP","Mizoram","Teacher Training","Diploma","D.Ed.-Diploma in Education","Education","Education","Education","General","1","Christians","0","0","0","0","99","56","0","0","99","56"
"14549","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, SERCHHIP","Mizoram","Teacher Training","Diploma","D.Ed.-Diploma in Education","Education","Education","Education","General","2","Christians","0","0","0","0","100","51","0","0","100","51"
"14547","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, SAIHA","Mizoram","Teacher Training","Diploma","D.Ed.-Diploma in Education","Education","Education","Education","General","1","Christians","0","0","0","0","43","23","0","0","43","23"
"14547","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, SAIHA","Mizoram","Teacher Training","Diploma","D.Ed.-Diploma in Education","Education","Education","Education","General","2","Christians","0","0","0","0","100","57","0","0","100","57"
"7358","DISTRICT INSTITUTE OF EDUCATION & TRAINING, LUNGLEI","Mizoram","Teacher Training","Diploma","D.Ed.-Diploma in Education","Education","Education","Elementary Education","General","2","Christians","0","0","0","0","99","46","0","0","99","46"
"14548","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, CHAMPHAI","Mizoram","Teacher Training","Diploma","D.Ed.-Diploma in Education","Education","Education","Education","General","1","Christians","0","0","0","0","65","37","0","0","65","37"
"14548","DISTRICT INSTITUTE FOR EDUCATION & TRAINING, CHAMPHAI","Mizoram","Teacher Training","Diploma","D.Ed.-Diploma in Education","Education","Education","Education","General","2","Christians","0","0","0","0","96","49","0","0","96","49"
