"institution_id","standalone_institution_name","state_name","state_body_type","level","programme","discipline_group_category","discipline_group","discipline","course_type","study_year","category","general_total","general_females","sc_total","sc_females","st_total","st_females","obc_total","obc_females","total_persons","total_females"
"1990","NDMVPS SAMAJ'S RAJARSHEE SHAHU MAHARAJ POLYTECHNIC NASHIK","Maharashtra","Technical/Polytechnic","Diploma","Diploma-Diploma","Engineering & Technology","Electronics Engineering","Electronics and Telecommunication","General","3","Jains","1","0","0","0","0","0","0","0","1","0"
"1796","GOVERNMENT POLYTECHNIC KARAD","Maharashtra","Technical/Polytechnic","Diploma","Diploma-Diploma","Engineering & Technology","Mechanical Engineering","MECHANICAL ENGG.","General","3","Buddhists","3","1","4","3","5","1","1","1","13","6"
"1796","GOVERNMENT POLYTECHNIC KARAD","Maharashtra","Technical/Polytechnic","Diploma","Diploma-Diploma","Engineering & Technology","Mechanical Engineering","MECHANICAL ENGG.","General","3","Christians","1","1","3","2","3","0","2","1","9","4"
"1796","GOVERNMENT POLYTECHNIC KARAD","Maharashtra","Technical/Polytechnic","Diploma","Diploma-Diploma","Engineering & Technology","Mechanical Engineering","MECHANICAL ENGG.","General","2","Christians","3","1","5","3","1","0","1","0","10","4"
"1796","GOVERNMENT POLYTECHNIC KARAD","Maharashtra","Technical/Polytechnic","Diploma","Diploma-Diploma","Engineering & Technology","Mechanical Engineering","MECHANICAL ENGG.","General","2","Jains","5","2","4","1","0","0","0","0","9","3"
"1796","GOVERNMENT POLYTECHNIC KARAD","Maharashtra","Technical/Polytechnic","Diploma","Diploma-Diploma","Engineering & Technology","Mechanical Engineering","MECHANICAL ENGG.","General","2","Buddhists","1","0","1","1","0","0","0","0","2","1"
"1796","GOVERNMENT POLYTECHNIC KARAD","Maharashtra","Technical/Polytechnic","Diploma","Diploma-Diploma","Engineering & Technology","Mechanical Engineering","MECHANICAL ENGG.","General","1","Buddhists","3","2","7","4","1","0","3","1","14","7"
"1796","GOVERNMENT POLYTECHNIC KARAD","Maharashtra","Technical/Polytechnic","Diploma","Diploma-Diploma","Engineering & Technology","Mechanical Engineering","MECHANICAL ENGG.","General","1","Jains","2","2","4","1","0","0","2","0","8","3"
"1796","GOVERNMENT POLYTECHNIC KARAD","Maharashtra","Technical/Polytechnic","Diploma","Diploma-Diploma","Engineering & Technology","Civil Engineering","CIVIL ENGG.","General","3","Buddhists","2","1","5","2","1","0","4","2","12","5"
"1796","GOVERNMENT POLYTECHNIC KARAD","Maharashtra","Technical/Polytechnic","Diploma","Diploma-Diploma","Engineering & Technology","Civil Engineering","CIVIL ENGG.","General","3","Jains","2","2","4","1","0","0","2","0","8","3"
"1796","GOVERNMENT POLYTECHNIC KARAD","Maharashtra","Technical/Polytechnic","Diploma","Diploma-Diploma","Engineering & Technology","Civil Engineering","CIVIL ENGG.","General","2","Buddhists","5","3","4","2","1","0","3","0","13","5"
"1796","GOVERNMENT POLYTECHNIC KARAD","Maharashtra","Technical/Polytechnic","Diploma","Diploma-Diploma","Engineering & Technology","Civil Engineering","CIVIL ENGG.","General","2","Christians","0","0","2","0","0","0","0","0","2","0"
"1796","GOVERNMENT POLYTECHNIC KARAD","Maharashtra","Technical/Polytechnic","Diploma","Diploma-Diploma","Engineering & Technology","Civil Engineering","CIVIL ENGG.","General","2","Jains","3","2","2","0","1","0","1","0","7","2"
"1796","GOVERNMENT POLYTECHNIC KARAD","Maharashtra","Technical/Polytechnic","Diploma","Diploma-Diploma","Engineering & Technology","Civil Engineering","CIVIL ENGG.","General","1","Buddhists","0","0","6","3","1","0","3","1","10","4"
