"university_id","university_name","state_name","district_name","regional_centre","state_regionale_centre","district_regional_centre","level","programme","discipline_group_category","discipline_group","discipline","course_type","study_year","category","general_total","general_females","sc_total","sc_females","st_total","st_females","obc_total","obc_females","total_persons","total_females"
"0056","Tezpur University, Tezpur","Assam","Sonitpur","DHSK College","Assam","Dibrugarh","PG Diploma","PG Diploma-Post Graduate Diploma","Management","Marketing Management","Retail Management","General","1","Christians","1","1","0","0","0","0","0","0","1","1"
"0056","Tezpur University, Tezpur","Assam","Sonitpur","Centre for Open and Distance Learning","Assam","Sonitpur","PG Diploma","PG Diploma-Post Graduate Diploma","Management","Marketing Management","Retail Management","General","1","Christians","1","1","0","0","0","0","0","0","1","1"
"0056","Tezpur University, Tezpur","Assam","Sonitpur","B. Borooah College","Assam","Kamrup Metropolitan","PG Diploma","PG Diploma-Post Graduate Diploma","Management","Marketing Management","Retail Management","General","1","Christians","1","1","0","0","0","0","0","0","1","1"
"0107","Jamia Hamdard","Delhi","South","Jamia Hamdard","Delhi","South","Under Graduate","B.B.A.-Bachelor of Business Administration","Management","Business Administration","Business Administration","Self Financing","2","Sikhs","7","1","0","0","0","0","0","0","7","1"
"0107","Jamia Hamdard","Delhi","South","Jamia Hamdard","Delhi","South","Under Graduate","B.B.A.-Bachelor of Business Administration","Management","Business Administration","Business Administration","Self Financing","2","Christians","1","0","0","0","0","0","0","0","1","0"
"0107","Jamia Hamdard","Delhi","South","Jamia Hamdard","Delhi","South","Under Graduate","B.B.A.-Bachelor of Business Administration","Management","Business Administration","Business Administration","Self Financing","3","Sikhs","4","1","0","0","0","0","0","0","4","1"
"0107","Jamia Hamdard","Delhi","South","Jamia Hamdard","Delhi","South","Under Graduate","B.B.A.-Bachelor of Business Administration","Management","Business Administration","Business Administration","Self Financing","1","Sikhs","2","1","0","0","0","0","0","0","2","1"
"0107","Jamia Hamdard","Delhi","South","Jamia Hamdard","Delhi","South","Under Graduate","B.B.A.-Bachelor of Business Administration","Management","Business Administration","Business Administration","Self Financing","1","Christians","2","0","0","0","0","0","0","0","2","0"
"0107","Jamia Hamdard","Delhi","South","Jamia Hamdard","Delhi","South","Under Graduate","B.C.A.-Bachelor of Computer Applications","IT & Computer","Computer Application","Computer Application","Self Financing","2","Sikhs","8","3","0","0","0","0","0","0","8","3"
"0107","Jamia Hamdard","Delhi","South","Jamia Hamdard","Delhi","South","Under Graduate","B.C.A.-Bachelor of Computer Applications","IT & Computer","Computer Application","Computer Application","Self Financing","3","Sikhs","8","1","0","0","0","0","0","0","8","1"
"0107","Jamia Hamdard","Delhi","South","Jamia Hamdard","Delhi","South","Under Graduate","B.C.A.-Bachelor of Computer Applications","IT & Computer","Computer Application","Computer Application","Self Financing","3","Christians","3","0","0","0","0","0","0","0","3","0"
"0107","Jamia Hamdard","Delhi","South","Jamia Hamdard","Delhi","South","Under Graduate","B.C.A.-Bachelor of Computer Applications","IT & Computer","Computer Application","Computer Application","Self Financing","1","Sikhs","4","2","0","0","0","0","0","0","4","2"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","PG Diploma","PG Diploma-Post Graduate Diploma","IT & Computer","Computer Application","Computer Application","General","1","Christians","2","1","0","0","0","0","3","3","5","4"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.Com.-Master of Commerce","Commerce","Commerce","Commerce","General","2","Christians","52","20","0","0","0","0","2","1","54","21"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.Com.-Master of Commerce","Commerce","Commerce","Commerce","General","1","Buddhists","1","0","0","0","0","0","0","0","1","0"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.Com.-Master of Commerce","Commerce","Commerce","Commerce","General","1","Christians","148","56","1","0","1","1","18","13","168","70"
