"university_id","university_name","state_name","district_name","level","programme","discipline_group_category","discipline_group","discipline","course_type","study_year","category","general_total","general_females","sc_total","sc_females","st_total","st_females","obc_total","obc_females","total_persons","total_females"
"0303","Gokhale Institute of Politics & Economics, Pune","Maharashtra","Pune","Post Graduate","M.A.-Master of Arts","Social Science","Economics","Economics","General","1","Jains","2","1","0","0","0","0","0","0","2","1"
"0303","Gokhale Institute of Politics & Economics, Pune","Maharashtra","Pune","Post Graduate","M.A.-Master of Arts","Social Science","Economics","Financial Economics","Self Financing","2","Jains","1","1","0","0","0","0","0","0","1","1"
"0303","Gokhale Institute of Politics & Economics, Pune","Maharashtra","Pune","Post Graduate","M.A.-Master of Arts","Social Science","Economics","Financial Economics","Self Financing","2","Christians","3","1","0","0","0","0","0","0","3","1"
"0303","Gokhale Institute of Politics & Economics, Pune","Maharashtra","Pune","Post Graduate","M.A.-Master of Arts","Social Science","Economics","Economics","General","2","Jains","1","1","0","0","0","0","0","0","1","1"
"0303","Gokhale Institute of Politics & Economics, Pune","Maharashtra","Pune","Post Graduate","M.A.-Master of Arts","Social Science","Economics","Financial Economics","Self Financing","1","Christians","3","2","0","0","0","0","0","0","3","2"
"0303","Gokhale Institute of Politics & Economics, Pune","Maharashtra","Pune","Post Graduate","M.A.-Master of Arts","Social Science","Economics","Financial Economics","Self Financing","1","Sikhs","0","0","0","0","0","0","1","1","1","1"
"0303","Gokhale Institute of Politics & Economics, Pune","Maharashtra","Pune","Post Graduate","M.A.-Master of Arts","Social Science","Economics","Financial Economics","Self Financing","1","Jains","4","3","0","0","0","0","0","0","4","3"
"0303","Gokhale Institute of Politics & Economics, Pune","Maharashtra","Pune","Post Graduate","M.A.-Master of Arts","Social Science","Economics","Agribusiness Economics","Self Financing","1","Jains","1","1","0","0","0","0","0","0","1","1"
"0303","Gokhale Institute of Politics & Economics, Pune","Maharashtra","Pune","Post Graduate","M.A.-Master of Arts","Social Science","Economics","Agribusiness Economics","Self Financing","1","Sikhs","2","1","0","0","0","0","0","0","2","1"
"0636","BILASPUR VISHWAVIDYALAYA","Chhatisgarh","Bilaspur","Post Graduate","M.Sc.-Master of Science","Science","Microbiology","MICROBILOLOGY","General","1","Christians","1","0","0","0","0","0","0","0","1","0"
"0636","BILASPUR VISHWAVIDYALAYA","Chhatisgarh","Bilaspur","Integrated","Integrated M.Sc.-Integrated Master of Science","Science","Other Science","FOODPROCESSING AND TECHNOLOGY","General","1","Christians","2","2","0","0","0","0","0","0","2","2"
"0636","BILASPUR VISHWAVIDYALAYA","Chhatisgarh","Bilaspur","Under Graduate","B.H.M.-Bachelor of Hotel Management","Management","Hotel Management","HOTEL MANAGEMENT","General","1","Christians","0","0","0","0","0","0","1","0","1","0"
"0250","Yenepoya University, Mangalore","Karnataka","Dakshina Kannada","Post Graduate","M.S.W.-Master of Social Work","Social Work","Social Work","Social Work","Self Financing","1","Christians","0","0","0","0","0","0","3","3","3","3"
"0572","Indian Institute of Science Education & Research (IISER), Kolkata,","West Bengal","Nadia","Integrated","Integrated Ph.D-Integrated Doctor of Philosophy","Science","Chemistry","Chemistry","General","5","Christians","1","1","0","0","0","0","0","0","1","1"
"0572","Indian Institute of Science Education & Research (IISER), Kolkata,","West Bengal","Nadia","Ph.D.","Ph.D.-Doctor of Philosophy","Science","Geology","Earth Science","General","","Buddhists","0","0","0","0","1","1","0","0","1","1"
"0572","Indian Institute of Science Education & Research (IISER), Kolkata,","West Bengal","Nadia","Ph.D.","Ph.D.-Doctor of Philosophy","Science","Geology","Earth Science","General","","Christians","0","0","0","0","1","0","0","0","1","0"
"0572","Indian Institute of Science Education & Research (IISER), Kolkata,","West Bengal","Nadia","Ph.D.","Ph.D.-Doctor of Philosophy","Science","Life Science","Biology","General","","Christians","1","0","0","0","0","0","0","0","1","0"
"0572","Indian Institute of Science Education & Research (IISER), Kolkata,","West Bengal","Nadia","Ph.D.","Ph.D.-Doctor of Philosophy","Science","Life Science","Biology","General","","Sikhs","1","0","0","0","0","0","0","0","1","0"
"0572","Indian Institute of Science Education & Research (IISER), Kolkata,","West Bengal","Nadia","Integrated","B.S. M.S.-Bachelor of Science, Master of Science","Science","Other Science","Integrated","General","1","Buddhists","0","0","1","0","1","0","0","0","2","0"
"0572","Indian Institute of Science Education & Research (IISER), Kolkata,","West Bengal","Nadia","Integrated","B.S. M.S.-Bachelor of Science, Master of Science","Science","Other Science","Integrated","General","1","Christians","3","2","0","0","2","0","0","0","5","2"
"0572","Indian Institute of Science Education & Research (IISER), Kolkata,","West Bengal","Nadia","Integrated","B.S. M.S.-Bachelor of Science, Master of Science","Science","Other Science","Integrated","General","2","Buddhists","0","0","0","0","1","0","0","0","1","0"
"0572","Indian Institute of Science Education & Research (IISER), Kolkata,","West Bengal","Nadia","Integrated","B.S. M.S.-Bachelor of Science, Master of Science","Science","Other Science","Integrated","General","2","Christians","2","2","0","0","1","1","0","0","3","3"
"0572","Indian Institute of Science Education & Research (IISER), Kolkata,","West Bengal","Nadia","Integrated","B.S. M.S.-Bachelor of Science, Master of Science","Science","Other Science","Integrated","General","3","Jains","1","0","0","0","0","0","0","0","1","0"
"0572","Indian Institute of Science Education & Research (IISER), Kolkata,","West Bengal","Nadia","Integrated","B.S. M.S.-Bachelor of Science, Master of Science","Science","Other Science","Integrated","General","3","Christians","5","2","0","0","2","1","0","0","7","3"
"0572","Indian Institute of Science Education & Research (IISER), Kolkata,","West Bengal","Nadia","Integrated","B.S. M.S.-Bachelor of Science, Master of Science","Science","Other Science","Integrated","General","4","Christians","3","2","0","0","0","0","2","1","5","3"
"0572","Indian Institute of Science Education & Research (IISER), Kolkata,","West Bengal","Nadia","Integrated","B.S. M.S.-Bachelor of Science, Master of Science","Science","Other Science","Integrated","General","4","Buddhists","0","0","1","0","0","0","0","0","1","0"
"0572","Indian Institute of Science Education & Research (IISER), Kolkata,","West Bengal","Nadia","Integrated","B.S. M.S.-Bachelor of Science, Master of Science","Science","Other Science","Integrated","General","5","Christians","7","5","0","0","2","0","0","0","9","5"
"0572","Indian Institute of Science Education & Research (IISER), Kolkata,","West Bengal","Nadia","Ph.D.","Ph.D.-Doctor of Philosophy","Science","Chemistry","Chemistry","General","","Sikhs","1","0","0","0","0","0","0","0","1","0"
"0595","Rakshashakti University, Gujarat","Gujarat","Ahmadabad","Under Graduate","B.A.-Bachelor of Arts","Arts","Arts","Security Management","General","1","Christians","1","1","0","0","0","0","0","0","1","1"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)","Science","Other Science","Economics","General","1","Sikhs","6","6","1","1","0","0","2","2","9","9"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)","Science","Other Science","Economics","General","2","Sikhs","12","12","0","0","0","0","0","0","12","12"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)","Science","Other Science","Economics","General","3","Sikhs","19","19","2","2","0","0","5","5","26","26"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Com.-Bachelor of Commerce","Commerce","Commerce","Commerce","General","1","Sikhs","14","14","0","0","0","0","1","1","15","15"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Com.-Bachelor of Commerce","Commerce","Commerce","Commerce","General","2","Sikhs","8","8","1","1","0","0","3","3","12","12"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Post Graduate","M.A.-Master of Arts","Social Science","Economics","Economics","General","1","Sikhs","3","3","0","0","0","0","0","0","3","3"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Post Graduate","M.Com.-Master of Commerce","Commerce","Commerce","Commerce","General","1","Sikhs","1","1","0","0","0","0","1","1","2","2"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Management","General","1","Sikhs","4","4","0","0","0","0","0","0","4","4"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Management","General","2","Sikhs","2","2","0","0","0","0","1","1","3","3"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)","Science","Other Science","Agriculture","General","1","Christians","0","0","0","0","2","2","0","0","2","2"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)","Science","Other Science","Agriculture","General","1","Sikhs","6","6","2","2","0","0","2","2","10","10"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)","Science","Other Science","Agriculture","General","2","Sikhs","16","16","1","1","0","0","3","3","20","20"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Tech.-Bachelor of Technology","Engineering & Technology","Food Technology","Food Technology","General","1","Sikhs","5","5","1","1","0","0","2","2","8","8"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Post Graduate","M.Sc.-Master of Science","Science","Other Science","Food Technology","General","1","Sikhs","0","0","1","1","0","0","0","0","1","1"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Post Graduate","M.Sc.-Master of Science","Science","Other Science","Food Technology","General","2","Sikhs","2","2","0","0","0","0","0","0","2","2"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Post Graduate","M.Sc.-Master of Science","Science","Bio-Technology","Biotechnology","General","2","Sikhs","1","1","0","0","0","0","0","0","1","1"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Tech.-Bachelor of Technology","Engineering & Technology","Electronics Engineering","Electronics & Communication Engineering","General","1","Sikhs","1","1","1","1","0","0","2","2","4","4"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Tech.-Bachelor of Technology","Engineering & Technology","Electronics Engineering","Electronics & Communication Engineering","General","3","Sikhs","5","5","0","0","0","0","4","4","9","9"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Tech.-Bachelor of Technology","Engineering & Technology","Electronics Engineering","Electronics & Communication Engineering","General","4","Sikhs","15","15","0","0","0","0","4","4","19","19"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Tech.-Bachelor of Technology","Engineering & Technology","Computer Engineering","Computer Science & Engineering","General","1","Sikhs","8","8","2","2","0","0","0","0","10","10"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Tech.-Bachelor of Technology","Engineering & Technology","Computer Engineering","Computer Science & Engineering","General","2","Sikhs","3","3","0","0","0","0","3","3","6","6"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Tech.-Bachelor of Technology","Engineering & Technology","Computer Engineering","Computer Science & Engineering","General","3","Sikhs","25","25","0","0","0","0","5","5","30","30"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Tech.-Bachelor of Technology","Engineering & Technology","Computer Engineering","Computer Science & Engineering","General","4","Sikhs","31","31","0","0","1","1","3","3","35","35"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Tech.-Bachelor of Technology","Engineering & Technology","Electrical Engineering","Electrical Engineering","General","1","Sikhs","1","1","0","0","0","0","0","0","1","1"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Post Graduate","M.Tech. -Master of Technology","Engineering & Technology","Electronics Engineering","Electronics & Communication Engineering","General","1","Sikhs","2","2","0","0","0","0","0","0","2","2"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Post Graduate","M.Tech. -Master of Technology","Engineering & Technology","Electronics Engineering","Electronics & Communication Engineering","General","2","Sikhs","1","0","0","0","0","0","0","0","1","0"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Post Graduate","M.Tech. -Master of Technology","Engineering & Technology","Other Engineering & Technology","Renewable Energy","General","1","Christians","1","0","0","0","0","0","0","0","1","0"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Post Graduate","M.Tech. -Master of Technology","Engineering & Technology","Other Engineering & Technology","Renewable Energy","General","1","Sikhs","4","0","0","0","0","0","0","0","4","0"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Sc.-Bachelor of Science","Medical Science","Medical Science","Science","General","1","Sikhs","10","10","1","1","0","0","1","1","12","12"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Sc.-Bachelor of Science","Medical Science","Medical Science","Science","General","2","Sikhs","6","6","0","0","0","0","2","2","8","8"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Sc.-Bachelor of Science","Medical Science","Medical Science","Science","General","3","Sikhs","9","9","0","0","0","0","1","1","10","10"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Sc.-Bachelor of Science","Science","Science","Science","General","1","Sikhs","4","4","0","0","0","0","2","2","6","6"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Sc.-Bachelor of Science","Science","Science","Science","General","2","Sikhs","10","10","2","2","0","0","4","4","16","16"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Sc.-Bachelor of Science","Science","Science","Science","General","3","Sikhs","15","15","0","0","0","0","0","0","15","15"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Ph.D.","Ph.D.-Doctor of Philosophy","Science","Physics","Physics including Renewable  Energy","General","","Sikhs","3","3","0","0","0","0","0","0","3","3"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Post Graduate","M.Sc.-Master of Science","Science","Chemistry","Chemistry","General","1","Sikhs","1","1","0","0","0","0","0","0","1","1"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Post Graduate","M.Sc.-Master of Science","Science","Physics","Physics","General","1","Sikhs","1","1","0","0","0","0","1","1","2","2"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.A.-Bachelor of Arts","Arts","Arts","Music","General","1","Sikhs","11","11","8","8","0","0","6","6","25","25"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.A.-Bachelor of Arts","Arts","Arts","Music","General","2","Sikhs","14","14","5","5","0","0","4","4","23","23"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.A.-Bachelor of Arts","Arts","Arts","Music","General","3","Sikhs","13","13","5","5","0","0","4","4","22","22"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.A.-Bachelor of Arts","Arts","Arts","Humanities","General","1","Sikhs","11","11","9","9","0","0","8","8","28","28"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.A.-Bachelor of Arts","Arts","Arts","Humanities","General","2","Sikhs","9","9","2","2","0","0","0","0","11","11"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Post Graduate","M.A.-Master of Arts","Social Science","Other Social Science","Music","General","1","Sikhs","7","7","0","0","0","0","0","0","7","7"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Sc.(Nursing)-Bachelor of Science in Nursing","Medical Science","Nursing","Science","General","1","Sikhs","8","8","0","0","0","0","6","6","14","14"
"0182","Eternal University, Baru Sahib Sirmour","Himachal Pradesh","Sirmaur","Under Graduate","B.Sc.(Nursing)-Bachelor of Science in Nursing","Medical Science","Nursing","Science","General","2","Sikhs","20","20","0","0","0","0","1","1","21","21"
