"id","level_id","programme_id","broad_discipline_group_category_id","broad_discipline_group_id","discipline","appeared_total","appeared_female","passed_total","passed_female","first_class_passed_total","first_class_passed_female"
"2635","4","006","28","178","0","0","0","0","0","0","0"
"2278","4","006","28","178","Arts","0","0","0","0","0","0"
"1766","4","006","28","178","arts","0","0","0","0","0","0"
"1767","3","111","24","094","Chemistry","0","0","0","0","0","0"
"1771","4","161","21","080","Sahitya","58","2","11","0","0","0"
"1772","3","001","21","080","Sahitya","14","3","5","3","0","0"
"1773","3","093","03","009","commerce","293","222","118","102","83","73"
"1774","3","124","25","116","All Arts Subject","409","267","291","195","223","151"
"1775","4","006","28","178","Arts","660","380","396","246","231","161"
"1776","4","012","03","009","Commerce","176","125","78","58","52","40"
"1777","3","124","25","114","Public Administration","15","5","15","5","0","0"
"1778","5","155","15","052","Administration","1","0","0","0","0","0"
"1779","3","111","24","094","Chemistry","41","27","8","6","2","2"
"1780","3","124","25","110","Geogarphy","96","35","61","22","9","2"
"1781","3","111","24","106","Zoology","13","9","11","9","1","1"
"1782","4","087","15","052","Law","8","3","7","3","0","0"
"1783","3","124","10","031","English","491","247","238","124","0","0"
"1784","3","153","26","117","Social Work","3","2","3","2","0","0"
"1785","4","017","06","012","Education","190","99","81","43","65","35"
"1786","3","124","13","046","Sanskrit","1165","616","489","306","17","13"
"1787","3","124","25","109","Economics","313","161","235","123","8","7"
"1788","4","046","32","183","Computer Application","25","4","14","3","2","1"
"1789","3","124","25","113","Psycology","10","5","6","5","1","1"
"1790","3","124","13","041","Hindi","3254","1876","2633","1546","591","381"
"1791","6","082","32","183","Computer Application","19","3","3","1","0","0"
"1792","3","124","25","115","Sociology","1140","557","874","460","9","6"
"1793","3","124","25","111","History","502","204","340","144","20","13"
"1794","3","093","03","009","Commerce","623","367","516","312","84","65"
"1795","3","111","24","174","Mathematics","40","11","10","4","0","0"
"1796","4","030","24","171","Science","993","449","680","333","32","20"
"1797","3","111","24","104","Physics","6","2","5","1","4","1"
"1798","3","097","06","012","Education","35","12","19","6","19","6"
"1799","3","124","25","119","Philosophy","8","1","7","1","4","1"
"1800","3","124","25","112","Political Science","1193","556","754","395","13","9"
"1801","4","012","03","009","Commerce","586","236","317","147","16","12"
"1802","5","155","32","183","Computer Application","71","28","43","18","13","7"
"1803","4","030","12","038","Home Science","1","1","1","1","0","0"
"1804","3","111","24","093","Botany","3","2","2","2","0","0"
"1770","4","006","28","178","Arts","7100","3296","5046","2439","107","65"
"1805","1","157","27","118","Extension","0","0","0","0","0","0"
"1806","3","124","02","008","ARts","39","12","20","4","8","2"
"1842","4","006","28","178","All","1920","815","932","416","14","3"
"1844","3","093","03","009","All","401","216","181","121","11","7"
"2378","3","124","21","080","Arabic","4","1","0","0","0","0"
"2379","3","124","13","041","Hindi","2","1","1","1","0","0"
"2380","3","124","25","111","History","42","14","20","4","1","0"
"2381","3","124","23","086","Islamic Studies","83","28","13","4","0","0"
"2382","3","124","13","050","Kashmiri","317","132","250","89","7","2"
"2383","3","124","21","080","Persian","10","4","6","2","3","1"
"2384","3","124","25","112","Political Sciennce","86","35","9","3","0","0"
"2385","3","124","25","115","Soiology","108","48","16","7","0","0"
"1836","4","006","28","178","0","0","0","0","0","0","0"
"1821","4","012","03","009","Commerce","1409","834","507","321","21","16"
"1845","4","012","03","009","Commerce","0","0","0","0","0","0"
"1831","4","006","28","178","Arts","2080","1483","1827","1304","536","416"
"1825","3","124","29","179","Comparative Literature","1","0","1","0","1","0"
"1830","3","124","25","113","Psychology","41","37","17","16","2","2"
"1822","3","124","10","031","English","310","257","136","113","3","2"
"1823","3","124","13","046","Sanskrit","113","84","84","65","49","37"
"1841","3","124","02","008","All","1292","737","583","329","10","8"
"1843","4","012","03","009","All","231","100","84","49","17","11"
"1837","3","124","25","115","Sociology","2200","1464","596","427","42","30"
"1838","4","006","28","178","History","499","258","159","80","28","23"
"1839","4","012","03","009","Accounting","122","68","14","11","2","2"
"1840","3","093","03","009","Accounting","4786","2541","1795","1143","92","57"
"2329","4","006","28","178","Arts","8350","4746","5484","3087","48","33"
"2330","4","012","03","009","Commerce","798","289","641","234","21","9"
"2331","3","093","03","009","Commerce","2024","1202","1761","1063","43","34"
