"id","statutory_body"
"01","University Grants Commission"
"02","Indian Nursing Council"
"03","National Council of Teacher Education"
"04","Rehabilitation Council of India"
"05","Medical Council of India"
"06","All India Council for Technical Education"
"07","Dental Council of India"
"08","Council of Architecture"
"09","Pharmacy Council of India"
"10","Bar Council of India"
"12","Central Council of Homeopathy"
"11","Central Council of Indian Medicine"
"13","National Council for Hotel Management and Catering Technology"
"19","Others"
"14","Indian Council of Agricultural Research"
