"dist_code","st_code","name","sno"
"261","13","Mon","81"
"001","01","Kupwara","288"
"008","01","Baramula","289"
"010","01","Srinagar","290"
"012","01","Pulwama","292"
"014","01","Anantnag","293"
"003","01","Leh(Ladakh)","294"
"004","01","Kargil","295"
"016","01","Doda","296"
"019","01","Udhampur","297"
"005","01","Punch","298"
"006","01","Rajouri","299"
"021","01","Jammu","300"
"007","01","Kathua","301"
"020","01","Reasi","302"
"017","01","Ramban","303"
"022","01","Samba","304"
"018","01","Kishtwar","305"
"011","01","Ganderbal","306"
"015","01","Kulgam","307"
"013","01","Shupiyan","308"
"009","01","Bandipore","309"
"023","02","Chamba","175"
"024","02","Kangra","176"
"025","02","Lahul & Spiti","177"
"026","02","Kullu","178"
"027","02","Mandi","179"
"028","02","Hamirpur","180"
"029","02","Una","181"
"030","02","Bilaspur","182"
"031","02","Solan","183"
"032","02","Sirmaur","184"
"033","02","Shimla","185"
"034","02","Kinnaur","186"
"035","03","Gurdaspur","222"
"049","03","Amritsar","223"
"036","03","Kapurthala","336"
"037","03","Jalandhar","337"
"038","03","Hoshiarpur","338"
"039","03","Shahid Bhagat Singh Nagar","339"
"051","03","Rupnagar","340"
"040","03","Fatehgarh Sahib","341"
"041","03","Ludhiana","342"
"042","03","Moga","343"
"043","03","Firozpur","344"
"044","03","Muktsar","345"
"045","03","Faridkot","346"
"046","03","Bathinda","347"
"047","03","Mansa","348"
"053","03","Sangrur","349"
"048","03","Patiala","350"
"050","03","Tarn Taran","351"
"054","03","Barnala","352"
"052","03","Sahibzada Ajit Singh Nagar","353"
"055","04","Chandigarh","224"
"056","05","Uttarkashi","96"
"057","05","Chamoli","97"
"058","05","Rudraprayag","98"
"059","05","Tehri Garhwal","99"
"060","05","Dehradun","100"
"061","05","Garhwal","101"
"062","05","Pithoragarh","102"
"063","05","Bageshwar","103"
"064","05","Almora","104"
"065","05","Champawat","105"
"066","05","Nainital","106"
"067","05","Udham Singh Nagar","107"
"068","05","Hardwar","108"
"069","06","Panchkula","154"
"070","06","Ambala","155"
"071","06","Yamunanagar","156"
"072","06","Kurukshetra","157"
"073","06","Kaithal","158"
"074","06","Karnal","159"
"075","06","Panipat","160"
"076","06","Sonipat","161"
"077","06","Jind","162"
"078","06","Fatehabad","163"
"079","06","Sirsa","164"
"080","06","Hisar","165"
"081","06","Bhiwani","166"
"082","06","Rohtak","167"
"083","06","Jhajjar","168"
"084","06","Mahendragarh","169"
"085","06","Rewari","170"
"086","06","Gurgaon","171"
"088","06","Faridabad","172"
"087","06","Mewat","173"
"089","06","Palwal","174"
"090","07","North West","500"
"091","07","North","501"
"092","07","North East","502"
"093","07","East","503"
"094","07","New Delhi","504"
"095","07","Central","505"
"096","07","West","506"
"097","07","South West","507"
"098","07","South","508"
"099","08","Ganganagar","354"
"100","08","Hanumangarh","355"
"101","08","Bikaner","356"
"102","08","Churu","357"
"103","08","Jhunjhunun","358"
"104","08","Alwar","359"
"105","08","Bharatpur","360"
"106","08","Dhaulpur","361"
"107","08","Karauli","362"
"108","08","Sawai Madhopur","363"
"109","08","Dausa","364"
"110","08","Jaipur","365"
"111","08","Sikar","366"
"112","08","Nagaur","367"
"113","08","Jodhpur","368"
"114","08","Jaisalmer","369"
"115","08","Barmer","370"
"116","08","Jalor","371"
"117","08","Sirohi","372"
"118","08","Pali","373"
"119","08","Ajmer","374"
"120","08","Tonk","375"
"121","08","Bundi","376"
"122","08","Bhilwara","377"
"123","08","Rajsamand","378"
"130","08","Udaipur","379"
"124","08","Dungarpur","380"
"125","08","Banswara","381"
"126","08","Chittaurgarh","382"
"127","08","Kota","383"
"128","08","Baran","384"
"129","08","Jhalawar","385"
"131","08","Pratapgarh","386"
"132","09","Saharanpur","568"
"133","09","Muzaffarnagar","569"
"134","09","Bijnor","570"
"135","09","Moradabad","571"
"136","09","Rampur","572"
"137","09","Jyotiba Phule Nagar","573"
"138","09","Meerut","574"
"139","09","Baghpat","575"
"140","09","Ghaziabad","576"
"141","09","Gautam Buddha Nagar","577"
"142","09","Bulandshahr","578"
"143","09","Aligarh","579"
"673","27","Palghar","673"
"145","09","Mathura","581"
"146","09","Agra","582"
"147","09","Firozabad","583"
"201","09","Etah","584"
"148","09","Mainpuri","585"
"149","09","Budaun","586"
"150","09","Bareilly","587"
"151","09","Pilibhit","588"
"152","09","Shahjahanpur","589"
"153","09","Kheri","590"
"154","09","Sitapur","591"
"002","01","budgam","291"
"155","09","Hardoi","592"
"156","09","Unnao","593"
"157","09","Lucknow","594"
"158","09","Rae Bareli","595"
"159","09","Farrukhabad","596"
"160","09","Kannauj","597"
"161","09","Etawah","598"
"162","09","Auraiya","599"
"163","09","Kanpur Dehat","600"
"164","09","Kanpur Nagar","601"
"165","09","Jalaun","602"
"166","09","Jhansi","603"
"167","09","Lalitpur","604"
"168","09","Hamirpur","605"
