"programme_id","broad_discipline_group_category_id","broad_discipline_group_id"
"076","01","001"
"076","01","004"
"076","01","005"
"076","01","006"
"076","02","008"
"076","03","009"
"076","03","121"
"076","04","010"
"076","29","179"
"076","05","011"
"076","30","180"
"076","30","181"
"076","06","012"
"076","07","122"
"076","07","013"
"076","07","014"
"076","07","015"
"076","07","016"
"076","07","017"
"076","07","018"
"076","07","019"
"076","07","020"
"076","07","123"
"076","07","185"
"076","07","022"
"076","07","023"
"076","07","024"
"076","07","025"
"076","07","026"
"076","07","124"
"076","07","125"
"076","07","126"
"076","08","027"
"076","09","028"
"076","09","127"
"076","09","029"
"076","09","030"
"076","31","003"
"076","10","031"
"076","10","032"
"076","10","033"
"076","10","035"
"076","10","034"
"076","11","036"
"076","12","123"
"076","12","038"
"076","12","039"
"076","13","040"
"076","13","041"
"076","13","042"
"076","13","043"
"076","13","044"
"076","13","050"
"076","13","045"
"076","13","046"
"076","13","047"
"076","13","048"
"076","13","049"
"076","32","182"
"076","32","183"
"076","32","095"
"076","32","184"
"076","32","185"
"076","32","186"
"076","14","051"
"076","15","131"
"076","15","128"
"076","15","129"
"076","15","130"
"076","15","052"
"076","16","053"
"076","17","054"
"076","18","132"
"076","18","133"
"076","18","055"
"076","18","135"
"076","18","056"
"076","18","136"
"076","18","057"
"076","18","137"
"076","18","138"
"076","18","058"
"076","18","060"
"076","18","139"
"076","18","140"
"076","18","059"
"076","19","061"
"076","20","062"
"076","20","063"
"076","20","064"
"076","20","143"
"076","20","144"
"076","20","145"
"076","20","146"
"076","20","065"
"076","20","066"
"076","20","067"
"076","20","147"
"076","20","148"
"076","20","149"
"076","20","150"
"076","20","068"
"076","20","069"
"076","20","070"
"076","20","141"
"076","20","142"
"076","20","071"
"076","20","136"
"076","20","152"
"076","20","153"
"076","20","155"
"076","20","156"
"076","20","157"
"076","20","158"
"076","20","159"
"076","20","072"
"076","20","160"
"076","20","161"
"076","20","162"
"076","20","073"
"076","20","078"
"076","20","074"
"076","20","075"
"076","20","076"
"076","20","163"
"076","20","164"
"076","20","165"
"076","20","166"
"076","20","167"
"076","20","168"
"076","20","169"
"076","20","077"
"076","20","170"
"076","21","079"
"076","21","080"
"076","21","081"
"076","22","082"
"076","22","083"
"076","23","084"
"076","23","085"
"076","23","086"
"076","23","087"
"076","23","088"
"076","23","089"
"076","24","143"
"076","24","091"
"076","24","146"
"076","24","093"
"076","24","094"
"076","24","096"
"076","24","097"
"076","24","098"
"076","24","099"
"076","24","100"
"076","24","101"
"076","24","174"
"076","24","156"
"076","24","107"
"076","24","104"
"076","24","177"
"076","24","106"
"076","25","108"
"076","25","109"
"076","25","110"
"076","25","111"
"076","25","174"
"076","25","116"
"076","25","119"
"076","25","112"
"076","25","175"
"076","25","113"
"076","25","114"
"076","25","115"
"076","25","177"
"076","26","117"
"076","34","120"
"076","34","007"
"076","27","118"
"175","20","072"
"182","06","012"
"183","20","076"
"197","06","012"
"082","01","001"
"082","01","004"
"082","01","005"
"082","01","006"
"082","02","008"
"082","03","009"
"082","03","121"
"082","04","010"
"082","29","179"
"082","05","011"
"082","30","180"
"082","30","181"
"082","06","012"
"082","07","122"
"082","07","013"
"082","07","014"
"082","07","015"
"082","07","016"
"082","07","017"
"082","07","018"
"082","07","019"
"082","07","020"
"082","07","123"
"082","07","185"
"082","07","022"
"082","07","023"
"082","07","024"
"082","07","025"
"082","07","026"
"082","07","124"
"082","07","125"
"082","07","126"
"082","08","027"
"082","09","028"
"082","09","127"
"082","09","029"
"082","09","030"
"082","31","003"
"082","10","031"
"082","10","032"
"082","10","033"
"082","10","035"
"082","10","034"
"082","11","036"
"082","12","123"
"082","12","038"
"082","12","039"
"082","13","040"
"082","13","041"
"082","13","042"
"082","13","043"
"082","13","044"
"082","13","050"
"082","13","045"
"082","13","046"
"082","13","047"
"082","13","048"
"082","13","049"
"082","32","182"
"082","32","183"
"082","32","095"
"082","32","184"
"082","32","185"
"082","32","186"
"082","14","051"
"082","15","131"
"082","15","128"
"082","15","129"
"082","15","130"
"082","15","052"
"082","16","053"
"082","17","054"
"082","18","132"
"082","18","133"
"082","18","055"
"082","18","135"
"082","18","056"
"082","18","136"
"082","18","057"
"082","18","137"
"082","18","138"
"082","18","058"
"082","18","060"
"082","18","139"
"082","18","140"
"082","18","059"
"082","19","061"
"082","20","062"
"082","20","063"
"082","20","064"
"082","20","143"
"082","20","144"
"082","20","145"
"082","20","146"
"082","20","065"
"082","20","066"
"082","20","067"
"082","20","147"
"082","20","148"
"082","20","149"
"082","20","150"
"082","20","068"
"082","20","069"
"082","20","070"
"082","20","141"
"082","20","142"
"082","20","071"
"082","20","136"
"082","20","152"
"082","20","153"
"082","20","155"
"082","20","156"
"082","20","157"
"082","20","158"
"082","20","159"
"082","20","072"
"082","20","160"
"082","20","161"
"082","20","162"
"082","20","073"
"082","20","078"
"082","20","074"
"082","20","075"
"082","20","076"
"082","20","163"
"082","20","164"
"082","20","165"
"082","20","166"
"082","20","167"
"082","20","168"
"082","20","169"
"082","20","077"
"082","20","170"
"082","21","079"
"082","21","080"
"082","21","081"
"082","22","082"
"082","22","083"
"082","23","084"
"082","23","085"
"082","23","086"
"082","23","087"
"082","23","088"
"082","23","089"
"082","24","143"
"082","24","091"
"082","24","146"
"082","24","093"
"082","24","094"
"082","24","096"
"082","24","097"
"082","24","098"
"082","24","099"
"082","24","100"
"082","24","101"
"082","24","174"
"082","24","156"
"082","24","107"
"082","24","104"
"082","24","177"
"082","24","106"
"082","25","108"
"082","25","109"
"082","25","110"
"082","25","111"
"082","25","174"
"082","25","116"
"082","25","119"
"082","25","112"
"082","25","175"
"082","25","113"
"082","25","114"
"082","25","115"
"082","25","177"
"082","26","117"
"082","34","120"
"082","34","007"
"082","27","118"
"184","20","072"
"007","06","012"
"039","15","052"
"177","15","052"
"013","06","012"
"014","15","052"
"071","07","122"
"071","07","013"
"071","07","014"
"071","07","015"
"071","07","016"
"071","07","017"
"071","07","018"
"071","07","019"
"071","07","020"
"071","07","123"
"071","07","185"
"071","07","022"
"071","07","023"
"071","07","024"
"071","07","025"
"071","07","026"
"071","07","124"
"071","07","125"
"071","07","126"
"071","32","182"
"071","32","183"
"071","32","095"
"071","32","184"
