"statecode","name","id","statebodyid","survey_year"
"09","P.P.S.COLLEGE OF NURSING","15249","3","2015"
"02","GNM TRAINING SCHOOL KHANERI","15946","3","2015"
"09","MS INSTITUTE OF NURSING","15250","3","2015"
"09","RAMA NURSING COLLEGE","15256","3","2015"
"09","NIMT HOSPITAL","15258","3","2015"
"21","GOVT. SECONDARY TRAINING SCHOOL PAHIMAHURA, BHADRAK","7391","4","2015"
"09","Popular Nursing School","15270","3","2015"
"09","Upkar School of Nursing","15280","3","2015"
"09","RAVI SCHOOL OF NURSING","15284","3","2015"
"09","R K SCHOOL OF NURSING","15296","3","2015"
"09","INDRA NURSING COLLEGE","15297","3","2015"
"29","K M N SCHOOL OF NURSING","15302","3","2015"
"01","GOVT POLYTECHNIC SAMBA","15307","2","2015"
"09","HLM BUSINESS SCHOOL","15315","7","2015"
"23","MMD D.ed College","15319","4","2015"
"36","Govt. Polytechnic, Kosgi","15328","2","2015"
"36","B.V.KRISHNA POLYTECHNIC","15362","2","2015"
"10","C R K POLYTECHNIC","15369","2","2015"
"21","ODISHA POLYTECHNIC","15384","2","2015"
"09","M. G. POLYTECHNIC","15393","2","2015"
"09","G P TALBEHAT","15400","2","2015"
"27","PRAYTNA NURSING COLLEGE","15426","3","2015"
"21","Mothers Nursing School","15432","3","2015"
"23","L.N NURSING SCHOOL","15465","3","2015"
"23","RBS SCHOOL OF NURSING","15467","3","2015"
"23","GNMTC","15468","3","2015"
"09","S. M. Nursing College","15486","3","2015"
"21","DISTRICT INSTITUTE OF EDUCATION & TRAINING, SONEPUR","7431","4","2015"
"21","Bidyut School of Nursing","15499","3","2015"
"21","DISTRICT INSTITUTE OF EDUCATION & TRAINING, PANCHAPADA, JHARSUGUDA","7421","4","2015"
"23","SONALI SCHOOL OF NURSING","15513","3","2015"
"03","MLM SCHOOL OF NURSING","15531","3","2015"
"03","Dilbag memorial","15535","3","2015"
"21","Dibya School Of Nursing","15542","3","2015"
"29","Prasanna Deshpande","15545","3","2015"
"09","RASHTRAKAVI MAITHILI SHARAN GUPT COLLEGE OF EDUCATION","15947","4","2015"
"21","Divine School of Nursing","15547","3","2015"
"21","Bhagabati School of Nursing (G.N.M)","15948","3","2015"
"21","TARINI SCHOOL OF NURSING","15560","3","2015"
"21","IIMT School of Nursing","15573","3","2015"
"23","SAGAR COLLEGE OF NURSING","15574","3","2015"
"23","mm school of nursing","15582","3","2015"
"09","VIMLA NURSING COLLEGE","15585","3","2015"
"23","B. R. College of Nursing","15587","3","2015"
"21","Jet Anm Training Centre","15590","3","2015"
"21","Kalinga Nursing School","15592","3","2015"
"21","Khurda School of Nursing","15594","3","2015"
"20","Hill View Nursing School","15609","3","2015"
"20","RIMS School of Nursing","15613","3","2015"
"20","Rupsona nursing college","15614","3","2015"
"27","BRAVE SAFETY AND FIRE ACADEMY","15949","5","2015"
"27","Dr.BABASAHEB AMBEDKAR INSTITUTE OF DPHARMACY SEWAGRAM","15950","2","2015"
"21","Royal School of Nursing","15627","3","2015"
"28","GIET Polytechnic College","15631","2","2015"
"21","Govt Polytechnic","15638","2","2015"
"21","Raman School of Nursing","15656","3","2015"
"21","Essen School of Nursing","15659","3","2015"
"21","Sanjog School of Nursing","15669","3","2015"
"21","Puri School of Nursing","15673","3","2015"
"03","Pannu School of nursing","15685","3","2015"
"03","SAI COLLEGE OF NURSING","15686","3","2015"
"03","Singha Nursing College","15688","3","2015"
"03","Meera School of Nursing","15696","3","2015"
"03","sfc institute of nursing","15697","3","2015"
"09","F H COLLEGE OF NURSING","15700","3","2015"
"24","VIVEKANAND PTC COLLEGE","15704","4","2015"
"01","DIET REASI","15705","4","2015"
"32","KNNMITE, PAVITHRESWARAM","15710","4","2015"
"23","A.V.IT. EDUCATION","15714","4","2015"
"23","SVITM TEACHERS EDUCATION","15718","4","2015"
"03","MOHALI NURSING COLLEGE","15721","3","2015"
"28","GOVERNMENT POLYTECHNIC","15724","2","2015"
"08","VD Polytechnic College","15729","2","2015"
"09","R B DEGREE COLLEGE AGRA","15747","4","2015"
"09","NAVNEET COLLEGE","15749","4","2015"
"09","GOPAL JI MAHAVIDYALYA","15751","4","2015"
"09","S.M.T. DEGREE COLLEGE","15773","4","2015"
"09","NSS COLLEGE OF BTC","15775","4","2015"
"09","KANCHAN DEGREE COLLEGE","15779","4","2015"
"09","NOBLE ACADEMY","15748","4","2015"
"09","RDJS COLLEGE","15780","4","2015"
"19","SAGARIKA D.Ed. COLLEGE","15788","4","2015"
"19","Kadomani D.Ed. College","15789","4","2015"
"19","KADOMANI D.Ed. COLLEGE","15790","4","2015"
"03","UNITED SCHOOL OF NURSING","15795","3","2015"
"09","SAINIK SCHOOL OF NURSING","15801","3","2015"
"28","Prasanthi Polytechnic","15804","2","2015"
"28","MADEENA D.Ed. COLLGE","15806","4","2015"
"29","Bajaj School of Nursing","15809","3","2015"
"03","SSD Institute Of Nursing","15822","3","2015"
"23","SIYARAM COLLAGE","15833","4","2015"
"08","DPM BED COLLEGE","15836","4","2015"
"09","R.S.S.College","15842","4","2015"
"09","BHOLE SHANKAR COLLEGE","15847","4","2015"
"10","GEMS POLYTECHNIC COLLEGE","15853","2","2015"
"19","R3S COLLEGE OF EDUCATION","15856","4","2015"
"19","VANUMOTI D.EL.ED COLLEGE","15857","4","2015"
"28","JMJ DED COLLEGE","15861","4","2015"
"27","Kalyani Nursing School","15879","3","2015"
"27","JIJAMATA NURSING SCHOOL","15888","3","2015"
"28","SRI HARSHA D.Ed COLLEGE","15898","4","2015"
"28","GEETHANJALI D.Ed.COLLEGE","15899","4","2015"
"28","GRACE D.ED COLLEGE","15904","4","2015"
"28","S.R.M Ded College","15910","4","2015"
"28","Indiradevi D.Ed College","15917","4","2015"
"28","BETHANY D.Ed. COLLEGE","15936","4","2015"
"06","GANDHI COLLEGE OF PHARMACY, KARNAL","14754","2","2015"
"20","KHANDOLI INSTITUTE OF TECHNOLOGY, GIRIDIH","14755","2","2015"
"27","Navbharat Junior College of Education, Wardha","14840","4","2015"
"10","SANDIP FOUNDATION,SHRI RAM POLYTECHNIC, MADHUBANI","14756","2","2015"
"09","VIVEKANAND GIRLS COLLEGE OF EDUCATION, DARBARA, BIJNOR","14757","4","2015"
"09","PANDIT SIYARAM SHARMA COLLEGE OF EDUCATION, BIROULI, BULANDSHAHR","14759","4","2015"
"27","SATYAJEET DTED COLLEGE, MEHKAR, BULDANA","14758","4","2015"
"19","TUFANGANJ GOVERNMENT, POLYTECHNIC","14841","2","2015"
"28","GOVERNMENT POLYTECHNIC, JANGAREDDYGUDEM","14842","2","2015"
"09","Graduate School of Business and Administration","14843","7","2015"
"28","GOVERNMENT POLYTECHNIC, MADAKASIRA, ANANTAPUR","14760","2","2015"
"27","Guru Nanak College of Elementary Teacher Education BHANDUP MUMBAI","9300","4","2015"
"21","INNOVATION-THE BUSINESS SCHOOL, MUKTAPUR, KHURDA","14766","7","2015"
"10","DISTRICT INSTITUTE OF EDUCATION AND TRAINING, KHAGARIA","14767","4","2015"
"10","ANM SCHOOL, MOTIHARI","14768","3","2015"
"10","ANM SCHOOL, SAHARSA","14770","3","2015"
"01","Govt polytechnic leh","15079","2","2015"
"09","MUKHALAL UPADHYAY TEACHERS AND VOCATIONAL TRAINING INSTITUTE, LUCKNOW","14761","7","2015"
"03","DISTRICT EDUCATION AND TRAINING INSTITUTE, AJJOWAL, HOSHIARPUR","14762","4","2015"
"09","JBS INSTITUTE, BARA BANKI","14763","7","2015"
"10","ANM SCHOOL, BEGUSARAI","14769","3","2015"
"10","ANM SCHOOL, BARH","14778","3","2015"
"10","ANM SCHOOL, PURNEA","14779","3","2015"
"10","LHV SCHOOL, PATNACITY","14780","3","2015"
"09","SHYAMA SHYAM TEACHERS TRAINING COLLEGE, AGRA","14764","4","2015"
"21","NORTH ODISHA SCHOOL OF ENGINEERING, MAYURBHANJ","14765","2","2015"
"10","ANM SCHOOL, AARAH","14771","3","2015"
"10","ANM SCHOOL, CHAPPRA","14772","3","2015"
"10","ANM SCHOOL, KISHANGANJ","14773","3","2015"
"10","SINDHU SEVA SANSTHAN, ANM SCHOOL, PATNA","14799","3","2015"
"10","SHANTI ANM NURSING SCHOOL, RAJENDRA NAGAR, PATNA","14800","3","2015"
"10","MAHABIR PARA MEDICAL AND RESEARCH INSTITUTE, LCT GHAT, PATNA","14801","3","2015"
"10","KRISHNA INSTITUTE OF PARA MEDICAL AND PARA DENTAL SCIENCES, ASHIYANA NAGAR, PATNA","14802","3","2015"
"10","RATAN INSITUTE OF NURSING SCIENCES, BAILEY ROAD, PATNA","14803","3","2015"
"10","PATNA ANM SCHOOL, JAGANPUR, PATNA","14805","3","2015"
"10","RAM PRATAP INSTITUTE OF NURSING SCIENCES, RUKANPURA","14806","3","2015"
"10","MATA VAISHNAVI ANM SCHOOL, MUZAFFARPUR","14812","3","2015"
"10","SADHU SARAN SINGH INSTITUTE OF HEALTH EDUCATION, MUZAFFARPUR","14813","3","2015"
"10","MIRABHA SCHOOL OF NURSING, DARBHANGA","14814","3","2015"
"10","KHWAJA GARIB NAWAZ ANM SCHOOL, DHARBHANGA","14816","3","2015"
"10","PTEC SURHATHA, VAISHALI","14844","4","2015"
"10","ANM SCHOOL, KATIHAAR","14774","3","2015"
"10","ANM SCHOOL, SITAMARHI","14775","3","2015"
"10","ANM SCHOOL, HAJIPUR","14776","3","2015"
"10","ANM SCHOOL, HATHWA","14777","3","2015"
"10","ANM SCHOOL, MADHUBANI","14782","3","2015"
"10","ANM SCHOOL, SAMASTIPUR","14784","3","2015"
"10","ANM SCHOOL, MUZAFFARPUR","14785","3","2015"
"10","ANM SCHOOL, GAYA","14786","3","2015"
"10","ANM SCHOOL, MUNGHYR","14787","3","2015"
"10","ANM SCHOOL, BHAGALPUR","14788","3","2015"
"10","JAMS NURSING SCHOOL, DEHRI ON SON, ROHTAS","14789","3","2015"
"10","MISNERY ANM SCHOOL, BIHAR","14790","3","2015"
"10","NATIONAL INSTITUE OF HEALTH, EDUCATION AND RESEARCH, PATNA","14791","3","2015"
"10","MAGADH ANM TRAINING SCHOOL, SHEIKHPURA, PATNA","14792","3","2015"
"10","ANM SCHOOL, BETIAH","14781","3","2015"
"10","ANM SCHOOL, BIHARSARIFF","14783","3","2015"
"10","DR MISHRA INSTITUTE OF NURSING, AARAH ROAD, BIHTA","14798","3","2015"
"10","KRISHNA INSTITUTE OF NURSING SCIENCES, PATEL NAGAR, PATNA","14804","3","2015"
"01","G P C SHOPIAN","15103","2","2015"
"10","BUDHA INSTITUTE OF HEALTH EDUCATION ANM SCHOOL, GAYA","14822","3","2015"
"10","KINGWAY TECHNICAL INSTITUTE, KAIMUR ANM SCHOOL","14828","3","2015"
"10","MOTHER TERESA NURSING SCHOOL, KATHIHAAR","14831","3","2015"
"27","TVES INSTITUTE OF PHARMACY, FAIZPUR","14835","2","2015"
"10","INDOHIROSIMA ANM SCHOOL, SAGUNA MORE, PATNA","14793","3","2015"
"10","AMBEDKAR ANM TRAINING SCHOOL, DANAPUR, PATNA","14794","3","2015"
"10","PATLIPUTRA ANM SCHOOL, KHEMNICHAK","14795","3","2015"
"10","RAM KRISHNA WELFARE ANM SCHOOL, KANKARBAGH, PATNA","14796","3","2015"
"10","BIHAR INSTITUTE OF NURSING AND PARA MEDICAL, JAITIPUR, NEORA, PATNA","14797","3","2015"
"10","M R A N M TRAINING SCHOOL, INDRAPURI, PATNA","14807","3","2015"
"10","NAINA NURSING INSTITUTE, MUZAFFARPUR","14808","3","2015"
"10","CENTRAL ANM SCHOOL, MUZAFFARPUR","14809","3","2015"
"10","JYOTI ANM SCHOOL, MUZAFFARPUR","14810","3","2015"
"10","TIRHUT ANM SCHOOL, MUZAFFARPUR","14811","3","2015"
"10","DR S M NAQVI IMAM ANM SCHOOL, BAHEDA, DARBHANGA","14815","3","2015"
"05","GOVERNMENT POLYTECHNIC, KANDIKHAL","14834","2","2015"
"19","DIAMOND HARBOUR GOVERNMENT POLYTECHNIC","14845","2","2015"
"28","GOVERNMENT POLYTECHNIC, TADEPALLIGUDEM","14846","2","2015"
"09","IIMT COLLEGE OF POLYTECHNIC, GREATER NOIDA","14847","2","2015"
"28","GOVERENMENT POLYTECHNIC, KAMALAPURAM","14848","2","2015"
"10","MAA BHAGWATI ANM SCHOOL, MADHUBANI","14817","3","2015"
"22","GOVERNMENT FHWTC JASHPUR","15125","3","2015"
"10","NALANDA ANM NURSING, GARDHPUR, NALANDA","14818","3","2015"
"10","MOTHER TERESA SCHOOL OF NURSING ANM SCHOOL, RANCHI ROAD, BIHARSARIF, NALANDA","14819","3","2015"
"10","BUDHA ANM SCHOOL, BELDHA BIGHA, NALANDA","14820","3","2015"
"10","GAUTAM INSTITUTE OF NURSING AND PARA MEDICAL, NALANDA","14821","3","2015"
"10","SHER SAH MEDICAL RESEARCH AND TRAINING ANM SCHOOL, TAKIYA, SASARAM","14823","3","2015"
"10","HIRAWATI ANM NURSING SCHOOL, HAZIPUR","14824","3","2015"
"10","SHYAMLAL CHANDRA SHEKHAR NURSING SCHOOL, KHAGARIA","14825","3","2015"
"10","DHANO DEVI ANM NURSING SCHOOL, JEHANABAD","14826","3","2015"
"33","VINAYAKA MISSIONS AVIATION ACADEMY","15054","5","2015"
"22","GOVT.G.N.M.T.C.DURG","15126","3","2015"
"10","MAA MUDESHWARI PARA MEDICAL AND NURSING SANSTHAN, BHABHUA","14827","3","2015"
"10","SUBHWANTI INSTITUTE OF HEALTH EDUCATION, SIWAN","14829","3","2015"
"10","MOTHER TERESA NURSING SCHOOL, AARAH","14830","3","2015"
"23","MALWA SCHOOL OF NURSING","15128","3","2015"
"21","GOVT.POLYTECHNIC,PURI","15135","2","2015"
"29","CMS BUSINESS SCHOOL","15154","7","2015"
"10","MANORMA DEVI SIKIRIA ANM SCHOOL, MOTIHARI","14832","3","2015"
"10","BUDHHA SCHOOL OF NURSING, NAWADA","14833","3","2015"
