"id","name","university_id","no_of_study_centers","district_code","state_code","survey_year"
"14849","University Centre for Distance Learning (UCDL)","0160","0","079","06","2015"
"14850","Directorate of Distance Education","0379","0","036","03","2015"
"14672","University School of Open Learning","0078","1","055","04","2015"
"14060","Manonmaniam Sundaranar University","0464","0","628","33","2015"
"14673","Svadhyaya Kendra, RSkS Shri Sadashiva Campus","0115","1","387","21","2015"
"14674","Svadhyaya Kendra, RSkS Bhopal Campus","0115","1","444","23","2015"
"14675","Svadhyaya Kendra, RSkS Lucknow Campus","0115","1","157","09","2015"
"14676","Svadhyaya Kendra, RSkS Jaipur Campus","0115","1","110","08","2015"
"14677","Svadhyaya Kendra, RSkS Shri Ranbir Campus","0115","1","021","01","2015"
"14381","M/S AEON  Educreation","0382","2","390","21","2015"
"14382","M/S AEON  Educreation","0382","1","375","21","2015"
"14383","M/S AEON  Educreation","0382","36","386","21","2015"
"14384","M/S AEON  Educreation","0382","1","398","21","2015"
"14385","M/S AEON  Educreation","0382","1","376","21","2015"
"14386","M/S AEON  Educreation","0382","3","387","21","2015"
"14387","M/S AEON  Educreation","0382","1","396","21","2015"
"14388","M/S AEON  Educreation","0382","2","372","21","2015"
"14851","Vijaywada","0104","51","547","28","2015"
"14852","Visakhapatnam","0104","29","544","28","2015"
"14853","Kohima","0104","34","270","13","2015"
"14854","Srinagar","0104","42","010","01","2015"
"14855","Jammu","0104","72","021","01","2015"
"14856","Shillong","0104","78","298","17","2015"
"14857","Bhubaneswar","0104","98","386","21","2015"
"14858","Madurai","0104","132","623","33","2015"
"14090","DR. BAOU (ALL REG. CENTER) GUJARAT","0131","1","474","24","2015"
"14091","Kalyani Regional Centre","0578","0","336","19","2015"
"14093","DDCE,FAKIR MOHAN UNIVERSITY","0354","1","377","21","2015"
"14678","Svadhyaya Kendra Rashtriya Sanskrit Sansthan, New Delhi","0115","1","094","07","2015"
"14096","Vidyasagar University","0588","1","344","19","2015"
"14104","Directorate of Correspondance Courses and Distance Education Center","0215","39","572","29","2015"
"14105","Head Quarters","0010","312","554","28","2015"
"14107","University campus, Delhi","0119","1","098","07","2015"
"14108","University of Kalyani","0576","21","336","19","2015"
"14679","Svadhyaya Kendra, RSkS Guruvayur Campus","0115","1","594","32","2015"
"14680","Svadhyaya Kendra, RSkS Ved Vyas Campus","0115","1","024","02","2015"
"14681","Svadhyaya Kendra, RSkS Ganganath Jha Campus","0115","1","175","09","2015"
"14115","Mahadev Desai Samajseva Mahavedhyalaya, Ahmedabad","0137","1","474","24","2015"
"14116","RUBBY COLLEGE OF PRECEPTORS","0476","1","623","33","2015"
"14117","Dr. N.G.P.COLLEGE OF EDUCATION","0476","1","632","33","2015"
"14118","NRITHYODAYA","0476","1","603","33","2015"
"14119","SASTRA UNIVERSITY (MAIN CAMPUS)","0476","1","620","33","2015"
"14120","STELLA MATUTINA COLLEGE OF EDUCATION","0476","1","603","33","2015"
"14121","SRINIVASA RAMANUJAN CENTRE (SRC)","0476","1","620","33","2015"
"14682","Svadhyaya Kendra RSkS K.J. Somaiya Sanskrit Vidyapeeth, Mumbai","0115","1","519","27","2015"
"14683","Svadhyaya Kendra, RSkS Rajiv Gandhi Campus","0115","1","570","29","2015"
"14800","INSTITUTE OF OPEN AND DISTANCE EDUCATION","0269","1","444","23","2015"
"14124","CHENNAI","0439","5","603","33","2015"
"14125","VILUPURAM","0439","1","607","33","2015"
"14126","TRICHY","0439","1","614","33","2015"
"14128","Head Office","0314","1","504","27","2015"
"14129","Jorhat Regional Centre","0054","","312","18","2015"
"14130","Jain Vishva Bharati Institute, Ladnun","0400","1","112","08","2015"
"14131","Directorate of Distance Education","0569","1","335","19","2015"
"14132","Center for Distance Education","0328","0","511","27","2015"
"14134","D.E.I. DISTANCE EDUCATION CENTRE","0507","91","146","09","2015"
"14127","MADURAI","0439","1","623","33","2015"
"14145","Ranikhet","0623","27","064","05","2015"
"14146","Pithoragarh","0623","24","062","05","2015"
"14140","Bageshwar","0623","12","063","05","2015"
"14141","Haldwani","0623","46","066","05","2015"
"14142","Dehradun","0623","45","060","05","2015"
"14143","Roorkee","0623","42","068","05","2015"
"14144","Uttarkashi","0623","17","056","05","2015"
"14147","Pauri","0623","29","061","05","2015"
