"id","count_by_category_id"
"102834","5034237"
"103294","5055026"
"94836","4677983"
"108128","5288218"
"106540","5215617"
"115364","5601913"
"112553","5477747"
"87832","4394851"
"105158","5144568"
"84380","4275952"
"109147","5336259"
"92077","4567720"
"102398","5010035"
"103179","5049516"
"92824","4598225"
"108807","5319737"
"83719","4253175"
"98715","4836997"
"91626","4546651"
"111584","5436596"
"113663","5531362"
"113210","5509939"
"107831","5272430"
"104057","5087496"
"97948","4803944"
"115178","5593998"
"100841","4935686"
"85848","4325424"
"103585","5066988"
"102738","5029445"
"92493","4585435"
"114756","5573076"
"87597","4386232"
"91294","4531109"
"113614","5529441"
"101764","4977108"
"90995","4518942"
"104153","5091605"
"96859","4757388"
"100452","4918555"
"101853","4981587"
"114576","5565336"
"90040","4480547"
"108580","5309069"
"91146","4526073"
"91131","4525399"
"91503","4540716"
"88345","4412980"
"90112","4482865"
"104768","5120930"
"89357","4452616"
"113657","5531112"
"94714","4672117"
"106805","5227129"
"89241","4448501"
"95632","4707821"
"101165","4949121"
"111595","5437142"
"95466","4701276"
"107068","5236975"
"107019","5235295"
"95868","4716798"
"96210","4731496"
"89797","4470886"
"87402","4379613"
"114366","5557404"
"111066","5419209"
"104784","5121821"
"85392","4309051"
"112235","5463932"
"110442","5388606"
"94248","4654741"
"91458","4538605"
"97677","4791035"
"102309","5004259"
"87082","4368387"
"104516","5107938"
"83847","4256476"
"98054","4807676"
"114952","5583562"
"89732","4468402"
"112072","5455702"
"85013","4297348"
"107667","5264742"
"84585","4283359"
"111110","5420673"
"95818","4714822"
"99561","4878343"
"100050","4901777"
"88438","4417209"
"110731","5406137"
"99308","4868674"
"95279","4693829"
"97325","4775843"
"106076","5190903"
"109679","5360242"
"100566","4923781"
"97989","4805507"
"96317","4735112"
"103674","5071528"
"83733","4253428"
"104978","5131748"
"107461","5254620"
"115181","5594226"
"101874","4982495"
"114622","5567087"
"88657","4425429"
"114526","5563352"
"93214","4613579"
"96835","4756517"
"93109","4609300"
"115231","5595753"
"96286","4734481"
"101790","4978398"
"85576","4315582"
"97966","4804588"
"106042","5189087"
"97357","4776926"
"103675","5071578"
"90354","4493026"
"106739","5224656"
"105591","5166687"
"95655","4708586"
"83562","4246697"
"96959","4760996"
"100347","4913664"
"98500","4828428"
"94631","4668729"
"98440","4825864"
"87422","4380257"
"97104","4767714"
"105357","5154402"
"112482","5474407"
"106260","5200131"
"96716","4752470"
"109513","5353768"
"98291","4818918"
"105931","5184245"
"104049","5087107"
