"id","non_teaching_staff","teaching_staff","total"
"54847","30","23","53"
"53655","4","18","22"
"46770","2","6","8"
"48532","0","3","3"
"43829","0","2","2"
"55290","143","37","180"
"52015","2","4","6"
"48796","18","47","65"
"55459","6","16","22"
"42229","2","6","8"
"49059","10","28","38"
"53033","1","0","1"
"53816","89","50","139"
"55611","9","7","16"
"44161","22","39","61"
"45090","16","23","39"
"50289","3","12","15"
"49303","10","8","18"
"55456","4","13","17"
"46379","5","10","15"
"45088","8","14","22"
"46564","2","4","6"
"54370","3","4","7"
"54793","1","1","2"
"43200","10","16","26"
"44540","3","3","6"
"55808","8","0","8"
"49438","4","6","10"
"50262","2","23","25"
"50536","0","6","6"
"55012","1","0","1"
"48833","0","1","1"
"48678","9","14","23"
"54816","258","245","503"
"43551","3","3","6"
"51791","6","38","44"
"47644","2","3","5"
"54683","0","2","2"
"52315","3","0","3"
"54731","18","9","27"
"46002","3","4","7"
"46264","11","19","30"
"47506","32","34","66"
"54803","11","61","72"
"55380","4","0","4"
"45787","0","10","10"
"45341","12","10","22"
"44610","6","12","18"
"49552","0","3","3"
"44281","7","10","17"
"53697","3","0","3"
"52487","6","1","7"
"42124","21","16","37"
"54940","7","8","15"
"42629","3","11","14"
"46557","6","0","6"
"45214","6","6","12"
"44913","0","2","2"
"50405","14","25","39"
"42222","1","4","5"
"48195","5","11","16"
"49666","1","0","1"
"44818","0","14","14"
"45688","2","2","4"
"45912","3","5","8"
"52334","1","1","2"
"54121","6","4","10"
"50104","11","25","36"
"45863","4","6","10"
"48795","4","4","8"
"51458","12","64","76"
"43143","6","20","26"
"52736","187","151","338"
"55313","10","16","26"
"51890","2","1","3"
"53104","1","3","4"
"53450","8","6","14"
"47469","1","0","1"
"47905","6","8","14"
"45871","13","20","33"
"49070","3","8","11"
"47213","34","27","61"
"49056","10","10","20"
"45585","3","60","63"
"53030","28","16","44"
"54922","3","6","9"
"45060","5","6","11"
"42674","0","1","1"
"51011","3","0","3"
"51517","0","2","2"
"47092","0","1","1"
"52772","0","2","2"
"55832","8","8","16"
"48990","5","5","10"
"52995","2","0","2"
"48097","0","4","4"
"52480","5","8","13"
"55660","5","7","12"
"42230","1","2","3"
"49126","30","45","75"
"48108","7","7","14"
"43094","1","1","2"
"52536","4","0","4"
"46647","6","1","7"
"46196","3","1","4"
"53620","0","3","3"
"54253","5","1","6"
"47793","11","10","21"
"42121","4","4","8"
"54319","15","24","39"
"44708","15","48","63"
"44405","0","1","1"
"54496","0","4","4"
"46618","0","6","6"
"53804","10","5","15"
"55812","14","10","24"
"52191","361","7","368"
"55553","0","1","1"
"54620","179","36","215"
"48748","10","8","18"
"52592","80","80","160"
"49089","4","2","6"
"55365","0","1","1"
"46593","2","4","6"
"50554","3","14","17"
"43604","0","3","3"
"55562","20","9","29"
"48807","0","25","25"
"55134","0","10","10"
"46169","10","5","15"
"55088","5","3","8"
"45693","4","5","9"
"47591","3","12","15"
"45724","12","19","31"
"50441","10","1","11"
"48087","0","10","10"
"45660","2","10","12"
"46164","22","10","32"
"53642","6","23","29"
"46094","40","6","46"
"45433","3","6","9"
"54717","6","0","6"
"48913","105","117","222"
"42983","34","24","58"
"51797","199","42","241"
