"id","address_line1","address_line2","city","state_code","district_code","website","area","constructed_area","year_of_establishment","year_of_recognition","nodalofficer_id","location","awards_degree_through_university","university_id","girl_exclusive","staff_quarter_available","staff_quarter_id","student_hostel_available","no_of_student_hostel","management_id","name","survey_year","financial_income_id","financial_expenditure_id","infrastructure_id","remarks","latitude","longitude","scholarship_id","loan_id","is_accredited","is_foreign_students_enrolled","offers_scholarship","offers_loan","offers_distance_programme","pin_code","has_fellowships","fellowships_id","ministry_id","has_other_minority_data"
"14453","Belgharia","","Kolkata","19","337","","","","1958","","166520","U","false","","false","false","","false","0","5","RAMAKRISHNA MISSION SHILPAPITHA","2015","162073","162060","162056","","","","","","false","false","false","false","false","700056","false","","","false"
"5524","D S P Complex","B Zone","","19","335","","","","2010","2010","187508","U","false","","true","false","","true","2","6","DURGAPUR SCHOOL OF NURSING BURDWAN","2015","183061","183048","183044","","","","","","false","false","false","false","false","713205","false","","","false"
"5530","Sarenga","","","19","339","","","","1971","2004","187510","R","false","","true","false","","true","2","6","KHRISTIYA SEVA NIKETAN BANKURA","2015","183063","183050","183046","","","","","","false","false","false","false","false","722150","false","","","false"
"14787","Sadar Hospital","Munger","Patna","10","226","","","","1970","1970","196551","U","false","","true","true","51811","true","1","2","ANM SCHOOL, MUNGHYR","2015","192104","192091","192087","","","","","","false","false","false","false","false","811201","false","","","false"
"3475","Chuttugunta","","","28","548","","","","1994","1994","198600","U","false","","false","true","52346","true","1","6","CHANDRA SCHOOL OF NURSING GUNTUR","2015","194153","194140","194136","","","","107253","","false","false","true","false","false","522004","false","","","false"
"595","NALLAPADU","GUNTUR","GUNTUR","28","548","","","","1961","","199005","R","false","","false","false","","true","1","2","MBTS GOVT POLYTECHNIC GUNTUR","2015","194558","194545","194541","","","","107505","","false","false","true","false","false","522005","false","","","true"
"14900","GIC CAMPUS","","BERINAG","05","062","","","","2014","","207962","R","false","","false","false","","false","0","2","GOVERNMENT POLYTECHNIC, BERINAG","2015","203515","203502","203498","","","","112521","","false","false","true","false","false","262531","false","","","false"
"14303","NAGER","","ONGOLE","28","549","","","","2007","","213641","R","false","","false","false","","false","0","6","Vasavi College of Elementary Education","2015","209194","209181","209177","","","","115294","","false","false","true","false","false","503948","false","","","false"
"15910","budidi palem","kandukuru","","28","549","","","","2014","","213643","U","false","","false","false","","false","0","6","S.R.M Ded College","2015","209196","209183","209179","","","","115296","","false","false","true","false","false","523105","false","","","false"
"14308","DASARI","","","28","549","","2","","2015","","213783","R","false","","false","false","","false","0","6","PMKR Institute of D.El.Ed","2015","209336","209323","209319","","","","115350","","false","false","true","false","false","523333","false","","","false"
"1943","Post Bag No.24","Vasmat Road","Parbhani","27","513","www.mspmshivajipharmacy.org","2.5","1143","1982","","214275","U","false","","false","false","","false","0","5","MARATHWADA SHIKSHAN PRASARAK MANDAL'S SHRI SHIVAJI INSTITUTE OF PHARMACYPARBHANI","2015","209828","209815","209811","","19.1600010000000012","76.4700009999999963","","","false","false","false","false","false","431401","false","","","false"
"15438","At/Po-ANTC,D.H.H,Bhawanipatna,Kalahandi","At/Po-ANTC,D.H.H,Bhawanipatna,Kalahandi","Bhawanipatna","21","395","","1.19999999999999996","7000","1980","1980","214276","U","false","","true","false","","true","1","2","ANM Training Centre, Bhawanipatna","2015","209829","209816","209812","","","","","","false","false","false","false","false","766001","false","","","true"
"15659","353/1901, Aiginia, Patrapada,","","Bhubaneswar","21","386","www.svncmsr.org","","3938","2006","2008","214277","U","false","","true","false","","true","1","6","Essen School of Nursing","2015","209830","209817","209813","","","","","","false","false","false","false","false","751019","false","","","false"
