"standalone_institution_id","department_id","survey_year"
"1943","996139","2015"
"15438","996140","2015"
"15659","996141","2015"
"2059","996186","2015"
"2059","996187","2015"
"2059","996188","2015"
"2059","996189","2015"
"2059","996190","2015"
"2121","996284","2015"
"1894","996195","2015"
"10808","745315","2015"
"14568","745377","2015"
"14568","745378","2015"
"14568","745379","2015"
"14568","745380","2015"
"14568","745381","2015"
"11104","745393","2015"
"3800","745412","2015"
"14004","745543","2015"
"3652","745563","2015"
"3652","745564","2015"
"3652","745565","2015"
"3652","745566","2015"
"3652","745567","2015"
"3652","745568","2015"
"6080","745607","2015"
"9632","745638","2015"
"3790","745737","2015"
"5934","745738","2015"
"8025","745774","2015"
"3743","745875","2015"
"6593","745876","2015"
"12741","745921","2015"
"12741","745922","2015"
"12741","745923","2015"
"12741","745924","2015"
"12741","745925","2015"
"10213","745926","2015"
"3612","745944","2015"
"12084","746003","2015"
"8552","746181","2015"
"14596","746229","2015"
"1765","746255","2015"
"1765","746256","2015"
"1765","746257","2015"
"1765","746258","2015"
"1765","746259","2015"
"8545","746369","2015"
"2140","746376","2015"
"2140","746377","2015"
"2140","746378","2015"
"2140","746379","2015"
"2140","746380","2015"
"2140","746381","2015"
"1728","746388","2015"
"1728","746389","2015"
"1728","746390","2015"
"1728","746391","2015"
"1728","746392","2015"
"1728","746393","2015"
"9694","746440","2015"
"1726","746468","2015"
"1726","746469","2015"
"1726","746470","2015"
"1726","746471","2015"
"1726","746472","2015"
"3648","746484","2015"
"14604","746498","2015"
"3777","746517","2015"
"2753","746573","2015"
"2753","746574","2015"
"2753","746575","2015"
"2753","746576","2015"
"2753","746577","2015"
"2753","746578","2015"
"2753","746579","2015"
"9258","746671","2015"
"14026","746858","2015"
"11088","746873","2015"
"5782","746906","2015"
"5837","746996","2015"
"9658","747000","2015"
"9906","747005","2015"
"3535","747014","2015"
"6040","747178","2015"
"9282","747355","2015"
"4090","747421","2015"
"4230","747570","2015"
"3053","747600","2015"
"3053","747601","2015"
"3053","747602","2015"
"3053","747603","2015"
"3053","747604","2015"
"3053","747605","2015"
"3053","747606","2015"
"3053","747607","2015"
"9332","747652","2015"
"9259","747680","2015"
"6826","747682","2015"
"2047","747700","2015"
"1111","747711","2015"
"1111","747712","2015"
"1111","747713","2015"
"10933","747886","2015"
"10933","747887","2015"
"10933","747888","2015"
"10933","747889","2015"
"10933","747890","2015"
"10933","747891","2015"
"11023","747919","2015"
"8986","747922","2015"
"9280","747925","2015"
"10051","748043","2015"
"8093","748054","2015"
"9673","748132","2015"
"9724","748133","2015"
"5922","748134","2015"
"2235","748145","2015"
"2235","748146","2015"
"2235","748147","2015"
"2235","748148","2015"
"2235","748149","2015"
"9353","748163","2015"
"8841","748174","2015"
"9130","748175","2015"
"7142","748176","2015"
"10220","748187","2015"
"662","748188","2015"
"662","748189","2015"
"662","748190","2015"
"11075","748191","2015"
"4178","748194","2015"
"2189","748211","2015"
"2189","748212","2015"
"2189","748213","2015"
"2189","748214","2015"
"4330","748221","2015"
"9029","748222","2015"
"9437","748244","2015"
"12988","748249","2015"
"14880","748316","2015"
"14880","748317","2015"
"14880","748318","2015"
"14880","748319","2015"
"11195","748320","2015"
"9681","748360","2015"
"6031","748409","2015"
"2117","748417","2015"
"6970","748427","2015"
"10073","748457","2015"
"14539","748605","2015"
"14539","748606","2015"
"14539","748607","2015"
"14539","748608","2015"
"14539","748609","2015"
"9081","748610","2015"
"10020","748625","2015"
"3766","748637","2015"
"11065","748656","2015"
"9951","748669","2015"
"9951","748670","2015"
"8311","748695","2015"
"6110","748711","2015"
"9914","748713","2015"
"1941","748717","2015"
"1941","748718","2015"
"1941","748719","2015"
"1941","748720","2015"
"1941","748721","2015"
"1941","748722","2015"
"1941","748723","2015"
"2062","748724","2015"
"2062","748725","2015"
"2062","748726","2015"
"2062","748727","2015"
"2062","748728","2015"
"10068","748754","2015"
"10068","748755","2015"
"4025","748781","2015"
"1906","748793","2015"
"1906","748794","2015"
"1906","748795","2015"
"1906","748796","2015"
"11155","748813","2015"
"12652","748823","2015"
"1184","748834","2015"
"1184","748835","2015"
"1184","748836","2015"
"1184","748837","2015"
"1184","748838","2015"
"1184","748839","2015"
"2144","748961","2015"
"1776","748962","2015"
"1674","749010","2015"
"1674","749011","2015"
"1674","749012","2015"
"1674","749013","2015"
"9930","749086","2015"
"9952","749091","2015"
"10205","749092","2015"
"1703","749093","2015"
"9892","749098","2015"
"9787","749132","2015"
"9787","749133","2015"
"2240","749144","2015"
"9422","749145","2015"
"3988","749180","2015"
"1699","749278","2015"
"1699","749279","2015"
"1699","749280","2015"
"1699","749281","2015"
"1699","749282","2015"
"1699","749283","2015"
"1699","749284","2015"
"1699","749285","2015"
"1699","749286","2015"
"1699","749287","2015"
"1699","749288","2015"
"1699","749289","2015"
"1699","749290","2015"
"1699","749291","2015"
"1699","749292","2015"
"1699","749293","2015"
"6057","749372","2015"
"9192","749479","2015"
"9192","749480","2015"
"9192","749481","2015"
"9192","749482","2015"
"10262","749547","2015"
"9994","749593","2015"
"10195","749656","2015"
