"standalone_institution_id","survey_year","non_teaching_staff_count_id"
"1943","2015","588167"
"1943","2015","588168"
"1943","2015","588169"
"15438","2015","588170"
"15438","2015","588171"
"2059","2015","588200"
"15659","2015","588172"
"2059","2015","588201"
"2059","2015","588202"
"14119","2015","588447"
"1894","2015","588211"
"1894","2015","588212"
"1894","2015","588213"
"1894","2015","588214"
"1556","2015","588455"
"15666","2015","588219"
"15666","2015","588220"
"10756","2015","588229"
"2018","2015","588242"
"2018","2015","588243"
"2018","2015","588244"
"2149","2015","588254"
"2149","2015","588255"
"15627","2015","588256"
"15436","2015","588257"
"15436","2015","588258"
"2121","2015","588259"
"2121","2015","588260"
"2121","2015","588261"
"15944","2015","588278"
"15944","2015","588279"
"15944","2015","588280"
"1556","2015","588456"
"1875","2015","588281"
"1875","2015","588282"
"1875","2015","588283"
"1875","2015","588284"
"12401","2015","588294"
"1990","2015","588305"
"1990","2015","588306"
"1990","2015","588307"
"1990","2015","588308"
"10808","2015","439606"
"10808","2015","439607"
"14568","2015","439647"
"14568","2015","439648"
"11104","2015","439668"
"3800","2015","439676"
"14004","2015","439750"
"14004","2015","439751"
"3652","2015","439758"
"3652","2015","439759"
"6080","2015","439782"
"9632","2015","439799"
"9632","2015","439800"
"9632","2015","439801"
"9409","2015","439831"
"9409","2015","439832"
"3790","2015","439865"
"5934","2015","439866"
"8025","2015","439894"
"8025","2015","439895"
"10165","2015","439938"
"3743","2015","439992"
"1990","2015","588309"
"1556","2015","588457"
"1556","2015","588458"
"6593","2015","439996"
"12741","2015","440039"
"12741","2015","440040"
"10213","2015","440041"
"3612","2015","440051"
"12084","2015","440094"
"12084","2015","440095"
"12084","2015","440096"
"8552","2015","440162"
"14596","2015","440205"
"1765","2015","440216"
"1765","2015","440217"
"1765","2015","440218"
"1765","2015","440219"
"8545","2015","440283"
"2140","2015","440287"
"2140","2015","440288"
"2140","2015","440289"
"1728","2015","440292"
"1728","2015","440293"
"1728","2015","440294"
"9694","2015","440325"
"9694","2015","440326"
"9694","2015","440327"
"1726","2015","440342"
"1726","2015","440343"
"1726","2015","440344"
"3648","2015","440356"
"14604","2015","440359"
"3777","2015","440374"
"2753","2015","440420"
"2753","2015","440421"
"2753","2015","440422"
"2753","2015","440423"
"9258","2015","440470"
"14026","2015","440553"
"11088","2015","440558"
"5782","2015","440580"
"5837","2015","440614"
"9658","2015","440631"
"9658","2015","440632"
"9906","2015","440635"
"3535","2015","440644"
"6040","2015","440724"
"9282","2015","440837"
"4090","2015","440847"
"4090","2015","440848"
"4090","2015","440849"
"4090","2015","440850"
"3787","2015","440851"
"4230","2015","440927"
"4230","2015","440928"
"3053","2015","440943"
"3053","2015","440944"
"3053","2015","440945"
"3053","2015","440946"
"9332","2015","440989"
"9259","2015","441013"
"6826","2015","441018"
"6826","2015","441019"
"6826","2015","441020"
"2047","2015","441040"
"2047","2015","441041"
"1111","2015","441047"
"1111","2015","441048"
"1111","2015","441049"
"10933","2015","441104"
"10933","2015","441105"
"11023","2015","441145"
"11023","2015","441146"
"11023","2015","441147"
"8986","2015","441152"
"8986","2015","441153"
"9280","2015","441159"
"10051","2015","441199"
"8093","2015","441206"
"9673","2015","441261"
"9673","2015","441262"
"9673","2015","441263"
"9724","2015","441264"
"9724","2015","441265"
"15946","2015","588316"
"5922","2015","441267"
"2235","2015","441276"
"9353","2015","441294"
"9353","2015","441295"
"9353","2015","441296"
"9353","2015","441297"
"8841","2015","441308"
"8841","2015","441309"
"9130","2015","441310"
"9130","2015","441311"
"9130","2015","441312"
"7142","2015","441313"
"10220","2015","441324"
"662","2015","441325"
"662","2015","441326"
"662","2015","441327"
"11075","2015","441328"
"11075","2015","441329"
"4178","2015","441334"
"2189","2015","441351"
"4330","2015","441368"
"4330","2015","441369"
"4330","2015","441370"
"9029","2015","441371"
"9029","2015","441372"
"9437","2015","441383"
"9437","2015","441384"
"9437","2015","441385"
"12988","2015","441389"
"12988","2015","441390"
"14880","2015","441438"
"14880","2015","441439"
"11195","2015","441440"
"9681","2015","441464"
"9681","2015","441465"
"6031","2015","441488"
"6031","2015","441489"
"2117","2015","441497"
"2117","2015","441498"
"6970","2015","441508"
"10073","2015","441520"
"10073","2015","441521"
"14539","2015","441632"
"14539","2015","441633"
"14539","2015","441634"
"9081","2015","441635"
"10020","2015","441648"
"10020","2015","441649"
"3766","2015","441663"
"11065","2015","441667"
"11065","2015","441668"
"9951","2015","441676"
"9951","2015","441677"
"8311","2015","441693"
"6110","2015","441704"
"9914","2015","441708"
"9914","2015","441709"
"1941","2015","441718"
"1941","2015","441719"
"1941","2015","441720"
"2062","2015","441721"
"2062","2015","441722"
"10068","2015","441740"
"10068","2015","441741"
"4025","2015","441760"
"4025","2015","441761"
"1415","2015","441765"
"1906","2015","441770"
"1906","2015","441771"
"11155","2015","441787"
"12652","2015","441797"
"12652","2015","441798"
"1184","2015","441804"
"1184","2015","441805"
"1184","2015","441806"
"1184","2015","441807"
"1184","2015","441808"
"2144","2015","441870"
"2144","2015","441871"
"1776","2015","441872"
"1776","2015","441873"
"1674","2015","441908"
"9930","2015","441941"
"9952","2015","441950"
"9952","2015","441951"
"10205","2015","441952"
"10205","2015","441953"
"1703","2015","441954"
"1703","2015","441955"
"9892","2015","441960"
"9892","2015","441961"
"9892","2015","441962"
"9390","2015","441963"
"9390","2015","441964"
"9390","2015","441965"
"9787","2015","441989"
"9787","2015","441990"
"2240","2015","442001"
"2240","2015","442002"
"9422","2015","442003"
"3988","2015","442028"
"1699","2015","442078"
"1699","2015","442079"
"1699","2015","442080"
"1699","2015","442081"
"1699","2015","442082"
"1699","2015","442083"
"1699","2015","442084"
"13967","2015","442123"
"13967","2015","442124"
"13967","2015","442125"
"13967","2015","442126"
"13967","2015","442127"
"13967","2015","442128"
"6057","2015","442150"
"6057","2015","442151"
"9192","2015","442196"
"9192","2015","442197"
"10262","2015","442246"
"10262","2015","442247"
"9831","2015","442266"
"9831","2015","442267"
"9994","2015","442273"
"10195","2015","442280"
"9876","2015","442318"
"5953","2015","442319"
"5953","2015","442320"
"10054","2015","442342"
"9859","2015","442366"
"9859","2015","442367"
"1252","2015","442391"
"1252","2015","442392"
"11074","2015","442426"
"12833","2015","442430"
"12833","2015","442431"
"11071","2015","442432"
"11071","2015","442433"
"11071","2015","442434"
"10194","2015","442448"
"2115","2015","442481"
"2115","2015","442482"
"2115","2015","442483"
"2115","2015","442484"
"9961","2015","442486"
"9961","2015","442487"
"1460","2015","442499"
"1460","2015","442500"
"6021","2015","442514"
"6021","2015","442515"
"6021","2015","442516"
"14504","2015","442564"
"13480","2015","442577"
"13480","2015","442578"
"13480","2015","442579"
"11020","2015","442621"
"2793","2015","442630"
"2793","2015","442631"
"2793","2015","442632"
"2793","2015","442633"
"2793","2015","442634"
"2793","2015","442635"
"2751","2015","442664"
"2751","2015","442665"
"9803","2015","442673"
"1795","2015","442721"
"1795","2015","442722"
"1795","2015","442723"
"1795","2015","442724"
"1795","2015","442725"
"2258","2015","442739"
"2239","2015","442760"
"2239","2015","442761"
"3764","2015","442779"
"3764","2015","442780"
"3764","2015","442781"
"9181","2015","442830"
"9181","2015","442831"
"9181","2015","442832"
"14583","2015","442848"
"14583","2015","442849"
"9215","2015","442939"
"9664","2015","442943"
"14431","2015","443003"
"14431","2015","443004"
"14431","2015","443005"
"14431","2015","443006"
"14431","2015","443007"
"14431","2015","443008"
"2003","2015","443042"
"14866","2015","443071"
"14866","2015","443072"
"2008","2015","443074"
"1916","2015","443077"
"1916","2015","443078"
"1916","2015","443079"
"1916","2015","443080"
"1916","2015","443081"
"9013","2015","443102"
"9013","2015","443103"
"9013","2015","443104"
"2116","2015","443145"
"2116","2015","443146"
"2116","2015","443147"
"2116","2015","443148"
"10384","2015","443149"
"1222","2015","443172"
"1222","2015","443173"
"10870","2015","443205"
"10870","2015","443206"
"9367","2015","443229"
"11127","2015","443234"
"9347","2015","443255"
"9347","2015","443256"
"9347","2015","443257"
"9763","2015","443261"
"9763","2015","443262"
"11027","2015","443316"
"9911","2015","443320"
"9911","2015","443321"
"10380","2015","443322"
"10380","2015","443323"
"14982","2015","443324"
"4189","2015","443328"
"4189","2015","443329"
"4189","2015","443330"
"5985","2015","443367"
"9592","2015","443382"
"10140","2015","443416"
"10140","2015","443417"
"4364","2015","443445"
"4364","2015","443446"
"4364","2015","443447"
"9198","2015","443462"
"9198","2015","443463"
"9198","2015","443464"
"5803","2015","443517"
"5803","2015","443518"
"5803","2015","443519"
"5979","2015","443591"
"1720","2015","443592"
"1720","2015","443593"
"1720","2015","443594"
"1720","2015","443595"
"12018","2015","443628"
"6468","2015","443635"
"9629","2015","443656"
"9629","2015","443657"
"9659","2015","443674"
"9633","2015","443704"
"9633","2015","443705"
"1910","2015","443707"
"1910","2015","443708"
"10138","2015","443719"
"12209","2015","443721"
"9703","2015","443747"
"9703","2015","443748"
"9703","2015","443749"
"3219","2015","443801"
"3219","2015","443802"
"3219","2015","443803"
"4884","2015","443820"
"4884","2015","443821"
"4884","2015","443822"
"4884","2015","443823"
"2253","2015","443833"
"2253","2015","443834"
"6245","2015","443900"
"6245","2015","443901"
"6245","2015","443902"
"15022","2015","443923"
"4383","2015","443931"
"10067","2015","443932"
"3940","2015","443933"
"3940","2015","443934"
"3940","2015","443935"
"10081","2015","443975"
"6890","2015","443989"
"6890","2015","443990"
"5684","2015","444020"
"9756","2015","444029"
"9756","2015","444030"
"9756","2015","444031"
"10016","2015","444061"
"10016","2015","444062"
"9516","2015","444075"
"5790","2015","444082"
"3477","2015","444111"
"3477","2015","444112"
"3477","2015","444113"
"6896","2015","444118"
"5829","2015","444130"
"10454","2015","444190"
"10454","2015","444191"
"9073","2015","444192"
"9785","2015","444201"
"9785","2015","444202"
"9785","2015","444203"
"12077","2015","444204"
"12077","2015","444205"
"2407","2015","444220"
"2407","2015","444221"
"2407","2015","444222"
"8852","2015","444248"
"8852","2015","444249"
"8852","2015","444250"
"1861","2015","444268"
"1861","2015","444269"
"1861","2015","444270"
"9848","2015","444272"
"2994","2015","444285"
"2994","2015","444286"
"2994","2015","444287"
"5806","2015","444288"
"9022","2015","444325"
"9022","2015","444326"
"13483","2015","444350"
"3779","2015","444356"
"9647","2015","444358"
"5403","2015","444365"
"5403","2015","444366"
"5403","2015","444367"
"9611","2015","444381"
"10179","2015","444387"
"4070","2015","444401"
"4070","2015","444402"
"4070","2015","444403"
"4070","2015","444404"
"4400","2015","444407"
"9640","2015","444412"
"14862","2015","444458"
"14895","2015","444468"
"14895","2015","444469"
"14895","2015","444470"
"14895","2015","444471"
"9307","2015","444498"
"9307","2015","444499"
"10984","2015","444515"
"10984","2015","444516"
"10984","2015","444517"
"1190","2015","444518"
"1190","2015","444519"
"1190","2015","444520"
"1392","2015","444523"
"2177","2015","444540"
"2177","2015","444541"
"2177","2015","444542"
"3745","2015","444568"
"3745","2015","444569"
"14168","2015","444627"
"5396","2015","444656"
"9188","2015","444659"
"9188","2015","444660"
"9188","2015","444661"
"9188","2015","444662"
"6130","2015","444663"
"9636","2015","444674"
"9636","2015","444675"
"9636","2015","444676"
"9012","2015","444689"
"9012","2015","444690"
"14998","2015","444691"
"7922","2015","444695"
"7922","2015","444696"
"9841","2015","444778"
"9931","2015","444792"
"4596","2015","444834"
"9387","2015","444839"
"9387","2015","444840"
"670","2015","444841"
"670","2015","444842"
"670","2015","444843"
"2180","2015","444882"
"2180","2015","444883"
"9938","2015","444885"
"9938","2015","444886"
"1126","2015","444899"
"10139","2015","444942"
"10139","2015","444943"
"5766","2015","444946"
"14071","2015","444962"
"14071","2015","444963"
"14071","2015","444964"
"10109","2015","444976"
"9603","2015","444995"
"9166","2015","445004"
"2130","2015","445079"
"2130","2015","445080"
"2130","2015","445081"
"2130","2015","445082"
"4618","2015","445091"
"9812","2015","445102"
"2857","2015","445103"
"14606","2015","445123"
"14606","2015","445124"
"9391","2015","445166"
"14997","2015","445167"
"1379","2015","445171"
"1379","2015","445172"
"1379","2015","445173"
"1644","2015","445210"
"1644","2015","445211"
"1644","2015","445212"
"1644","2015","445213"
"1644","2015","445214"
"1644","2015","445215"
"3794","2015","445217"
"9581","2015","445236"
"9581","2015","445237"
"9581","2015","445238"
"14428","2015","445246"
"14428","2015","445247"
"14428","2015","445248"
"9935","2015","445258"
"9935","2015","445259"
"10014","2015","445266"
"5889","2015","445301"
"5889","2015","445302"
"14424","2015","445339"
"13800","2015","445346"
"12786","2015","445355"
"12786","2015","445356"
"12786","2015","445357"
"12694","2015","445363"
"12694","2015","445364"
"2165","2015","445411"
"2165","2015","445412"
"2165","2015","445413"
"2165","2015","445414"
"2165","2015","445415"
"2165","2015","445416"
"9255","2015","445436"
"9255","2015","445437"
"9255","2015","445438"
"7896","2015","445468"
"2828","2015","445487"
"2828","2015","445488"
"2828","2015","445489"
"2828","2015","445490"
"6165","2015","445502"
"6165","2015","445503"
"6165","2015","445504"
"6165","2015","445505"
"9025","2015","445570"
"9025","2015","445571"
"9025","2015","445572"
"1445","2015","445591"
"1445","2015","445592"
"1445","2015","445593"
"12640","2015","445605"
"12640","2015","445606"
"12640","2015","445607"
"6535","2015","445693"
"6535","2015","445694"
"6535","2015","445695"
"12030","2015","445725"
"12030","2015","445726"
"9275","2015","445727"
"3782","2015","445768"
"3782","2015","445769"
"3782","2015","445770"
"3782","2015","445771"
"1666","2015","445774"
"1666","2015","445775"
"2088","2015","445784"
"10224","2015","445789"
"9384","2015","445790"
"8889","2015","445833"
"8889","2015","445834"
"8889","2015","445835"
"14973","2015","445945"
"14973","2015","445946"
"10053","2015","445948"
"9436","2015","445968"
"9207","2015","446035"
"9207","2015","446036"
"9394","2015","446041"
"9394","2015","446042"
"9129","2015","446045"
"9129","2015","446046"
"9767","2015","446060"
"9767","2015","446061"
"9894","2015","446069"
"9894","2015","446070"
"1387","2015","446088"
"3337","2015","446107"
"3337","2015","446108"
"3337","2015","446109"
"3337","2015","446110"
"3337","2015","446111"
"3337","2015","446112"
"14892","2015","446121"
"14892","2015","446122"
"14892","2015","446123"
"14892","2015","446124"
"9844","2015","446167"
"9028","2015","446197"
"9450","2015","446210"
"9133","2015","446212"
"9133","2015","446213"
"9133","2015","446214"
"10065","2015","446247"
"10065","2015","446248"
"642","2015","446265"
"642","2015","446266"
"642","2015","446267"
"3245","2015","446288"
"3245","2015","446289"
"10152","2015","446290"
"10152","2015","446291"
"3195","2015","446295"
"3195","2015","446296"
"3195","2015","446297"
"13973","2015","446302"
"5494","2015","446339"
"5494","2015","446340"
"4289","2015","446359"
"4289","2015","446360"
"4289","2015","446361"
"4289","2015","446362"
"4289","2015","446363"
"9158","2015","446376"
"9158","2015","446377"
"9158","2015","446378"
"1900","2015","446405"
"8934","2015","446416"
"3331","2015","446467"
"3331","2015","446468"
"10219","2015","446516"
"8706","2015","446517"
"8706","2015","446518"
"10150","2015","446523"
"12406","2015","446526"
"12406","2015","446527"
"12406","2015","446528"
"798","2015","446548"
"798","2015","446549"
"4190","2015","446566"
"4190","2015","446567"
"10198","2015","446594"
"10108","2015","446704"
"10108","2015","446705"
"10108","2015","446706"
"10108","2015","446707"
"14025","2015","446740"
"13998","2015","446764"
"13998","2015","446765"
"6638","2015","446766"
"6638","2015","446767"
"6638","2015","446768"
"6638","2015","446769"
"2492","2015","446812"
"2492","2015","446813"
"2492","2015","446814"
"2492","2015","446815"
"9610","2015","446833"
"9430","2015","446840"
"9430","2015","446841"
"14164","2015","446845"
"14164","2015","446846"
"14164","2015","446847"
"14164","2015","446848"
"12202","2015","446861"
"3321","2015","446879"
"9616","2015","446900"
"5481","2015","446909"
"5481","2015","446910"
"5481","2015","446911"
"5481","2015","446912"
"5481","2015","446913"
"8635","2015","446923"
"8635","2015","446924"
"5375","2015","446928"
"5375","2015","446929"
"3239","2015","446961"
"3239","2015","446962"
"9461","2015","446967"
"9461","2015","446968"
"537","2015","447038"
"537","2015","447039"
"537","2015","447040"
"537","2015","447041"
"537","2015","447042"
"537","2015","447043"
"9026","2015","447047"
"10188","2015","447061"
"9698","2015","447062"
"9698","2015","447063"
"9913","2015","447064"
"9913","2015","447065"
"4221","2015","447067"
"4221","2015","447068"
"4221","2015","447069"
"4221","2015","447070"
"9580","2015","447071"
"9580","2015","447072"
"9338","2015","447080"
"9338","2015","447081"
"9338","2015","447082"
"3388","2015","447083"
"9878","2015","447087"
"9878","2015","447088"
"2015","2015","447093"
"2015","2015","447094"
"2015","2015","447095"
"14172","2015","447098"
"9840","2015","447099"
"9840","2015","447100"
"14497","2015","447130"
"14497","2015","447131"
"9863","2015","447137"
"9863","2015","447138"
"1993","2015","447142"
"1993","2015","447143"
"1993","2015","447144"
"1993","2015","447145"
"1993","2015","447146"
"754","2015","447150"
"754","2015","447151"
"754","2015","447152"
"754","2015","447153"
"754","2015","447154"
"754","2015","447155"
"14733","2015","447171"
"3285","2015","447179"
"3285","2015","447180"
"9313","2015","447185"
"9313","2015","447186"
"7497","2015","447190"
"7497","2015","447191"
"7497","2015","447192"
"1982","2015","447196"
"1982","2015","447197"
"9221","2015","447198"
"9221","2015","447199"
"3121","2015","447210"
"14591","2015","447269"
"14591","2015","447270"
"14152","2015","447271"
"9465","2015","447318"
"9465","2015","447319"
"10093","2015","447352"
"10093","2015","447353"
"9160","2015","447430"
"10764","2015","447463"
"10764","2015","447464"
"1449","2015","447472"
