"standalone_institution_id","student_hostel_id","survey_year"
"15438","194090","2015"
"15659","194091","2015"
"1894","194102","2015"
"1894","194103","2015"
"15666","194107","2015"
"15666","194108","2015"
"10756","194113","2015"
"10756","194114","2015"
"4862","194304","2015"
"2149","194116","2015"
"2149","194117","2015"
"15627","194118","2015"
"15436","194119","2015"
"10808","148363","2015"
"10808","148364","2015"
"14568","148372","2015"
"11104","148377","2015"
"3800","148381","2015"
"14004","148402","2015"
"3652","148407","2015"
"3790","148453","2015"
"5934","148454","2015"
"10165","148465","2015"
"10165","148466","2015"
"3743","148485","2015"
"6593","148486","2015"
"6593","148487","2015"
"3612","148521","2015"
"12084","148527","2015"
"14596","148575","2015"
"8545","148592","2015"
"2140","148593","2015"
"2140","148594","2015"
"1728","148596","2015"
"1728","148597","2015"
"1726","148610","2015"
"1726","148611","2015"
"3648","148612","2015"
"3777","148619","2015"
"2753","148639","2015"
"2753","148640","2015"
"14026","148683","2015"
"11088","148687","2015"
"5782","148693","2015"
"5782","148694","2015"
"5837","148708","2015"
"5837","148709","2015"
"9658","148715","2015"
"9658","148716","2015"
"3535","148724","2015"
"6040","148773","2015"
"4090","148813","2015"
"4090","148814","2015"
"3787","148815","2015"
"4230","148839","2015"
"4230","148840","2015"
"9332","148864","2015"
"9332","148865","2015"
"2047","148876","2015"
"10933","148899","2015"
"10933","148900","2015"
"10933","148901","2015"
"10933","148902","2015"
"11023","148920","2015"
"11023","148921","2015"
"8986","148922","2015"
"4862","194305","2015"
"9724","148963","2015"
"5922","148964","2015"
"2235","148976","2015"
"2235","148977","2015"
"10220","149011","2015"
"10220","149012","2015"
"11075","149013","2015"
"4178","149017","2015"
"2189","149023","2015"
"2189","149024","2015"
"4330","149028","2015"
"9437","149031","2015"
"12988","149032","2015"
"11195","149052","2015"
"11195","149053","2015"
"6031","149068","2015"
"6970","149076","2015"
"10073","149078","2015"
"10073","149079","2015"
"14539","149106","2015"
"14539","149107","2015"
"3766","149119","2015"
"9951","149124","2015"
"6110","149133","2015"
"9914","149135","2015"
"10068","149142","2015"
"10068","149143","2015"
"4025","149147","2015"
"4025","149148","2015"
"1415","149149","2015"
"11155","149154","2015"
"1184","149157","2015"
"1674","149193","2015"
"1674","149194","2015"
"10205","149213","2015"
"1703","149214","2015"
"9892","149217","2015"
"9390","149218","2015"
"9787","149226","2015"
"9787","149227","2015"
"2240","149234","2015"
"3988","149245","2015"
"3988","149246","2015"
"1699","149260","2015"
"1699","149261","2015"
"13967","149279","2015"
"13967","149280","2015"
"6057","149293","2015"
"9876","149328","2015"
"9876","149329","2015"
"5953","149330","2015"
"1252","149385","2015"
"11074","149394","2015"
"11071","149398","2015"
"11071","149399","2015"
"2115","149418","2015"
"2115","149419","2015"
"1460","149422","2015"
"6021","149430","2015"
"6021","149431","2015"
"13480","149452","2015"
"13480","149453","2015"
"11020","149464","2015"
"11020","149465","2015"
"2793","149473","2015"
"1795","149496","2015"
"2258","149497","2015"
"2239","149504","2015"
"3764","149509","2015"
"14583","149530","2015"
"2003","149612","2015"
"14866","149626","2015"
"2008","149629","2015"
"2008","149630","2015"
"1916","149631","2015"
"1916","149632","2015"
"2116","149653","2015"
"2116","149654","2015"
"10870","149692","2015"
"10870","149693","2015"
"9763","149727","2015"
"11027","149753","2015"
"10380","149754","2015"
"10380","149755","2015"
"4189","149756","2015"
"4189","149757","2015"
"5985","149764","2015"
"4364","149778","2015"
"4364","149779","2015"
"5803","149802","2015"
"5979","149819","2015"
"6468","149825","2015"
"6468","149826","2015"
"9659","149835","2015"
"3219","149867","2015"
"4884","149875","2015"
"4884","149876","2015"
"15022","149903","2015"
"4383","149904","2015"
"4383","149905","2015"
"10067","149906","2015"
"3940","149907","2015"
"3940","149908","2015"
"9756","149935","2015"
"3477","149954","2015"
"3477","149955","2015"
"6896","149956","2015"
"5829","149957","2015"
"2407","149975","2015"
"2407","149976","2015"
"2407","149977","2015"
"2407","149978","2015"
"8852","149985","2015"
"8852","149986","2015"
"1861","149992","2015"
"1861","149993","2015"
"9848","149996","2015"
"9848","149997","2015"
"5806","150002","2015"
"9022","150014","2015"
"3779","150023","2015"
"3779","150024","2015"
"5403","150026","2015"
"4070","150053","2015"
"4400","150054","2015"
"4400","150055","2015"
"14862","150076","2015"
"1190","150098","2015"
"1190","150099","2015"
"1392","150101","2015"
"1392","150102","2015"
"2177","150108","2015"
"2177","150109","2015"
"3745","150118","2015"
"14168","150127","2015"
"14168","150128","2015"
"5396","150130","2015"
"5396","150131","2015"
"6130","150133","2015"
"9841","150158","2015"
"4596","150177","2015"
"670","150178","2015"
"9938","150202","2015"
"9938","150203","2015"
"1126","150207","2015"
"1126","150208","2015"
"5766","150217","2015"
"14071","150220","2015"
"14071","150221","2015"
"2130","150246","2015"
"2130","150247","2015"
"2130","150248","2015"
"4618","150250","2015"
"2857","150257","2015"
"14606","150261","2015"
"14606","150262","2015"
"9391","150275","2015"
"9391","150276","2015"
"1379","150277","2015"
"1379","150278","2015"
"3794","150288","2015"
"10014","150299","2015"
"10014","150300","2015"
"5889","150310","2015"
"13800","150318","2015"
"12694","150323","2015"
"2165","150329","2015"
"2165","150330","2015"
"7896","150337","2015"
"2828","150342","2015"
"2828","150343","2015"
"6165","150347","2015"
"9025","150372","2015"
"9025","150373","2015"
"1445","150379","2015"
"1445","150380","2015"
"12640","150381","2015"
"12640","150382","2015"
"3782","150414","2015"
"1666","150417","2015"
"1666","150418","2015"
"8889","150439","2015"
"8889","150440","2015"
"9894","150488","2015"
"9894","150489","2015"
"3337","150494","2015"
"9028","150504","2015"
"9450","150507","2015"
"642","150519","2015"
"3245","150527","2015"
"3245","150528","2015"
"10152","150529","2015"
"3195","150532","2015"
"3195","150533","2015"
"3195","150534","2015"
"13973","150538","2015"
"5494","150547","2015"
"5494","150548","2015"
"4289","150550","2015"
"4289","150551","2015"
"9158","150552","2015"
"1900","150558","2015"
"8934","150561","2015"
"8934","150562","2015"
"3331","150578","2015"
"3331","150579","2015"
"3331","150580","2015"
"8706","150584","2015"
"8706","150585","2015"
"10150","150588","2015"
"10150","150589","2015"
"12406","150590","2015"
"12406","150591","2015"
"4190","150601","2015"
"4190","150602","2015"
"14025","150659","2015"
"13998","150663","2015"
"2492","150682","2015"
"9430","150690","2015"
"14164","150693","2015"
"14164","150694","2015"
"3321","150703","2015"
"5481","150715","2015"
"8635","150718","2015"
"5375","150719","2015"
"3239","150733","2015"
"3239","150734","2015"
"9026","150758","2015"
"9698","150760","2015"
"9913","150761","2015"
"4221","150763","2015"
"4221","150764","2015"
"9580","150765","2015"
"3388","150766","2015"
"14172","150769","2015"
"14172","150770","2015"
"14172","150771","2015"
"9840","150772","2015"
"14733","150779","2015"
"7497","150782","2015"
"14591","150807","2015"
"14591","150808","2015"
"14152","150809","2015"
"14152","150810","2015"
"10093","150824","2015"
"10093","150825","2015"
"10764","150859","2015"
"1449","150863","2015"
"13992","150890","2015"
"13992","150891","2015"
"15169","150893","2015"
"15169","150894","2015"
"14154","150895","2015"
"5800","150896","2015"
"5800","150897","2015"
"8685","150898","2015"
"8685","150899","2015"
"5484","150916","2015"
"5491","150942","2015"
"5491","150943","2015"
"9205","150960","2015"
"9393","150969","2015"
"12748","150970","2015"
"12748","150971","2015"
"13479","150983","2015"
"13479","150984","2015"
"9421","150999","2015"
"9045","151026","2015"
"3910","151036","2015"
"3910","151037","2015"
"13909","151041","2015"
"1734","151042","2015"
"12641","151053","2015"
"12641","151054","2015"
"4572","151081","2015"
"10158","151089","2015"
"2192","151091","2015"
"2192","151092","2015"
"2192","151093","2015"
"2192","151094","2015"
"5428","151109","2015"
"9551","151111","2015"
"4030","151112","2015"
"1778","151149","2015"
"3768","151150","2015"
"8689","151189","2015"
"13968","151190","2015"
"3771","151203","2015"
"1841","151219","2015"
"1841","151220","2015"
"11057","151221","2015"
"11057","151222","2015"
"7412","151227","2015"
"2433","151238","2015"
"4118","151257","2015"
"4118","151258","2015"
"12045","151259","2015"
"8846","151262","2015"
"8846","151263","2015"
"14009","151270","2015"
"8696","151273","2015"
"8696","151274","2015"
"14732","151277","2015"
"14732","151278","2015"
"5377","151307","2015"
"3755","151318","2015"
"13983","151320","2015"
"13983","151321","2015"
"13322","151335","2015"
"4412","151350","2015"
"4412","151351","2015"
"3801","151352","2015"
"3759","151356","2015"
"14005","151360","2015"
"14730","151366","2015"
"13996","151369","2015"
"5601","151370","2015"
"5601","151371","2015"
"14017","151380","2015"
"5970","151381","2015"
"14014","151406","2015"
"9761","151419","2015"
"12755","151422","2015"
"12755","151423","2015"
"7489","151424","2015"
"4334","151443","2015"
"12187","151447","2015"
"12187","151448","2015"
"12187","151449","2015"
"8473","151471","2015"
"9790","151485","2015"
"10238","151486","2015"
"8654","151487","2015"
"5497","151489","2015"
"8647","151492","2015"
"3756","151495","2015"
"3756","151496","2015"
"8686","151506","2015"
"8686","151507","2015"
"3226","151524","2015"
"14445","151532","2015"
"14445","151533","2015"
"4106","151534","2015"
"3318","151547","2015"
"3318","151548","2015"
"9368","151555","2015"
"9368","151556","2015"
"3179","151577","2015"
"2914","151593","2015"
"2914","151594","2015"
"2436","151596","2015"
"2436","151597","2015"
"12871","151600","2015"
"12871","151601","2015"
"6323","151615","2015"
"10216","151626","2015"
"4393","151629","2015"
"4393","151630","2015"
"5383","151631","2015"
"4523","151651","2015"
"8671","151652","2015"
"8671","151653","2015"
"12866","151666","2015"
"3656","151667","2015"
"2909","151686","2015"
"2909","151687","2015"
"1386","151688","2015"
"1386","151689","2015"
"8643","151711","2015"
"9928","151712","2015"
"9928","151713","2015"
"3214","151719","2015"
"3049","151727","2015"
"3049","151728","2015"
"6224","151733","2015"
"6224","151734","2015"
"14736","151747","2015"
"6678","151759","2015"
"6678","151760","2015"
"14156","151769","2015"
"14156","151770","2015"
"14522","151804","2015"
"14522","151805","2015"
"8183","151806","2015"
"1965","151815","2015"
"1965","151816","2015"
"12896","151822","2015"
"2187","151847","2015"
"2187","151848","2015"
"9747","151853","2015"
"9747","151854","2015"
"13933","151855","2015"
"6295","151856","2015"
"12621","151879","2015"
"8466","151883","2015"
"14965","151884","2015"
"14965","151885","2015"
"9735","151886","2015"
"2040","151894","2015"
"2040","151895","2015"
"3199","151914","2015"
"3199","151915","2015"
"10166","151932","2015"
"9044","151936","2015"
"2592","151956","2015"
"12410","151966","2015"
"2465","151994","2015"
"2465","151995","2015"
"2465","151996","2015"
"2465","151997","2015"
"4423","152001","2015"
"9867","152010","2015"
"9867","152011","2015"
"7503","152041","2015"
"9218","152049","2015"
"9218","152050","2015"
"10379","152053","2015"
"10379","152054","2015"
"3783","152056","2015"
"3761","152060","2015"
"12038","152098","2015"
"2393","152120","2015"
"10818","152135","2015"
"10818","152136","2015"
"8704","152176","2015"
"4568","152182","2015"
"4568","152183","2015"
"2452","152184","2015"
"2452","152185","2015"
"2195","152208","2015"
"2195","152209","2015"
"3233","152220","2015"
"9054","152223","2015"
"9572","152228","2015"
"9547","152229","2015"
"9190","152292","2015"
"2591","152322","2015"
"1875","194122","2015"
"1990","194139","2015"
"1339","152355","2015"
"1339","152356","2015"
"8669","152359","2015"
"10055","152360","2015"
"10118","152364","2015"
"9807","152377","2015"
"9807","152378","2015"
"12379","152392","2015"
"12379","152393","2015"
"15040","152395","2015"
"1389","152396","2015"
"1389","152397","2015"
"1389","152398","2015"
"12649","152411","2015"
"12649","152412","2015"
"3763","152413","2015"
"9010","152429","2015"
"9010","152430","2015"
"1239","152441","2015"
"14575","152447","2015"
"14575","152448","2015"
"5496","152462","2015"
"5469","152467","2015"
"5469","152468","2015"
"5522","152475","2015"
"9644","152476","2015"
"9644","152477","2015"
"9438","152484","2015"
"9438","152485","2015"
"8653","152497","2015"
"1798","152513","2015"
"1798","152514","2015"
"14175","152549","2015"
"4569","152570","2015"
"14159","152571","2015"
"14159","152572","2015"
