"standalone_institution_id","survey_year","teaching_staff_id"
"1943","2015","1192613"
"1943","2015","1192614"
"15438","2015","1192615"
"15438","2015","1192616"
"12401","2015","1192845"
"15592","2015","1193333"
"15592","2015","1193334"
"1643","2015","1193337"
"1643","2015","1193338"
"15659","2015","1192617"
"15659","2015","1192618"
"10808","2015","888922"
"10808","2015","888923"
"14568","2015","888999"
"14568","2015","889000"
"14568","2015","889001"
"14568","2015","889002"
"14568","2015","889003"
"14568","2015","889004"
"11104","2015","889024"
"11104","2015","889025"
"3800","2015","889047"
"3800","2015","889048"
"14004","2015","889208"
"14004","2015","889209"
"3652","2015","889231"
"3652","2015","889232"
"3652","2015","889233"
"3652","2015","889234"
"3652","2015","889235"
"3652","2015","889236"
"3652","2015","889237"
"6080","2015","889283"
"6080","2015","889284"
"9632","2015","889319"
"9632","2015","889320"
"9409","2015","889380"
"3790","2015","889442"
"3790","2015","889443"
"5934","2015","889444"
"5934","2015","889445"
"8025","2015","889489"
"8025","2015","889490"
"10165","2015","889531"
"3743","2015","889619"
"3743","2015","889620"
"6593","2015","889621"
"6593","2015","889622"
"12741","2015","889680"
"12741","2015","889681"
"12741","2015","889682"
"12741","2015","889683"
"12741","2015","889684"
"12741","2015","889685"
"10213","2015","889686"
"10213","2015","889687"
"3612","2015","889709"
"3612","2015","889710"
"12084","2015","889781"
"12084","2015","889782"
"8552","2015","889983"
"8552","2015","889984"
"14596","2015","890047"
"14596","2015","890048"
"1765","2015","890077"
"1765","2015","890078"
"1765","2015","890079"
"1765","2015","890080"
"1765","2015","890081"
"1765","2015","890082"
"8545","2015","890209"
"8545","2015","890210"
"2140","2015","890218"
"2140","2015","890219"
"2140","2015","890220"
"2140","2015","890221"
"2140","2015","890222"
"2140","2015","890223"
"2140","2015","890224"
"1728","2015","890232"
"1728","2015","890233"
"1728","2015","890234"
"1728","2015","890235"
"1728","2015","890236"
"1728","2015","890237"
"1728","2015","890238"
"9694","2015","890294"
"9694","2015","890295"
"1726","2015","890328"
"1726","2015","890329"
"1726","2015","890330"
"1726","2015","890331"
"1726","2015","890332"
"1726","2015","890333"
"3648","2015","890349"
"3648","2015","890350"
"14604","2015","890366"
"14604","2015","890367"
"3777","2015","890390"
"3777","2015","890391"
"2753","2015","890465"
"2753","2015","890466"
"2753","2015","890467"
"2753","2015","890468"
"2753","2015","890469"
"2753","2015","890470"
"2753","2015","890471"
"2753","2015","890472"
"9258","2015","890578"
"9258","2015","890579"
"14026","2015","890793"
"14026","2015","890794"
"11088","2015","890812"
"11088","2015","890813"
"5782","2015","890853"
"5782","2015","890854"
"5837","2015","890954"
"5837","2015","890955"
"9658","2015","890963"
"9658","2015","890964"
"9906","2015","890971"
"9906","2015","890972"
"3535","2015","890983"
"3535","2015","890984"
"6040","2015","891173"
"6040","2015","891174"
"9282","2015","891387"
"9282","2015","891388"
"4090","2015","891459"
"4090","2015","891460"
"3787","2015","891461"
"4230","2015","891636"
"4230","2015","891637"
"3053","2015","891675"
"3053","2015","891676"
"3053","2015","891677"
"3053","2015","891678"
"3053","2015","891679"
"3053","2015","891680"
"3053","2015","891681"
"3053","2015","891682"
"3053","2015","891683"
"9332","2015","891740"
"9332","2015","891741"
"9259","2015","891776"
"9259","2015","891777"
"6826","2015","891780"
"6826","2015","891781"
"2047","2015","891806"
"2047","2015","891807"
"1111","2015","891820"
"1111","2015","891821"
"1111","2015","891822"
"1111","2015","891823"
"10933","2015","892016"
"10933","2015","892017"
"10933","2015","892018"
"10933","2015","892019"
"10933","2015","892020"
"10933","2015","892021"
"10933","2015","892022"
"11023","2015","892064"
"11023","2015","892065"
"8986","2015","892069"
"8986","2015","892070"
"9280","2015","892075"
"9280","2015","892076"
"10051","2015","892214"
"10051","2015","892215"
"8093","2015","892228"
"8093","2015","892229"
"9673","2015","892324"
"9673","2015","892325"
"9724","2015","892326"
"9724","2015","892327"
"5922","2015","892328"
"5922","2015","892329"
"2235","2015","892342"
"2235","2015","892343"
"2235","2015","892344"
"2235","2015","892345"
"2235","2015","892346"
"2235","2015","892347"
"9353","2015","892367"
"9353","2015","892368"
"8841","2015","892383"
"8841","2015","892384"
"9130","2015","892385"
"9130","2015","892386"
"7142","2015","892387"
"7142","2015","892388"
"10220","2015","892403"
"10220","2015","892404"
"662","2015","892405"
"662","2015","892406"
"662","2015","892407"
"662","2015","892408"
"11075","2015","892409"
"11075","2015","892410"
"4178","2015","892414"
"4178","2015","892415"
"2189","2015","892437"
"2189","2015","892438"
"2189","2015","892439"
"2189","2015","892440"
"2189","2015","892441"
"4330","2015","892453"
"4330","2015","892454"
"9029","2015","892455"
"9029","2015","892456"
"9437","2015","892480"
"9437","2015","892481"
"12988","2015","892488"
"12988","2015","892489"
"14880","2015","892574"
"14880","2015","892575"
"14880","2015","892576"
"14880","2015","892577"
"14880","2015","892578"
"11195","2015","892579"
"11195","2015","892580"
"9681","2015","892628"
"9681","2015","892629"
"6031","2015","892686"
"6031","2015","892687"
"2117","2015","892698"
"2117","2015","892699"
"6970","2015","892713"
"6970","2015","892714"
"10073","2015","892748"
"10073","2015","892749"
"14539","2015","892929"
"14539","2015","892930"
"14539","2015","892931"
"14539","2015","892932"
"14539","2015","892933"
"14539","2015","892934"
"9081","2015","892935"
"9081","2015","892936"
"10020","2015","892958"
"10020","2015","892959"
"3766","2015","892977"
"3766","2015","892978"
"11065","2015","892998"
"11065","2015","892999"
"9951","2015","893014"
"9951","2015","893015"
"9951","2015","893016"
"8311","2015","893049"
"8311","2015","893050"
"6110","2015","893069"
"6110","2015","893070"
"9914","2015","893073"
"9914","2015","893074"
"1941","2015","893081"
"1941","2015","893082"
"1941","2015","893083"
"1941","2015","893084"
"1941","2015","893085"
"1941","2015","893086"
"1941","2015","893087"
"1941","2015","893088"
"2062","2015","893089"
"2062","2015","893090"
"2062","2015","893091"
"2062","2015","893092"
"2062","2015","893093"
"2062","2015","893094"
"10068","2015","893128"
"10068","2015","893129"
"10068","2015","893130"
"4025","2015","893163"
"4025","2015","893164"
"1415","2015","893168"
"1906","2015","893174"
"1906","2015","893175"
"1906","2015","893176"
"1906","2015","893177"
"1906","2015","893178"
"11155","2015","893199"
"11155","2015","893200"
"12652","2015","893213"
"12652","2015","893214"
"1184","2015","893229"
"1184","2015","893230"
"1184","2015","893231"
"1184","2015","893232"
"1184","2015","893233"
"1184","2015","893234"
"1184","2015","893235"
"2144","2015","893377"
"2144","2015","893378"
"1776","2015","893379"
"1776","2015","893380"
"1674","2015","893440"
"1674","2015","893441"
"1674","2015","893442"
"1674","2015","893443"
"1674","2015","893444"
"9930","2015","893530"
"9930","2015","893531"
"9952","2015","893538"
"9952","2015","893539"
"10205","2015","893540"
"10205","2015","893541"
"1703","2015","893542"
"1703","2015","893543"
"9892","2015","893550"
"9892","2015","893551"
"9390","2015","893552"
"9787","2015","893593"
"9787","2015","893594"
"9787","2015","893595"
"2240","2015","893609"
"2240","2015","893610"
"9422","2015","893611"
"9422","2015","893612"
"3988","2015","893656"
"3988","2015","893657"
"1699","2015","893772"
"1699","2015","893773"
"1699","2015","893774"
"1699","2015","893775"
"1699","2015","893776"
"1699","2015","893777"
"1699","2015","893778"
"1699","2015","893779"
"1699","2015","893780"
"1699","2015","893781"
"1699","2015","893782"
"1699","2015","893783"
"1699","2015","893784"
"1699","2015","893785"
"1699","2015","893786"
"1699","2015","893787"
"1699","2015","893788"
"13967","2015","893855"
"6057","2015","893891"
"6057","2015","893892"
"9192","2015","894014"
"9192","2015","894015"
"9192","2015","894016"
"9192","2015","894017"
"9192","2015","894018"
"10262","2015","894097"
"10262","2015","894098"
"9831","2015","894149"
"9994","2015","894152"
"9994","2015","894153"
"10195","2015","894219"
"10195","2015","894220"
"9876","2015","894312"
"9876","2015","894313"
"5953","2015","894314"
"5953","2015","894315"
"10054","2015","894405"
"10054","2015","894406"
"9859","2015","894463"
"9859","2015","894464"
"1252","2015","894514"
"1252","2015","894515"
"1252","2015","894516"
"1252","2015","894517"
"1252","2015","894518"
"11074","2015","894578"
"11074","2015","894579"
"12833","2015","894583"
"12833","2015","894584"
"11071","2015","894585"
"11071","2015","894586"
"10194","2015","894610"
"10194","2015","894611"
"2115","2015","894698"
"2115","2015","894699"
"2115","2015","894700"
"2115","2015","894701"
"2115","2015","894702"
"2115","2015","894703"
"2115","2015","894704"
"9961","2015","894709"
"9961","2015","894710"
"1460","2015","894740"
"1460","2015","894741"
"1460","2015","894742"
"1460","2015","894743"
"1460","2015","894744"
"1460","2015","894745"
"1460","2015","894746"
"1460","2015","894747"
"1460","2015","894748"
"6021","2015","894762"
"6021","2015","894763"
"14504","2015","894884"
"14504","2015","894885"
"13480","2015","894896"
"13480","2015","894897"
"11020","2015","894953"
"11020","2015","894954"
"2793","2015","894979"
"2793","2015","894980"
"2793","2015","894981"
"2793","2015","894982"
"2793","2015","894983"
"2793","2015","894984"
"2793","2015","894985"
"2751","2015","895047"
"2751","2015","895048"
"9803","2015","895073"
"9803","2015","895074"
"1795","2015","895144"
"1795","2015","895145"
"1795","2015","895146"
"1795","2015","895147"
"1795","2015","895148"
"1795","2015","895149"
"1795","2015","895150"
"1795","2015","895151"
"1795","2015","895152"
"1795","2015","895153"
"2258","2015","895164"
"2258","2015","895165"
"2258","2015","895166"
"2258","2015","895167"
"2258","2015","895168"
"2258","2015","895169"
"2239","2015","895216"
"2239","2015","895217"
"3764","2015","895241"
"9181","2015","895338"
"9181","2015","895339"
"14583","2015","895398"
"14583","2015","895399"
"9215","2015","895556"
"9215","2015","895557"
"9664","2015","895562"
"9664","2015","895563"
"14431","2015","895693"
"14431","2015","895694"
"14431","2015","895695"
"14431","2015","895696"
"2003","2015","895797"
"2003","2015","895798"
"2003","2015","895799"
"2003","2015","895800"
"2003","2015","895801"
"2003","2015","895802"
"14866","2015","895890"
"14866","2015","895891"
"2008","2015","895894"
"2008","2015","895895"
"2008","2015","895896"
"2008","2015","895897"
"2008","2015","895898"
"2008","2015","895899"
"1916","2015","895911"
"1916","2015","895912"
"1916","2015","895913"
"1916","2015","895914"
"1916","2015","895915"
"1916","2015","895916"
"1916","2015","895917"
"1916","2015","895918"
"1916","2015","895919"
"1916","2015","895920"
"1916","2015","895921"
"9013","2015","895976"
"9013","2015","895977"
"2116","2015","896075"
"2116","2015","896076"
"10384","2015","896077"
"10384","2015","896078"
"1222","2015","896171"
"1222","2015","896172"
"10870","2015","896203"
"10870","2015","896204"
"10870","2015","896205"
"10870","2015","896206"
"10870","2015","896207"
"10870","2015","896208"
"9367","2015","896329"
"9367","2015","896330"
"11127","2015","896347"
"11127","2015","896348"
"9347","2015","896398"
"9347","2015","896399"
"9763","2015","896402"
"9763","2015","896403"
"11027","2015","896512"
"11027","2015","896513"
"9911","2015","896517"
"9911","2015","896518"
"10380","2015","896519"
"10380","2015","896520"
"14982","2015","896521"
"14982","2015","896522"
"4189","2015","896525"
"4189","2015","896526"
"5985","2015","896583"
"5985","2015","896584"
"9592","2015","896679"
"9592","2015","896680"
"10140","2015","896779"
"4364","2015","896835"
"4364","2015","896836"
"9198","2015","896883"
"9198","2015","896884"
"5803","2015","896972"
"5803","2015","896973"
"5979","2015","897130"
"5979","2015","897131"
"1720","2015","897132"
"1720","2015","897133"
"1720","2015","897134"
"1720","2015","897135"
"1720","2015","897136"
"1720","2015","897137"
"12018","2015","897187"
"12018","2015","897188"
"6468","2015","897203"
"6468","2015","897204"
"9629","2015","897237"
"9629","2015","897238"
"9659","2015","897274"
"9659","2015","897275"
"9633","2015","897340"
"9633","2015","897341"
"1910","2015","897343"
"1910","2015","897344"
"10138","2015","897356"
"10138","2015","897357"
"12209","2015","897364"
"12209","2015","897365"
"9703","2015","897388"
"9703","2015","897389"
"3219","2015","897511"
"3219","2015","897512"
"3219","2015","897513"
"3219","2015","897514"
"4884","2015","897566"
"4884","2015","897567"
"2253","2015","897600"
"2253","2015","897601"
"6245","2015","897770"
"6245","2015","897771"
"15022","2015","897805"
"15022","2015","897806"
"4383","2015","897813"
"4383","2015","897814"
"10067","2015","897815"
"10067","2015","897816"
"3940","2015","897817"
"3940","2015","897818"
"10081","2015","897891"
"10081","2015","897892"
"6890","2015","897908"
"6890","2015","897909"
"5684","2015","897986"
"5684","2015","897987"
"9756","2015","897998"
"9756","2015","897999"
"10016","2015","898047"
"9516","2015","898056"
"9516","2015","898057"
"5790","2015","898076"
"5790","2015","898077"
"3477","2015","898142"
"3477","2015","898143"
"6896","2015","898156"
"6896","2015","898157"
"5829","2015","898166"
"10454","2015","898283"
"10454","2015","898284"
"9073","2015","898285"
"9073","2015","898286"
"9785","2015","898305"
"9785","2015","898306"
"12077","2015","898307"
"2407","2015","898331"
"8852","2015","898366"
"8852","2015","898367"
"1861","2015","898401"
"1861","2015","898402"
"9848","2015","898416"
"9848","2015","898417"
"2994","2015","898434"
"2994","2015","898435"
"2994","2015","898436"
"2994","2015","898437"
"2994","2015","898438"
"2994","2015","898439"
"5806","2015","898440"
"5806","2015","898441"
"9022","2015","898499"
"9022","2015","898500"
"13483","2015","898554"
"13483","2015","898555"
"13483","2015","898556"
"13483","2015","898557"
"13483","2015","898558"
"13483","2015","898559"
"3779","2015","898584"
"3779","2015","898585"
"3779","2015","898586"
"9647","2015","898590"
"9647","2015","898591"
"5403","2015","898604"
"5403","2015","898605"
"9611","2015","898639"
"9611","2015","898640"
"10179","2015","898651"
"10179","2015","898652"
"4070","2015","898744"
"4400","2015","898747"
"4400","2015","898748"
"9640","2015","898753"
"9640","2015","898754"
"14862","2015","898850"
"14862","2015","898851"
"14895","2015","898877"
"14895","2015","898878"
"9307","2015","898952"
"9307","2015","898953"
"10984","2015","898982"
"10984","2015","898983"
"10984","2015","898984"
"10984","2015","898985"
"10984","2015","898986"
"1190","2015","898987"
"1190","2015","898988"
"1190","2015","898989"
"1190","2015","898990"
"1190","2015","898991"
"1190","2015","898992"
"1190","2015","898993"
"1190","2015","898994"
"1392","2015","899000"
"2177","2015","899027"
"2177","2015","899028"
"2177","2015","899029"
"2177","2015","899030"
"2177","2015","899031"
"2177","2015","899032"
"2177","2015","899033"
"2177","2015","899034"
"3745","2015","899136"
"3745","2015","899137"
"14168","2015","899258"
"14168","2015","899259"
"14168","2015","899260"
"5396","2015","899332"
"5396","2015","899333"
"5396","2015","899334"
"5396","2015","899335"
"9188","2015","899344"
"9188","2015","899345"
"9188","2015","899346"
"9188","2015","899347"
"9188","2015","899348"
"6130","2015","899349"
"6130","2015","899350"
"9636","2015","899384"
"9636","2015","899385"
"9012","2015","899407"
"9012","2015","899408"
"14998","2015","899409"
"14998","2015","899410"
"7922","2015","899419"
"7922","2015","899420"
"9841","2015","899583"
"9841","2015","899584"
"9931","2015","899639"
"9931","2015","899640"
"4596","2015","899720"
"4596","2015","899721"
"9387","2015","899726"
"9387","2015","899727"
"670","2015","899728"
"670","2015","899729"
"670","2015","899730"
"670","2015","899731"
"670","2015","899732"
"670","2015","899733"
"2180","2015","899826"
"2180","2015","899827"
"9938","2015","899829"
"9938","2015","899830"
"1126","2015","899844"
"1126","2015","899845"
"1126","2015","899846"
"1126","2015","899847"
"1126","2015","899848"
"1126","2015","899849"
"1126","2015","899850"
"10139","2015","899943"
"10139","2015","899944"
"5766","2015","899954"
"5766","2015","899955"
"14071","2015","899991"
"14071","2015","899992"
"14071","2015","899993"
"14071","2015","899994"
"14071","2015","899995"
"10109","2015","900022"
"10109","2015","900023"
"9603","2015","900056"
"9603","2015","900057"
