"standalone_institution_id","survey_year","teaching_staff_sanctioned_strength_id"
"1943","2015","724479"
"1943","2015","724480"
"1943","2015","724481"
"1943","2015","724482"
"15438","2015","724483"
"15438","2015","724484"
"15438","2015","724485"
"15659","2015","724486"
"15659","2015","724487"
"15659","2015","724488"
"15659","2015","724489"
"2059","2015","724529"
"2059","2015","724530"
"2059","2015","724531"
"1894","2015","724538"
"1894","2015","724539"
"1894","2015","724540"
"15666","2015","724550"
"15666","2015","724551"
"15666","2015","724552"
"15666","2015","724553"
"15666","2015","724554"
"10756","2015","724568"
"10756","2015","724569"
"10756","2015","724570"
"10756","2015","724571"
"2018","2015","724584"
"2018","2015","724585"
"2018","2015","724586"
"2018","2015","724587"
"2018","2015","724588"
"10808","2015","512311"
"10808","2015","512312"
"10808","2015","512313"
"14568","2015","512357"
"14568","2015","512358"
"14568","2015","512359"
"11104","2015","512385"
"11104","2015","512386"
"11104","2015","512387"
"3800","2015","512400"
"3800","2015","512401"
"3800","2015","512402"
"14004","2015","512510"
"14004","2015","512511"
"14004","2015","512512"
"3652","2015","512524"
"3652","2015","512525"
"3652","2015","512526"
"6080","2015","512555"
"6080","2015","512556"
"6080","2015","512557"
"9632","2015","512572"
"9632","2015","512573"
"9632","2015","512574"
"9409","2015","512619"
"9409","2015","512620"
"9409","2015","512621"
"3790","2015","512667"
"3790","2015","512668"
"3790","2015","512669"
"5934","2015","512670"
"5934","2015","512671"
"5934","2015","512672"
"8025","2015","512700"
"8025","2015","512701"
"8025","2015","512702"
"10165","2015","512745"
"10165","2015","512746"
"10165","2015","512747"
"3743","2015","512817"
"3743","2015","512818"
"3743","2015","512819"
"3743","2015","512820"
"3743","2015","512821"
"6593","2015","512822"
"6593","2015","512823"
"6593","2015","512824"
"12741","2015","512881"
"12741","2015","512882"
"12741","2015","512883"
"10213","2015","512884"
"10213","2015","512885"
"10213","2015","512886"
"3612","2015","512904"
"3612","2015","512905"
"3612","2015","512906"
"12084","2015","512954"
"12084","2015","512955"
"12084","2015","512956"
"8552","2015","513052"
"8552","2015","513053"
"8552","2015","513054"
"14596","2015","513118"
"14596","2015","513119"
"14596","2015","513120"
"1765","2015","513134"
"1765","2015","513135"
"1765","2015","513136"
"1765","2015","513137"
"8545","2015","513211"
"8545","2015","513212"
"8545","2015","513213"
"2140","2015","513220"
"2140","2015","513221"
"2140","2015","513222"
"2140","2015","513223"
"1728","2015","513227"
"1728","2015","513228"
"1728","2015","513229"
"9694","2015","513267"
"9694","2015","513268"
"9694","2015","513269"
"1726","2015","513289"
"1726","2015","513290"
"1726","2015","513291"
"3648","2015","513310"
"3648","2015","513311"
"3648","2015","513312"
"14604","2015","513319"
"14604","2015","513320"
"14604","2015","513321"
"3777","2015","513342"
"3777","2015","513343"
"3777","2015","513344"
"2753","2015","513419"
"2753","2015","513420"
"2753","2015","513421"
"2753","2015","513422"
"2753","2015","513423"
"9258","2015","513482"
"9258","2015","513483"
"9258","2015","513484"
"14026","2015","513601"
"14026","2015","513602"
"14026","2015","513603"
"11088","2015","513618"
"11088","2015","513619"
"11088","2015","513620"
"5782","2015","513655"
"5782","2015","513656"
"5782","2015","513657"
"5837","2015","513707"
"5837","2015","513708"
"5837","2015","513709"
"9658","2015","513731"
"9658","2015","513732"
"9658","2015","513733"
"9906","2015","513742"
"9906","2015","513743"
"9906","2015","513744"
"3535","2015","513752"
