"id","intake_capacity","name","students_residing","type_id"
"185131","250","GIRLS HOSTEL (GH)","120","2"
"188931","50","INDRAWATI","50","2"
"188887","40","Hostel-5","4","2"
"155132","120","Krishna","32","1"
"187342","100","Little flower hostel","93","2"
"188686","80","Satyam Fashion Institute Hostel","73","2"
"160071","500","VEGA HOSTEL","356","2"
"155028","384","Sajjangad","384","1"
"166302","160","ST. ANNE'S HOSTEL","23","2"
"190267","80","Medical College New Boys Hostel","80","1"
"168846","50","VJP HOSTEL","19","1"
"167655","20","Shalimar Alvas","5","1"
"182704","65","1 BOY'S HOSTEL","65","1"
"191210","50","Boys Hostel","28","1"
"181095","30","SANSKRITI HOSTEL B","15","1"
"153438","500","Boys Hostel","2","1"
"171091","350","BOYS HOSTEL - I","350","1"
"170897","30","South Hostel","28","1"
"183983","200","Vaageswari Girls Hostel","90","2"
"169402","50","boys hostel","0","1"
"186304","100","smt.B.S.R DEGRE COLLEGE CAH HOSTEL","90","1"
"180613","366","Savitri Bai Phule Hall","388","2"
"149609","639","Nootan Hostel","3","1"
"152421","50","Government Boys' Hostel(Baxipanch.), Modasa","2","1"
"184807","200","Boys Hostel 1","90","1"
"186720","300","MGM Girl Hostel","300","2"
"191259","300","UPASANA COLLEGE LADIES HOSTEL","184","2"
"174117","80","Ladies Hostel-II","80","2"
"170691","30","Shivani","0","1"
"165210","80","Harsh Residency","48","2"
"151856","25","BVVS Hostel Mudhol","1","2"
"157477","100","NEW HOSTEL BOYSHOSTEL","100","1"
"156416","50","Ladies Hostel","0","2"
"155964","80","NAIMINATH BOY'S HOSTEL","60","1"
"171412","140","BLOCK-F","138","2"
"171502","100","manav managal girls hostel","7","2"
"166642","214","CB-I","214","1"
"170944","126","R.C.C. 2 Girl's Hostel","81","2"
"165813","90","HOSTEL-01","73","1"
"160464","50","Boys Hostel","30","1"
"189951","225","BH-4","200","1"
"158301","215","Hostel No. 1","210","2"
"169542","75","K.M.College Gents Hostel","70","1"
"153732","150","Indira Glrls Hostel","0","2"
"190400","25","Boys Hostel","25","1"
"151605","300","G.S.P.JOTHIMANI HOSTEL","175","1"
"162412","100","NRI","0","2"
"162584","99","Azad Bhawan (D)","99","1"
"173045","400","Girls hostel","275","2"
"171187","6","Govt. Digvijay college Hostal","4","1"
"181025","26","CMC Doctors Quarters - IX (SHA)","26","1"
"187989","25","Boys Hostel","0","1"
"176793","40","Indira Girls Hostel","0","2"
"164608","238","Boys Hostel","30","1"
"171734","50","Raja Mahal","50","1"
"193878","100","Tirumala Boys Hostel","30","1"
"183918","150","Boys Hostel","84","1"
"158730","50","DECCAN GIRLS HOSTEL","15","2"
"186894","540","Smt. Vidyawati Girls Hostel","305","2"
"190371","60","St.Gabriyel Hostel for Girls","34","2"
"175538","254","2","25","1"
"187671","75","GIRLS HOSTEL","50","2"
"182955","250","Girls Hostel - UG","115","2"
"178568","100","Alphonsa's Abode","50","2"
"148595","20","TMES  BOYS HOSTEL","10","1"
"186618","120","karthyayani amma school of nursing","20","2"
"178138","300","ST THERESA'S STUDENT NURSES HOSTEL","175","2"
"151631","50","ANKERITE PUSHPA SRI RAM HOSTEL","32","2"
"174679","60","RANICHANNAMMA LADIES HOSTEL","2","2"
"166176","100","GIRLS HOSTEL","2","2"
"188909","50","Mass Education Hostel","50","2"
"174413","60","Boys Hostel","60","1"
"180913","1200","G,P.Q.R.S.S1 & S2","1090","2"
"151200","102","Girls Hostel","0","2"
"158793","250","SVV HOSTEL","100","2"
"167177","50","Babu Jagjivan Ram","0","2"
"170250","150","HOSTEL 2","120","1"
"177674","120","Block -II","95","2"
"149023","200","Sushishialkumar shinde Boy's Hostel","175","1"
"150607","100","SGS College Women's Hostel","0","2"
"192742","5","Sancheti Girls Hostel","1","2"
"162808","200","JUNAGADH KELAVANI MANDAL HOSTEL","0","2"
"175332","227","Mother Theresa Women's Hostel","0","2"
"191910","115","Damodar","54","1"
"178263","50","CITE BOYS HOSTEL","0","1"
"158991","416","PIT HOSTEL/BOYS HOSTEL-I","302","1"
"159966","60","KAVERI HOSTEL BLOCK","56","2"
"160506","450","Hostel 2","178","2"
"164893","120","BCET Girls Hostel","49","2"
"152636","200","RAM PRATAP UPADHYAY","200","1"
"161569","40","Girls hostel","21","2"
"169099","300","Vrindavan Bhavan","266","1"
"166651","100","BOYS HOSTEL","0","1"
"170734","100","GIRLS HOSTEL","0","2"
"150635","75","KDMG BOYS HOSTEL","0","1"
"165067","30","rkdfgirls","4","2"
"176432","50","VISHNU DUTT HOSTEL 2","15","2"
"193740","560","SINHGAD GIRLS HOSTEL","29","2"
"194032","60","Nabapravat Girls Hostel","40","2"
"149788","110","Govt. Ayurved College Girl's Hostel","102","2"
"193077","120","Boys Hostel B For UG","120","1"
"150760","30","Pandurang Desai Jr.College of Edn .Hostel,Kusur","0","1"
"154405","100","KRS HOSTEL","25","1"
"167214","250","KKET Boys Hostel","30","1"
"180429","100","DECCAN DEGREE GIRLS HOSTEL","0","2"
"150545","50","Seth Motilal Girl's Hostal","7","2"
"172457","200","R R Girls Hostel Block B","100","1"
"174724","100","Salesian College Hostel","75","1"
"162263","70","Boys Hostel","28","1"
"181893","130","Home of Love","130","1"
"170760","300","Basappa Memorial Nurses Hostel, Jayalakshmi Puram, Mysore","114","2"
"159005","50","KNP GIRLS HOSTEL","35","2"
"171692","240","Universal Girls Hostel","13","1"
"161794","920","VALLUVAR","850","1"
"167971","125","AME's Girls Hostel","125","2"
"182358","200","Dr.NCE BOYS HOSTEL","187","1"
"165507","72","Girls' Hostel No-3","72","2"
"174483","236","INTERNATIONAL BOYS HOSTEL","211","1"
"174729","80","A J Appartments","12","1"
"186195","30","KNIMT Girls Hostel","14","2"
"176371","454","MEN'S HOSTEL","311","1"
"148782","100","NRI","100","2"
"187958","400","Sri Lakshmi Hostels","350","2"
"192048","100","Fine arts hostel","83","1"
"154630","65","PG DHANVANTARI -4 (U.G, BOYS)","65","1"
"165123","200","SMIT Girls Hostel","100","2"
"169775","213","Smt. Madanbai Bansilalji Jain Apex Boys Hostel Wing II","64","1"
"190574","10","MERCY HOSPITAL HOSTEL","1","1"
"163633","75","International Hostel","75","1"
"168925","50","KARMA GIRLS HOSTEL","40","2"
"160723","60","Girls Hostel","43","2"
"169434","100","Smt. Parvatidevi R. Patil Ladies Hostel","87","2"
"182193","100","PROSNCTITY CENTRE","100","2"
"150149","70","Square","36","2"
"153511","100","Girls Hostel","0","2"
"186980","30","INDHIRA NAGAR HOSTEL","28","1"
"165712","140","Shiridi Sai Hostel","140","1"
"184436","250","SAI COLLEGE / SCHOOL OF NURSING HOSTEL","190","2"
"163702","100","Boys Hostel","50","1"
"157358","175","Shrre Shantipuram","130","1"
"178748","50","GIRLS HOSTEL","0","2"
"188690","150","Boys Hostel","65","3"
"171070","372","NR HALL OF RESIDENCE","78","1"
"184171","150","SIGMA COLLEGE OF NURSING","5","1"
"180926","1550","QIS","560","1"
"193393","180","Hostel-A","240","1"
"160838","150","R.D.Memorial Grils Hostel","92","2"
"164677","236","KAILASH BOYS HOSTEL","209","1"
"157261","50","Girls' Hostel (PG Building)","49","2"
"167095","100","MAA RAMRATI MEMORIAL GIRLS HOSTEL","85","2"
"152074","140","New Arts,Commerce & Science College, Shevgaon","33","2"
"154347","80","Shri & Smt P.K.K. Arts College Girls' Hostel","65","2"
"164034","23","Nilima Acharjee","23","2"
"180831","100","Boys Hostel","50","1"
"192996","100","OLD HOSTEL","0","3"
"171641","90","Koubru","104","1"
"157942","10","Boys Hostel","1","1"
"194096","220","Boys Hostel","4","1"
"177915","107","Girls Hostel Block-I (BIRRD)","104","2"
"174010","30","Girls Hostel","23","2"
"169398","40","B.Tech Girl's Hostel","34","2"
"181135","216","Nightingale Nursing Block","194","2"
"162538","60","Pvs school of nursing Girls hostel","1","2"
"181624","500","Sree Vidyanikethan educational institute main boys hostel","100","2"
"180760","110","Ladies Hostel No.1","19","2"
"158485","90","GIRLS FLATS ""B"" BLOCK","5","2"
"157759","35","Chandralok Girls Hostel","35","2"
"170197","100","Mansa Devi Mandir Dharamshala","62","2"
"150895","150","Kaushilya Hostel","64","2"
"158844","50","KURINJI BOYS HOSTEL","31","1"
"180550","140","Boys Hostel-1","60","1"
"149907","150","Ayesha Hostel -I","43","1"
"170415","150","Hina Boys Hostel","38","1"
"176743","100","Smt. Helena Kaushik Girls Hostle","15","2"
"181134","250","Manimutharu Illam","247","2"
"172538","50","RUKMANI TEACHER TRAINING INSTITUTE","0","2"
"167957","48","PIMR Girls Hostel","42","2"
"168408","104","Girls Hostel","78","2"
"154490","30","Droupodi Hostel","10","2"
"178358","36","Scholars' Hostel","27","3"
"148446","100","SHRI SARVAJANIK GIRLS HOSTEL","0","2"
"150959","200","Shree Anandabava Seva Sanstha Jamnagar","167","1"
"164316","100","MGV's Boys Hostel Panchavati , Nashik-3.","4","1"
"175913","50","J C BOSE HOSTEL","0","1"
"186013","120","Shri Balaji Institute of Nursing Girls Hostel","80","2"
"184266","102","Mahendra Tanaya","102","2"
"153198","8","Mata Gyan Devi Girls Hostel","0","2"
"178629","30","Kongu College of Arts & Science","5","1"
"175708","25","Boys Hostel","20","1"
"187924","100","Smt Sashi Devi Girls Hostal","90","2"
"162161","50","Boys Hostel","19","1"
"176372","240","SAGARIKA","0","1"
"170474","34","B L GIRLS","0","2"
"188831","160","florence hostel","102","2"
"186249","100","CRC memorial Hostel no-3","70","1"
"171665","60","Hostel-I","15","1"
"190586","24","Govt. Hostel for SC & ST Students","18","1"
"155400","92","Vinayak","86","1"
"172041","150","R.S. Girls' College Hostel","115","2"
"164372","200","BDS Boys Hostel","30","1"
"168683","192","Krupanidhi Girls Hostel","192","2"
"158503","40","Fitch Hostel","40","1"
"176653","128","PCM Hostel","143","1"
"173190","30","J.G.College Hostel","30","2"
"191129","255","VIVEKANAND BOYS HOSTEL","0","1"
"161329","35","CBIT Girls Hostel","10","2"
"184442","125","Chacko Hall","125","2"
"189522","25","diet girls hostel","0","2"
"184495","124","Swarnamukhi Hostel (ECH-II)","148","1"
"170554","120","NAGARJUNA GIRLS HOSTEL","96","2"
"173080","50","LAXMI","30","2"
