"id","address_line1","address_line2","area","city","constructed_area","district_code","girl_exclusive","specialized","staff_quarter_available","student_hostel_available","location","no_of_student_hostel","no_of_regional_centers","other_speciality","state_code","website","year_of_establishment","year_when_declared_university","nodal_officer_id","staff_quarter_id","type_id","offers_distance_programme","has_faculty_regular_courses","has_department_regular_courses","has_other_regular_courses","constituted_from_colleges","speciality_id","name","survey_year","financial_income_id","financial_expenditure_id","infrastructure_id","remarks","latitude","longitude","scholarship_id","loan_id","offers_scholarship","offers_loan","is_accredited","is_foreign_students_enrolled","pin_code","off_shore_center_available","no_of_off_shore_center","has_fellowships","fellowships_id","has_other_minority_data"
"0210","DUMKA","","109","DUMKA","","362","false","false","false","false","U","0","0","","20","www.skmu.org.in","1992","1992","200012","","02","false","true","false","false","false","","Sido Kanhu Murmu University, Dumka","2015","195565","195552","195548","","","","","","false","false","false","false","814110","false","0","false","","true"
"0523","Shahmeena Road","Chowk","","Lucknow - 226003","","157","false","false","true","true","U","18","0","","09","www.kgmcindia.edu","1905","2002","180664","47623","02","false","true","true","false","false","","KING GEORGE MEDICAL UNIVERSITY","2015","176217","176204","176200","","","","96123","","true","false","false","false","226003","false","0","false","","true"
"0569","Rajbati","","316.312299999999993","BURDWAN","85000","335","false","false","true","true","R","11","1","","19","www.buruniv.ac.in","1960","1960","180713","47635","02","true","false","true","false","false","","Burdwan University, Burdwan","2015","176266","176253","176249","","23.1500009999999996","87.5800009999999958","","","false","false","true","false","713104","false","0","false","","true"
"0316","Krishinagar","Basmat Road","9652","Parbhani","500000","513","false","true","true","false","U","0","0","","27","www.mkv.ac.in","1972","1972","214269","55828","02","false","true","false","false","true","1","Marathwada Agricultural University, Parbhani","2015","209822","209809","209805","","17.0123500000000014","70.152630000000002","","","false","false","false","true","431402","false","0","false","","false"
"0160","Barnala Road","","213.412000000000006","Sirsa","84805.4499999999971","079","false","false","true","true","U","4","1","","06","www.cdlu.ac.in","2003","2003","214278","55831","02","true","false","true","false","true","","Ch. Devi Lal University, Sirsa","2015","209831","209818","209814","NAAC Grade 'B'","29.324698999999999","75.2393399999999986","115596","","true","false","true","false","125055","false","0","true","6737","false"
"0549","I.E.T CAMPUS","SITAPUR  ROAD","37","LUCKNOW","","157","false","true","false","false","U","0","0","","09","www.uptu.ac.in","2000","2000","183311","","02","false","false","false","false","true","4","Uttar Pradesh Technical University, Lucknow","2015","178864","178851","178847","","","","","","false","false","false","false","226021","false","0","false","","false"
"0104","Maidan Garhi","","151.319999999999993","New Delhi","","098","false","false","true","false","U","0","70","","07","www.ignou.ac.in","1985","1985","214324","55850","09","true","true","false","false","false","","Indira Gandhi National Open University","2015","209877","209864","209860","","","","","","false","false","false","false","110068","true","20","false","","false"
"0171","National Dairy Research Institute, Karnal (Haryana)","","734.039999999999964","Karnal","178920","074","false","true","true","true","U","7","0","","06","ndri.res.in","1955","1989","214365","55866","04","false","true","false","false","false","1","National Dairy  Research Institute, Karnal","2015","209918","209905","209901","The newly introduced PG programme entitled 'Food Quality & Safety Assurance' is taught by the faculty drawn from different departments.","29.4300010000000007","77.2000010000000003","115630","","true","false","true","true","132001","false","0","false","","false"
"0802","Karoor","Valavoor P. O","53.5230000000000032","Pala","","597","false","true","false","true","R","2","0","IIIT","32","www.iiitkottayam.ac.in","2015","2015","214488","","19","false","true","false","false","false","9","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTTAYAM","2015","210041","210028","210024","Institution Established during 2015-16 only and working in the shared campus of Amal Jyothy College of Engineering  Kanjirappally..","","","115688","","true","false","false","false","686518","false","0","false","","false"
"0379","Jalandhar - Delhi G.T. Road.","","100","Phagwara","297727","036","false","false","true","true","R","14","1","","03","www.lpu.in","2005","2005","214321","55847","03","true","true","false","false","false","","Lovely Professional University, Jullunder","2015","209874","209861","209857","1.The name of University should be read as Lovely Professional University, Phagwara, Punjab as correction could not be made due to pre-filled name.2. Area of 100 acres is used / available for existing and on going operations and additional area is available for future expansion. if any. 3. Certain data/information could not be filled/rectified, as it is, due to format constraints/ technical errors.","31.252870999999999","75.7036970000000053","115615","","true","false","true","true","144411","false","0","true","6742","false"
"0009","Etcherla","Srikakualam","200","Srikakulam","","542","false","false","false","true","R","2","0","","28","www.brau.in","1972","2008","200129","","02","false","true","false","false","true","","Dr.B.R.Ambedkar University, Etcherla","2015","195682","195669","195665","","","","","","false","false","false","false","532410","false","0","false","","false"
"0069","Gaya Dobhi Road","Bodh Gaya","621","","80000","236","false","false","true","true","R","8","0","","10","www.magadhuniversity.ac.in","1962","1962","200890","52877","02","false","false","true","false","false","","Magadh University, Bodh Gaya","2015","196443","196430","196426","","","","","","false","false","true","true","824234","false","0","false","","false"
"0223","45th KM","NH - 209","300","Kanakapura","32","584","false","false","true","true","R","4","0","","29","www.jainuniversity.ac.in","1990","2009","200982","52893","06","false","true","false","false","false","","Jain university,Bangalore","2015","196535","196522","196518","","","","","","false","false","true","true","562112","false","0","false","","false"
"0710","rajgir","","450","Rajgir","1635","229","false","false","true","true","R","1","0","","10","naladauniv.edu.in","2010","2010","214530","55912","01","false","true","false","false","false","","NALANDA UNIVERSITY","2015","210083","210070","210066","NALANDA UNIVERSITY IS A POST GRADUATE INTERNATIONAL RESEARCH UNIVERISITY AND IS DESIGNATED AS AN INSTITUTION OF NATIOINAL IMPORTANCE IN INDIA. IT IS A STAND-ALONE UNIVERSITY","25.0261099999999992","85.413330000000002","","","false","false","false","true","803116","false","0","false","","false"
"0732","RIICO Institutional Area","Sitapura","34.8462400000000017","Jaipur","132803.5","110","false","true","true","true","U","9","0","","08","www.mgumst.org","2011","2011","214560","55920","03","false","true","true","false","true","2","MAHATMA GANDHI UNIVERSITY OF MEDICAL SCIENCES AND TECHNOLOGY, JAIPUR","2015","210113","210100","210096","","26.4877642999999985","75.2034172999999981","","","false","false","false","true","302022","false","0","false","","true"
"0517","INDIAN INSTITUTE OF TECHNOLOGY, KANPUR","","960","KANPUR","","164","false","true","true","true","U","12","0","","09","www.iitk.ac.in","1959","","214561","55921","07","false","false","true","false","false","4","Indian Institute of Technology, Kanpur","2015","210114","210101","210097","","","","","","false","false","false","false","208016","false","0","false","","false"
