"university_id","survey_year","non_teaching_staff_count_id"
"0316","2015","588158"
"0316","2015","588159"
"0160","2015","588173"
"0160","2015","588174"
"0160","2015","588175"
"0160","2015","588176"
"0160","2015","588177"
"0104","2015","588295"
"0104","2015","588296"
"0104","2015","588297"
"0104","2015","588298"
"0171","2015","588392"
"0171","2015","588393"
"0171","2015","588394"
"0171","2015","588395"
"0341","2015","588459"
"0341","2015","588460"
"0341","2015","588461"
"0146","2015","439603"
"0146","2015","439604"
"0146","2015","439605"
"0627","2015","440443"
"0627","2015","440444"
"0627","2015","440445"
"0627","2015","440446"
"0045","2015","444417"
"0045","2015","444418"
"0045","2015","444419"
"0045","2015","444420"
"0045","2015","444421"
"0045","2015","444422"
"0045","2015","444423"
"0750","2015","445125"
"0750","2015","445126"
"0750","2015","445127"
"0750","2015","445128"
"0750","2015","445129"
"0750","2015","445130"
"0750","2015","445131"
"0750","2015","445132"
"0750","2015","445133"
"0750","2015","445134"
"0750","2015","445135"
"0750","2015","445136"
"0750","2015","445137"
"0750","2015","445138"
"0750","2015","445139"
"0750","2015","445140"
"0471","2015","445546"
"0471","2015","445547"
"0471","2015","445548"
"0471","2015","445549"
"0471","2015","445550"
"0471","2015","445551"
"0471","2015","445552"
"0471","2015","445553"
"0471","2015","445554"
"0471","2015","445555"
"0505","2015","445569"
"0365","2015","445904"
"0365","2015","445905"
"0365","2015","445906"
"0268","2015","446408"
"0268","2015","446409"
"0268","2015","446410"
"0268","2015","446411"
"0268","2015","446412"
"0268","2015","446413"
"0268","2015","446414"
"0268","2015","446415"
"0173","2015","448710"
"0173","2015","448711"
"0173","2015","448712"
"0173","2015","448713"
"0103","2015","449148"
"0103","2015","449149"
"0103","2015","449150"
"0103","2015","449151"
"0103","2015","449152"
"0103","2015","449153"
"0122","2015","449307"
"0122","2015","449308"
"0122","2015","449309"
"0122","2015","449310"
"0122","2015","449311"
"0580","2015","449604"
"0580","2015","449605"
"0145","2015","450159"
"0145","2015","450160"
"0145","2015","450161"
"0145","2015","450162"
"0464","2015","450354"
"0464","2015","450355"
"0464","2015","450356"
"0464","2015","450357"
"0464","2015","450358"
"0303","2015","452193"
"0303","2015","452194"
"0303","2015","452195"
"0303","2015","452196"
"0303","2015","452197"
"0303","2015","452198"
"0303","2015","452199"
"0138","2015","452310"
"0138","2015","452311"
"0138","2015","452312"
"0138","2015","452313"
"0636","2015","452552"
"0636","2015","452553"
"0636","2015","452554"
"0636","2015","452555"
"0636","2015","452556"
"0636","2015","452557"
"0636","2015","452558"
"0636","2015","452559"
"0636","2015","452560"
"0636","2015","452561"
"0636","2015","452562"
"0636","2015","452563"
"0636","2015","452564"
"0778","2015","454158"
"0778","2015","454159"
"0778","2015","454160"
"0778","2015","454161"
"0778","2015","454162"
"0778","2015","454163"
"0165","2015","454188"
"0165","2015","454189"
"0165","2015","454190"
"0165","2015","454191"
"0649","2015","454736"
"0649","2015","454737"
"0649","2015","454738"
"0649","2015","454739"
"0649","2015","454740"
"0131","2015","455790"
"0131","2015","455791"
"0131","2015","455792"
"0131","2015","455793"
"0131","2015","455794"
"0131","2015","455795"
"0131","2015","455796"
"0152","2015","455991"
"0152","2015","455992"
"0152","2015","455993"
"0152","2015","455994"
"0152","2015","455995"
"0152","2015","455996"
"0126","2015","456459"
"0126","2015","456460"
"0126","2015","456461"
"0142","2015","456960"
"0142","2015","456961"
"0142","2015","456962"
"0142","2015","456963"
"0142","2015","456964"
"0635","2015","457677"
"0635","2015","457678"
"0734","2015","457943"
"0734","2015","457944"
"0734","2015","457945"
"0734","2015","457946"
"0734","2015","457947"
"0368","2015","458085"
"0368","2015","458086"
"0240","2015","458110"
"0128","2015","458167"
"0128","2015","458168"
"0128","2015","458169"
"0128","2015","458170"
"0128","2015","458171"
"0128","2015","458172"
"0128","2015","458173"
"0128","2015","458174"
"0128","2015","458175"
"0128","2015","458176"
"0658","2015","458454"
"0658","2015","458455"
"0658","2015","458456"
"0658","2015","458457"
"0125","2015","459169"
"0125","2015","459170"
"0125","2015","459171"
"0125","2015","459172"
