"university_id","survey_year","private_students_result_id"
"0316","2015","2635"
"0505","2015","1766"
"0464","2015","1767"
"0138","2015","1768"
"0138","2015","1769"
"0636","2015","1770"
"0152","2015","1771"
"0152","2015","1772"
"0142","2015","1773"
"0142","2015","1774"
"0142","2015","1775"
"0142","2015","1776"
"0636","2015","1777"
"0636","2015","1778"
"0636","2015","1779"
"0636","2015","1780"
"0636","2015","1781"
"0636","2015","1782"
"0636","2015","1783"
"0636","2015","1784"
"0636","2015","1785"
"0636","2015","1786"
"0636","2015","1787"
"0636","2015","1788"
"0636","2015","1789"
"0636","2015","1790"
"0636","2015","1791"
"0636","2015","1792"
"0636","2015","1793"
"0636","2015","1794"
"0636","2015","1795"
"0636","2015","1796"
"0636","2015","1797"
"0636","2015","1798"
"0636","2015","1799"
"0636","2015","1800"
"0636","2015","1801"
"0636","2015","1802"
"0636","2015","1803"
"0636","2015","1804"
"0594","2015","1805"
"0625","2015","1806"
"0153","2015","1821"
"0153","2015","1822"
"0153","2015","1823"
"0153","2015","1824"
"0153","2015","1825"
"0153","2015","1826"
"0153","2015","1827"
"0153","2015","1828"
"0153","2015","1829"
"0153","2015","1830"
"0153","2015","1831"
"0153","2015","1832"
"0153","2015","1833"
"0153","2015","1834"
"0793","2015","1836"
"0136","2015","1837"
"0136","2015","1838"
"0136","2015","1839"
"0136","2015","1840"
"0124","2015","1841"
"0124","2015","1842"
"0124","2015","1843"
"0124","2015","1844"
"0781","2015","1845"
"0537","2015","1874"
"0537","2015","1875"
"0281","2015","1876"
"0640","2015","1877"
"0640","2015","1878"
"0640","2015","1879"
"0640","2015","1880"
"0640","2015","1881"
"0640","2015","1882"
"0640","2015","1883"
"0640","2015","1884"
"0640","2015","1885"
"0640","2015","1886"
"0562","2015","1980"
"0562","2015","1981"
"0562","2015","1982"
"0562","2015","1983"
"0364","2015","1984"
"0067","2015","1987"
"0067","2015","1988"
"0067","2015","1989"
"0067","2015","1990"
"0067","2015","1991"
"0543","2015","1992"
"0508","2015","1993"
"0508","2015","1994"
"0508","2015","1995"
"0508","2015","1996"
"0508","2015","1997"
"0508","2015","1998"
"0508","2015","1999"
"0508","2015","2000"
"0508","2015","2001"
"0508","2015","2002"
"0508","2015","2003"
"0508","2015","2004"
"0508","2015","2005"
"0508","2015","2006"
"0508","2015","2007"
"0508","2015","2008"
