"university_id","survey_year","teaching_staff_sanctioned_strength_id"
"0316","2015","724453"
"0316","2015","724454"
"0316","2015","724455"
"0316","2015","724456"
"0316","2015","724457"
"0379","2015","724640"
"0379","2015","724641"
"0146","2015","512309"
"0146","2015","512310"
"0627","2015","513441"
"0627","2015","513442"
"0627","2015","513443"
"0627","2015","513444"
"0627","2015","513445"
"0045","2015","519255"
"0045","2015","519256"
"0045","2015","519257"
"0045","2015","519258"
"0045","2015","519259"
"0750","2015","520299"
"0750","2015","520300"
"0750","2015","520301"
"0750","2015","520302"
"0750","2015","520303"
"0750","2015","520304"
"0750","2015","520305"
"0750","2015","520306"
"0471","2015","520928"
"0471","2015","520929"
"0471","2015","520930"
"0471","2015","520931"
"0471","2015","520932"
"0471","2015","520933"
"0471","2015","520934"
"0505","2015","520957"
"0505","2015","520958"
"0505","2015","520959"
"0505","2015","520960"
"0505","2015","520961"
"0505","2015","520962"
"0505","2015","520963"
"0365","2015","521511"
"0365","2015","521512"
"0365","2015","521513"
"0365","2015","521514"
"0365","2015","521515"
"0365","2015","521516"
"0268","2015","522226"
"0268","2015","522227"
"0268","2015","522228"
"0268","2015","522229"
"0268","2015","522230"
"0173","2015","525607"
"0173","2015","525608"
"0173","2015","525609"
"0173","2015","525610"
"0173","2015","525611"
"0173","2015","525612"
"0103","2015","526224"
"0103","2015","526225"
"0103","2015","526226"
"0103","2015","526227"
"0103","2015","526228"
"0122","2015","526468"
"0122","2015","526469"
"0580","2015","526900"
"0580","2015","526901"
"0580","2015","526902"
"0580","2015","526903"
"0145","2015","527758"
"0145","2015","527759"
"0464","2015","528032"
"0464","2015","528033"
"0464","2015","528034"
"0464","2015","528035"
"0464","2015","528036"
"0464","2015","528037"
"0464","2015","528038"
"0303","2015","530734"
"0303","2015","530735"
"0303","2015","530736"
"0303","2015","530737"
"0303","2015","530738"
"0303","2015","530739"
"0303","2015","530740"
"0303","2015","530741"
"0303","2015","530742"
"0303","2015","530743"
"0138","2015","530893"
"0138","2015","530894"
"0138","2015","530895"
"0138","2015","530896"
"0138","2015","530897"
"0138","2015","530898"
"0636","2015","531208"
"0636","2015","531209"
"0636","2015","531210"
"0636","2015","531211"
"0778","2015","533478"
"0778","2015","533479"
"0778","2015","533480"
