,id,city,state_code,university_id,no_of_student_hostel,name,infrastructure_id,latitude,longitude,offers_scholarship,ranking_factor,PTR ratio
0,34256,South City,27,298,0,Yash Institute of Pharmacy waluj road Aurangabad,189205,19.530001000000002,75.230001,1,7.0,9
1,55441,DHANBAD,20,212,0,"Binod bihari Mahato Memorial teachers Training College, Sahu Bahiyar, Topchanchi, Dhanbad,(Jh)",209799,23.897079,86.22571399999998,1,15.0,9
2,22449,Tohana,6,160,2,"Defence College of Educaton, Tohana",209800,29.661677,75.835685,1,17.0,9
3,13438,DHAMPUR,9,525,0,"Dhampur Degree College, Dhampur",209801,29.364001000000002,78.46900009999999,0,14.0,10
4,13376,dhampur,9,525,0,"Dhampur Law College, Dhampur",209802,29.369000099999997,78.46900019999998,0,11.0,11
5,8719,Dist-Darbhanga,10,68,0,MR.S.M. College Anandpur,209803,,,1,15.0,10
6,51928,BIHARSHARIF,10,69,0,J. P. SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA,209804,25.19312,85.49297199999998,0,15.0,11
7,55446,BOKARO,20,212,0,N.P TEACHERS TRAINING COLLEGE,209806,23.650000100000003,86.18000009999999,0,39.0,10
8,52219,,9,550,0,"Kedar Faujdar Mahavidyalaya, Guraini ",163300,,,0,6.0,11
9,51402,HASANPUR,9,525,0,"CHAUDHARY GAYASUDDIN MAHAVIDYALAYA, UJARI",209808,,,0,12.0,11
10,29284,Chandigarh,4,78,2,"Govt Home Science College,Sector-10",193263,,,1,102.0,11
11,54826,AGRA,9,509,0,"SHRI BHAWANI SINGH MAHAVIDHYALAYA, TERI BAGIYA",210005,27.23461,78.04523799999998,1,15.0,9
12,52242,RAIPUR,22,81,2,COLUMBIA COLLEGE OF NURSING,209809,21.19001,81.42000999999999,0,33.0,9
13,36831,NEW GHARSANA,8,406,0,"S.K. College, New Mandi",210006,,,0,11.0,10
14,46142,HAPUR,9,549,3,"RAJ KUMAR GOEL ENGINEERING COLLEGE, PILKHUWA, GHAZIABAD",209807,28.27001,77.12001,1,266.0,9
15,22423,Sirsa,6,160,1,"Sanatan Dharam Sanskrit Mahavidyalya, Sirsa",209810,23.256729999999997,68.250001,1,4.0,9
16,45400,,20,210,1,"S R T COLLEGE, GODDA",209929,,,0,13.0,9
17,44392,DEOGHAR,20,212,0,"BALANAND SANSKRIT COLLEGE, DEOGHAR",210007,24.310010000000002,86.42000999999999,0,2.0,10
18,50846,osian,8,399,0,SHREE SACHIYAY SANKALP ADARSH MAHAVIDHYALAYA,209815,26.723626,72.899822,0,12.0,9
19,14299,SIDDHARTH NAGAR,9,508,0,"Kallan Degree College, Thumhava Bhaiya, Khutahana, Siddharathnagar",209816,,,0,12.0,9
20,51290,,9,550,0,"Gajadhar Singh Mahavidyalaya, Ghazipur",163398,,,0,6.0,9
21,52218,,9,550,0,"Vindhyachal Ji (Girls) College, Alavalpur",163429,,,0,0.0,9
22,52215,,9,550,0,"Mata Bhagyamani Devi Mahila Degree College, Sahedi",163451,,,0,6.0,11
23,27427,PALONCHA,36,19,0,"KLR College of Business Management, Paloncha",209818,17.59491246,80.66633785,1,7.0,9
24,15927,,9,550,0,"Yshoda Mahavidyalaya, Patrahi , Jaunpur",163475,,,0,6.0,11
25,52435,,9,550,0,"Kranti Mahila Mahavidyalaya, Nijambad",163495,,,0,6.0,11
26,16055,Azamgarh,9,550,0,Shri Agrasen Mahila Snatkottar Mahavidyalaya Azamgarh,196497,,,1,7.0,11
27,17636,Jamui.,10,76,2,"KKM College, Jamui",209819,24.915995000000002,86.22601309999999,1,9.0,11
28,28261,Rohtak,6,167,2,SHRI BABA MASTH NATH INSTITUTE OF EDUCATIONAL TRANING & RESEARCH,209817,28.890742,76.57992,1,27.0,9
29,15976,,9,550,0,"Sarvodaya P.G. College, Ghosi, Mau",164273,,,0,2.0,9
30,54851,ETAH,9,509,0,"MAA SHAKUNTLA DEVI MAHAVIDHYALAYA, JAI HANUMAN NAGAR, BEHGAON, JAITHRA",209820,,,1,15.0,10
31,27972,pathankot,3,376,0,"JDS College of Education, Vill. Kot, Tehsil Thar Kalan, Gurdaspur.",209821,32.280001,75.650001,0,7.0,10
32,52361,,9,550,0,"Krishna Patel Mahavidyalaya, Rohuvar Vaidauli",164362,,,0,6.0,9
33,15878,,9,550,0,"Muslim Girls Degree College,Jaunpur",164430,,,0,2.0,9
34,52217,,9,550,0,"D A V Collage Maudha, Ghazipur",164599,,,0,6.0,10
35,52216,,9,550,0,"D A V Sansthan Nayanpur Patrahi, Jaunpur",164621,,,0,6.0,10
36,13406,PURANPUR,9,525,0,Ganna Krishak Mahavidyalaya,209822,,,0,3.0,11
37,27960,Batala,3,376,0,"B.U.C. College,  Batala",209823,31.790121000000003,75.21598780000001,1,15.0,10
38,52223,,9,550,0,"Lalji Ramraj Yadav Mahavidyalaya, Belwa, Madiyahu",164721,,,0,6.0,9
39,52950,,9,510,0,"S S V MAHAVIDALAYA, HALAPUR",165018,,,0,11.0,10
40,50988,,9,550,0,"Lodi Kisan Mahavidyalaya, Mahadevpur, Budanpur",165088,,,0,6.0,10
41,51233,,9,550,0,"Ramapati Badhya Mahila Degree College, Ghazipur",165107,,,0,6.0,11
42,16082,,9,550,0,"Chauri Belha Mahavidyalaya,Tarwa, Azamgarh",165112,,,0,6.0,9
43,28322,NAHAR,6,167,0,G.C.Nahar.,165399,,,1,11.0,10
44,22414,FATEHABAD,6,160,1,"M.M. College of Education, Sirsa Road, Fatehabad",209824,29.515956,75.441574,1,16.0,10
45,51454,Moradabad,9,525,0,"SHRI RAMGOPAL SINGH MAHAVIDYALAYA, MORADABAD ",209825,,,0,32.0,11
46,36711,TEHSIL-RAJGARH,8,406,0,"B.R.M.R. Girls College, Shyopura, PO.- Lasedi",209986,25.67282,76.69612999999998,1,12.0,9
47,50257,,9,550,0,"MAA MALTI DEVI  MAHILA MAHAVIDYALAYA, KANILA",165511,,,0,6.0,11
48,8783,Darbhanga,10,68,0,"Q.A. Deg College, Zale",210120,,,0,11.0,10
49,13397,Balrala,9,525,1,"Babu Ram Singh Bhay Singh Memorial Mahavidyalaya, Babrala",209827,,,0,76.0,11
50,17658,Khagaria,10,76,0,"Mahila College, Khagaria",209828,,,0,0.0,9
51,52200,,9,550,0,"Indu Mahila Mahavidyalaya, Ratanpura Mau",166177,,,0,6.0,11
52,48948,,9,505,0,"GURU NANAK DEV EDUCATIONAL INSTITUTE,ETARA",168128,,,0,3.0,10
53,50915,Jogipet,36,27,0,"P.G. College, Jogipet",168683,,,1,7.0,9
54,51377,,9,550,0,"Maa Pyari Devi Mahavidyalay, Jaunpur",169796,,,0,6.0,10
55,52599,,9,550,0,"Maa Astbhuji Mahila Mahavidyalaya, Belau",169808,,,0,6.0,9
56,53026,,9,550,0,"S K B M Degree College, Dildar Nagar",169852,,,0,6.0,10
57,30714,Hisar,6,174,3,"Maharaja Agrasen Medical College, Agroha (Hisar)",209830,,,1,42.0,9
58,52968,,9,550,0,"Maa Chanrami Devi Mahila Mahavidyalaya, Tamrua",169864,,,0,6.0,10
59,49491,,9,550,0,SVD GURUKUL MAHAVIDYALAY DUMDUMA UNCHGAON,170623,,,0,6.0,9
60,13316,,9,525,0,"Ram Chandra Singh Memorial Degree College, Mirzapur",209831,,,0,26.0,10
61,16043,Azamgarh,9,550,0,D A V. P.G College Azamgarh,170882,,,0,87.0,10
62,7484,Parbhani,27,328,0,M.S.W.  College Parbhani,206429,,,0,7.0,9
63,47668,Mathura,9,509,3,"ISHWAR CHANDRA VIDHYASAGAR INSTITUTE OF MANAGEMANT, AKABARPUR, MATHURA",209987,27.735452000000002,77.725178,0,18.0,11
64,50313,THARAD,24,138,0,"A P TRIVEDI ARTS, COMMERCE AND SCIENCE COLLEGE, KHORDA",163807,,,0,6.0,11
65,51624,,9,550,0,"Bhushan Bandhu Mahila Mahavidyalay, Jaunpur",170901,,,0,6.0,11
66,51411,,9,550,0,"Kalika Chandrika Indrasan Mahavidyalay, Ghazipur",170959,,,0,6.0,10
