,id,no_of_libraries,no_of_laboratories,no_of_conference_halls,no_of_health_centers,no_of_computer_centers
0,185131,1.0,3.0,1.0,0.0,1.0
1,202094,1.0,0.0,0.0,0.0,1.0
2,197414,1.0,1.0,1.0,1.0,1.0
3,164444,1.0,4.0,1.0,0.0,1.0
4,188887,1.0,0.0,1.0,1.0,1.0
5,188931,1.0,1.0,1.0,1.0,1.0
6,188686,1.0,1.0,1.0,0.0,1.0
7,155132,1.0,1.0,0.0,1.0,1.0
8,187342,1.0,23.0,1.0,0.0,1.0
9,160071,1.0,1.0,1.0,0.0,1.0
10,166302,1.0,8.0,1.0,1.0,1.0
11,168846,1.0,0.0,1.0,0.0,0.0
12,190267,1.0,0.0,1.0,0.0,0.0
13,181095,1.0,1.0,1.0,0.0,1.0
14,182704,1.0,74.0,8.0,1.0,1.0
15,191210,1.0,1.0,1.0,0.0,1.0
16,171091,1.0,4.0,1.0,0.0,1.0
17,198337,1.0,1.0,1.0,0.0,1.0
18,170897,1.0,25.0,0.0,1.0,1.0
19,197882,1.0,0.0,1.0,0.0,1.0
20,169402,1.0,1.0,1.0,0.0,1.0
21,162280,1.0,1.0,1.0,1.0,1.0
22,186304,1.0,1.0,0.0,0.0,1.0
23,180613,0.0,0.0,0.0,0.0,0.0
24,207431,1.0,1.0,0.0,0.0,0.0
25,178784,1.0,51.0,4.0,1.0,1.0
26,202695,1.0,1.0,1.0,0.0,0.0
27,184807,1.0,11.0,1.0,0.0,2.0
28,194406,1.0,70.0,1.0,1.0,1.0
29,191259,1.0,28.0,1.0,1.0,1.0
30,205066,1.0,1.0,1.0,1.0,1.0
31,157392,1.0,1.0,1.0,0.0,1.0
32,205904,1.0,1.0,1.0,0.0,1.0
33,174117,1.0,1.0,0.0,0.0,1.0
34,170691,1.0,4.0,1.0,0.0,1.0
35,165210,1.0,33.0,1.0,0.0,1.0
36,205061,1.0,1.0,1.0,1.0,1.0
37,157075,1.0,1.0,0.0,0.0,1.0
38,157477,1.0,1.0,1.0,0.0,1.0
39,156416,1.0,1.0,0.0,0.0,1.0
40,155964,1.0,1.0,0.0,1.0,1.0
41,190814,1.0,1.0,1.0,1.0,1.0
42,171412,1.0,0.0,1.0,1.0,1.0
43,168338,1.0,1.0,1.0,1.0,1.0
44,171502,1.0,1.0,1.0,0.0,1.0
45,170590,1.0,1.0,1.0,0.0,1.0
46,166642,1.0,1.0,1.0,1.0,1.0
47,202709,1.0,1.0,0.0,0.0,1.0
48,209110,0.0,0.0,0.0,0.0,0.0
49,165813,1.0,0.0,0.0,0.0,1.0
50,170944,1.0,1.0,0.0,1.0,1.0
51,160464,1.0,6.0,1.0,0.0,2.0
52,162296,1.0,1.0,1.0,0.0,1.0
53,158301,1.0,2.0,1.0,0.0,1.0
54,169542,1.0,0.0,0.0,0.0,1.0
55,189951,1.0,1.0,1.0,0.0,0.0
56,190400,1.0,1.0,1.0,0.0,0.0
57,196854,1.0,1.0,1.0,0.0,0.0
58,162412,1.0,1.0,1.0,0.0,1.0
59,162584,1.0,1.0,0.0,0.0,1.0
60,173045,1.0,1.0,0.0,0.0,1.0
61,198348,1.0,1.0,1.0,0.0,1.0
62,171187,1.0,9.0,1.0,0.0,1.0
63,196485,1.0,0.0,0.0,0.0,0.0
64,204270,1.0,0.0,0.0,0.0,1.0
65,187989,1.0,0.0,1.0,1.0,1.0
66,176793,1.0,1.0,1.0,1.0,1.0
67,164608,1.0,0.0,0.0,0.0,0.0
68,193878,1.0,2.0,1.0,0.0,1.0
69,183918,1.0,1.0,1.0,1.0,1.0
70,179343,1.0,0.0,1.0,0.0,0.0
71,207034,1.0,1.0,1.0,0.0,1.0
72,186894,1.0,1.0,1.0,0.0,1.0
73,190371,1.0,1.0,1.0,1.0,1.0
74,158730,1.0,1.0,1.0,0.0,1.0
75,175538,1.0,0.0,1.0,0.0,1.0
76,187671,1.0,1.0,1.0,1.0,1.0
77,182955,1.0,1.0,0.0,0.0,1.0
78,178568,1.0,1.0,1.0,1.0,1.0
79,200354,1.0,1.0,0.0,0.0,1.0
80,186618,1.0,1.0,1.0,1.0,1.0
81,178138,1.0,1.0,1.0,1.0,1.0
82,179347,1.0,25.0,1.0,1.0,1.0
83,199118,1.0,2.0,0.0,0.0,1.0
84,166176,4.0,1.0,0.0,0.0,0.0
85,174679,1.0,1.0,0.0,0.0,1.0
86,197042,1.0,1.0,1.0,0.0,1.0
87,202678,1.0,1.0,1.0,1.0,1.0
88,174413,1.0,1.0,1.0,1.0,1.0
89,169842,1.0,0.0,0.0,0.0,0.0
90,180913,1.0,1.0,1.0,1.0,1.0
91,167177,1.0,1.0,0.0,0.0,1.0
92,208068,1.0,1.0,1.0,1.0,1.0
93,170250,1.0,1.0,1.0,0.0,1.0
94,177674,1.0,1.0,0.0,0.0,1.0
95,208799,0.0,0.0,0.0,0.0,0.0
96,173466,1.0,1.0,1.0,0.0,1.0
97,192742,1.0,1.0,1.0,1.0,1.0
98,206568,1.0,0.0,1.0,0.0,1.0
99,162808,1.0,0.0,0.0,0.0,1.0
100,191910,1.0,0.0,1.0,0.0,0.0
101,178263,1.0,8.0,1.0,2.0,1.0
102,161569,1.0,0.0,1.0,1.0,1.0
103,200610,1.0,1.0,1.0,0.0,1.0
104,203922,1.0,1.0,1.0,1.0,1.0
105,169099,1.0,0.0,1.0,0.0,1.0
106,170734,1.0,12.0,5.0,1.0,1.0
107,176432,1.0,12.0,1.0,0.0,1.0
108,206572,1.0,1.0,0.0,0.0,1.0
109,193077,2.0,75.0,1.0,1.0,2.0
110,167214,1.0,1.0,1.0,1.0,1.0
111,180429,1.0,1.0,1.0,1.0,1.0
112,172457,1.0,1.0,1.0,1.0,1.0
113,162263,1.0,4.0,1.0,0.0,1.0
114,181893,1.0,1.0,1.0,1.0,1.0
115,170760,0.0,0.0,0.0,0.0,0.0
116,205727,1.0,1.0,1.0,0.0,1.0
117,171692,1.0,0.0,1.0,0.0,1.0
118,201911,1.0,1.0,0.0,0.0,0.0
119,161794,1.0,3.0,1.0,1.0,1.0
120,160022,1.0,1.0,0.0,0.0,1.0
121,205909,1.0,1.0,1.0,0.0,1.0
122,205503,1.0,1.0,1.0,1.0,1.0
123,207507,1.0,1.0,0.0,0.0,1.0
124,178145,1.0,0.0,1.0,0.0,1.0
125,210101,1.0,1.0,1.0,1.0,1.0
126,186195,1.0,8.0,1.0,1.0,1.0
127,204451,1.0,1.0,0.0,0.0,1.0
128,176371,2.0,4.0,1.0,1.0,2.0
129,187958,1.0,1.0,1.0,0.0,1.0
130,154630,2.0,1.0,1.0,1.0,1.0
131,169775,1.0,0.0,1.0,1.0,0.0
132,182091,1.0,1.0,1.0,0.0,1.0
133,190574,1.0,0.0,4.0,1.0,0.0
134,168925,1.0,1.0,1.0,1.0,1.0
135,207104,1.0,1.0,1.0,0.0,1.0
136,160723,1.0,0.0,1.0,0.0,0.0
137,194599,1.0,0.0,1.0,0.0,1.0
138,207247,1.0,1.0,1.0,1.0,1.0
139,169434,1.0,1.0,1.0,0.0,1.0
140,199369,1.0,1.0,1.0,1.0,1.0
141,182193,1.0,1.0,1.0,0.0,1.0
142,201886,1.0,1.0,1.0,1.0,1.0
143,186980,1.0,0.0,1.0,0.0,0.0
144,208254,1.0,4.0,1.0,0.0,1.0
145,208023,1.0,0.0,0.0,0.0,1.0
146,165712,1.0,0.0,0.0,0.0,1.0
147,184436,1.0,1.0,1.0,1.0,1.0
148,179172,1.0,1.0,0.0,0.0,1.0
149,157358,1.0,1.0,1.0,0.0,1.0
150,179236,1.0,1.0,0.0,0.0,1.0
151,178748,1.0,0.0,1.0,1.0,1.0
152,194640,1.0,1.0,1.0,1.0,1.0
153,188690,1.0,1.0,1.0,0.0,1.0
154,171070,1.0,4.0,1.0,0.0,1.0
155,198794,1.0,0.0,0.0,0.0,1.0
156,184171,1.0,1.0,1.0,0.0,1.0
157,180926,1.0,1.0,1.0,1.0,1.0
158,160838,1.0,12.0,1.0,1.0,1.0
159,164677,1.0,1.0,1.0,0.0,3.0
160,193393,1.0,1.0,1.0,1.0,1.0
161,201813,1.0,0.0,0.0,0.0,1.0
162,157261,1.0,8.0,1.0,0.0,1.0
163,199897,1.0,1.0,0.0,0.0,1.0
164,204460,1.0,1.0,1.0,1.0,1.0
165,198959,1.0,0.0,1.0,1.0,1.0
166,167095,1.0,1.0,1.0,0.0,0.0
167,164034,1.0,0.0,1.0,0.0,0.0
168,192996,1.0,1.0,0.0,0.0,1.0
169,171641,1.0,1.0,1.0,0.0,1.0
170,180492,1.0,1.0,1.0,1.0,1.0
171,157942,1.0,1.0,0.0,0.0,1.0
172,194096,1.0,4.0,1.0,1.0,1.0
173,174010,1.0,5.0,1.0,0.0,1.0
174,177915,1.0,7.0,2.0,0.0,1.0
175,169398,1.0,3.0,1.0,1.0,1.0
176,206063,1.0,1.0,1.0,0.0,1.0
177,199780,1.0,0.0,0.0,0.0,1.0
178,162538,1.0,7.0,1.0,1.0,1.0
179,181624,1.0,1.0,1.0,0.0,1.0
180,180760,1.0,1.0,1.0,1.0,1.0
181,158485,1.0,1.0,1.0,1.0,1.0
182,157759,1.0,6.0,1.0,0.0,1.0
183,170197,1.0,6.0,1.0,0.0,1.0
184,180550,1.0,0.0,1.0,1.0,0.0
185,170415,1.0,0.0,0.0,0.0,1.0
186,203983,0.0,1.0,1.0,1.0,0.0
187,173645,2.0,6.0,1.0,1.0,4.0
188,172538,1.0,7.0,1.0,0.0,1.0
189,167957,1.0,1.0,1.0,1.0,1.0
190,168408,1.0,4.0,1.0,1.0,1.0
191,208256,1.0,1.0,0.0,0.0,1.0
192,205056,1.0,61.0,1.0,1.0,1.0
193,154490,1.0,1.0,1.0,1.0,1.0
194,175913,1.0,1.0,1.0,1.0,1.0
195,204487,1.0,5.0,0.0,0.0,1.0
196,186013,1.0,1.0,1.0,0.0,1.0
197,180170,1.0,1.0,1.0,1.0,1.0
198,202747,1.0,5.0,1.0,0.0,1.0
199,179324,1.0,1.0,1.0,1.0,1.0
200,182054,1.0,0.0,1.0,0.0,1.0
201,178629,1.0,15.0,1.0,1.0,1.0
202,200355,1.0,1.0,1.0,1.0,1.0
203,184266,1.0,1.0,1.0,0.0,1.0
204,175708,1.0,4.0,1.0,1.0,1.0
205,187924,1.0,1.0,1.0,1.0,1.0
206,162161,1.0,1.0,1.0,0.0,1.0
207,201206,1.0,1.0,1.0,1.0,1.0
208,206282,1.0,1.0,1.0,1.0,1.0
209,170474,1.0,1.0,1.0,1.0,1.0
210,188831,1.0,1.0,0.0,0.0,0.0
211,186249,1.0,0.0,0.0,0.0,1.0
212,171665,1.0,1.0,1.0,1.0,1.0
213,190586,1.0,1.0,1.0,0.0,0.0
214,168683,1.0,0.0,0.0,0.0,1.0
215,176653,1.0,10.0,1.0,3.0,1.0
216,166622,1.0,1.0,1.0,1.0,1.0
217,173190,1.0,1.0,1.0,1.0,1.0
218,191129,1.0,1.0,1.0,0.0,1.0
219,161329,1.0,6.0,1.0,0.0,1.0
220,189522,1.0,1.0,0.0,0.0,1.0
221,207702,0.0,0.0,0.0,0.0,0.0
222,194811,1.0,409.0,4.0,1.0,1.0
223,170554,1.0,1.0,1.0,1.0,1.0
224,184495,1.0,2.0,1.0,0.0,1.0
225,173080,1.0,1.0,1.0,0.0,1.0
226,177238,1.0,1.0,1.0,1.0,1.0
227,207771,1.0,1.0,1.0,1.0,1.0
228,197183,1.0,5.0,1.0,0.0,1.0
229,189815,1.0,1.0,1.0,1.0,1.0
230,182939,1.0,1.0,1.0,1.0,1.0
231,200341,1.0,15.0,1.0,1.0,1.0
232,209420,1.0,1.0,1.0,1.0,1.0
233,174875,1.0,1.0,1.0,0.0,1.0
234,177822,1.0,1.0,1.0,1.0,1.0
235,207811,1.0,1.0,1.0,1.0,1.0
236,182178,1.0,1.0,1.0,1.0,1.0
237,166581,1.0,1.0,0.0,0.0,1.0
238,174989,1.0,14.0,1.0,0.0,1.0
239,167009,1.0,1.0,0.0,1.0,1.0
240,168336,1.0,1.0,1.0,0.0,1.0
241,208774,1.0,1.0,1.0,1.0,1.0
242,163052,1.0,6.0,1.0,1.0,1.0
243,190460,1.0,1.0,0.0,0.0,1.0
244,196446,1.0,0.0,1.0,0.0,1.0
245,208574,1.0,30.0,1.0,1.0,1.0
246,174933,1.0,1.0,1.0,0.0,1.0
247,195668,2.0,14.0,2.0,1.0,1.0
248,194546,1.0,1.0,1.0,1.0,1.0
249,206396,1.0,52.0,1.0,1.0,2.0
250,171676,1.0,1.0,1.0,1.0,1.0
251,170697,1.0,1.0,1.0,1.0,1.0
252,195263,1.0,0.0,1.0,0.0,0.0
253,170273,1.0,1.0,0.0,0.0,1.0
254,159333,1.0,0.0,1.0,0.0,1.0
255,180271,1.0,4.0,1.0,1.0,1.0
256,209115,1.0,4.0,0.0,0.0,1.0
257,209587,1.0,1.0,1.0,0.0,1.0
258,179130,1.0,1.0,1.0,1.0,1.0
259,186382,1.0,1.0,0.0,0.0,1.0
260,173205,1.0,5.0,0.0,0.0,0.0
261,188304,1.0,1.0,0.0,0.0,1.0
262,200950,1.0,1.0,0.0,0.0,1.0
263,160365,1.0,1.0,1.0,1.0,1.0
264,195912,1.0,1.0,1.0,1.0,1.0
265,186572,1.0,1.0,1.0,1.0,1.0
266,189752,1.0,0.0,1.0,0.0,1.0
267,208106,1.0,0.0,1.0,0.0,1.0
268,208145,1.0,1.0,0.0,0.0,1.0
269,200518,1.0,1.0,1.0,1.0,1.0
270,167631,1.0,1.0,1.0,1.0,1.0
271,168462,1.0,1.0,1.0,1.0,1.0
272,206756,1.0,1.0,0.0,0.0,1.0
273,160850,1.0,1.0,1.0,1.0,1.0
274,161112,1.0,12.0,1.0,1.0,1.0
275,188126,1.0,1.0,1.0,1.0,1.0
276,202506,1.0,1.0,0.0,0.0,0.0
277,157554,1.0,1.0,1.0,0.0,1.0
278,157473,1.0,0.0,1.0,1.0,1.0
279,176083,1.0,1.0,1.0,1.0,1.0
280,162098,1.0,1.0,1.0,0.0,1.0
281,178978,1.0,45.0,7.0,1.0,9.0
282,199312,1.0,4.0,1.0,0.0,1.0
283,167542,1.0,1.0,1.0,0.0,1.0
284,183396,1.0,1.0,1.0,1.0,1.0
285,185814,1.0,1.0,1.0,0.0,1.0
286,187937,1.0,0.0,0.0,0.0,1.0
287,208666,1.0,1.0,0.0,1.0,1.0
288,184508,1.0,1.0,1.0,1.0,1.0
289,162244,1.0,0.0,0.0,0.0,0.0
290,181491,1.0,1.0,1.0,1.0,1.0
291,179811,1.0,5.0,0.0,0.0,0.0
292,178060,1.0,6.0,1.0,1.0,1.0
293,194295,1.0,0.0,1.0,1.0,1.0
294,182910,1.0,1.0,0.0,1.0,1.0
295,206899,1.0,0.0,1.0,1.0,1.0
296,170279,1.0,1.0,1.0,0.0,1.0
297,202522,1.0,1.0,1.0,0.0,1.0
298,166213,1.0,0.0,0.0,0.0,0.0
299,175291,1.0,5.0,1.0,1.0,1.0
300,198412,1.0,1.0,0.0,1.0,1.0
301,199615,1.0,1.0,1.0,0.0,1.0
302,168782,1.0,0.0,0.0,1.0,1.0
303,174103,1.0,15.0,1.0,1.0,1.0
304,161849,1.0,1.0,1.0,1.0,1.0
305,173175,1.0,0.0,1.0,0.0,0.0
